,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,10.9,8.1,88.21,190.0,5.0,30.26,10.0,1.34
2021-01-01 01:00:00,11.5,9.3,90.65,0.0,0.0,30.25,10.0,11.5
2021-01-01 02:00:00,3.6,1.6,91.15,0.0,0.0,30.23,7.0,3.6
2021-01-01 03:00:00,0.9,-2.0,87.25,0.0,0.0,30.21,7.0,0.9
2021-01-01 04:00:00,2.0,-0.9,86.91,180.0,6.0,30.24,7.0,-10.48
2021-01-01 05:00:00,6.6,4.8,92.12,190.0,3.0,30.24,5.0,-0.35
2021-01-01 06:00:00,7.2,5.0,90.47,170.0,4.0,30.24,7.0,-1.54
2021-01-01 07:00:00,11.3,9.5,92.29,180.0,5.0,30.26,3.0,1.81
2021-01-01 08:00:00,10.2,8.6,93.08,0.0,0.0,30.24,1.5,10.2
2021-01-01 09:00:00,8.4,6.3,90.93,0.0,0.0,30.22,0.25,8.4
2021-01-01 10:00:00,6.8,4.6,90.45,0.0,0.0,30.24,1.75,6.8
2021-01-01 11:00:00,6.4,4.0,90.02,0.0,0.0,30.21,4.0,6.4
2021-01-01 12:00:00,4.6,1.9,88.28,0.0,0.0,30.18,5.0,4.6
2021-01-01 13:00:00,4.0,1.4,88.25,0.0,0.0,30.17,7.0,4.1
2021-01-01 14:00:00,6.8,4.3,89.21,0.0,0.0,30.17,5.0,6.8
2021-01-01 15:00:00,8.6,6.6,91.36,0.0,0.0,30.15,5.0,8.6
2021-01-01 16:00:00,12.0,10.2,92.31,360.0,3.0,30.11,7.0,5.82
2021-01-01 17:00:00,14.7,13.1,93.22,0.0,0.0,30.05,5.0,14.7
2021-01-01 18:00:00,21.2,20.3,96.25,0.0,0.0,30.04,1.75,21.2
2021-01-01 19:00:00,23.0,22.6,98.33,0.0,0.0,30.02,2.5,23.0
2021-01-01 20:00:00,23.9,23.5,98.34,0.0,0.0,29.99,4.0,23.9
2021-01-01 21:00:00,23.9,23.9,100.0,0.0,0.0,29.98,4.0,23.9
2021-01-01 22:00:00,23.9,23.7,99.17,0.0,0.0,29.99,5.0,23.9
2021-01-01 23:00:00,23.7,23.4,98.75,0.0,0.0,29.97,7.0,23.7
2021-01-02 00:00:00,23.0,22.6,98.33,0.0,0.0,29.96,5.0,23.0
2021-01-02 01:00:00,21.2,20.5,97.07,330.0,4.0,29.95,5.0,14.81
2021-01-02 02:00:00,21.6,21.2,98.32,310.0,5.0,29.95,4.0,14.04
2021-01-02 03:00:00,20.8,20.3,97.9,320.0,6.0,29.96,3.0,12.04
2021-01-02 04:00:00,20.1,19.4,97.06,320.0,4.0,29.97,5.0,13.52
2021-01-02 05:00:00,18.0,16.9,95.37,310.0,4.0,29.95,7.0,11.07
2021-01-02 06:00:00,15.3,14.4,96.15,0.0,0.0,29.94,5.0,15.3
2021-01-02 07:00:00,18.5,18.0,97.87,330.0,3.0,29.95,1.5,13.26
2021-01-02 08:00:00,19.4,18.9,97.88,310.0,4.0,29.95,2.0,12.71
2021-01-02 09:00:00,20.3,19.9,98.31,320.0,7.0,29.95,2.5,10.52
2021-01-02 10:00:00,19.8,19.2,97.47,310.0,5.0,29.97,3.0,11.91
2021-01-02 11:00:00,19.2,18.5,97.05,300.0,6.0,29.98,3.0,10.11
2021-01-02 12:00:00,18.5,17.6,96.2,290.0,4.0,30.0,1.75,11.66
2021-01-02 13:00:00,18.9,18.1,96.62,250.0,5.0,30.03,0.75,10.84
2021-01-02 14:00:00,18.5,17.8,97.04,250.0,4.0,30.05,1.5,11.66
2021-01-02 15:00:00,19.4,18.7,97.05,270.0,3.0,30.05,3.0,14.28
2021-01-02 16:00:00,19.9,19.4,97.89,0.0,0.0,30.03,2.5,19.9
2021-01-02 17:00:00,21.4,21.0,98.32,0.0,0.0,29.99,2.0,21.4
2021-01-02 18:00:00,22.8,22.3,97.92,0.0,0.0,29.98,3.0,22.8
2021-01-02 19:00:00,23.4,23.2,99.16,0.0,0.0,29.99,3.0,23.4
2021-01-02 20:00:00,23.7,23.5,99.17,220.0,3.0,29.99,3.0,19.2
2021-01-02 21:00:00,23.0,23.0,100.0,0.0,0.0,29.99,1.5,23.0
2021-01-02 22:00:00,22.8,22.5,98.75,0.0,0.0,29.98,2.0,22.8
2021-01-02 23:00:00,22.1,21.9,99.16,0.0,0.0,29.97,0.5,22.1
2021-01-03 00:00:00,21.7,21.2,97.91,0.0,0.0,29.96,0.5,21.7
2021-01-03 01:00:00,20.8,20.3,97.9,0.0,0.0,29.96,0.25,20.8
2021-01-03 02:00:00,20.3,19.9,98.31,0.0,0.0,29.95,0.25,20.3
2021-01-03 03:00:00,20.8,20.3,97.9,0.0,0.0,29.95,0.5,20.8
2021-01-03 04:00:00,20.3,19.9,98.31,0.0,0.0,29.93,0.5,20.3
2021-01-03 05:00:00,19.4,18.9,97.88,0.0,0.0,29.92,0.5,19.4
2021-01-03 06:00:00,19.0,18.3,97.04,0.0,0.0,29.91,0.5,19.0
2021-01-03 07:00:00,18.5,17.6,96.2,0.0,0.0,29.92,0.5,18.5
2021-01-03 08:00:00,18.5,17.6,96.2,0.0,0.0,29.9,0.25,18.5
2021-01-03 09:00:00,18.0,17.1,96.19,0.0,0.0,29.88,0.25,18.0
2021-01-03 10:00:00,17.1,15.8,94.52,0.0,0.0,29.86,0.5,17.1
2021-01-03 11:00:00,17.1,15.8,94.52,0.0,0.0,29.86,0.5,17.1
2021-01-03 12:00:00,16.5,15.4,95.33,0.0,0.0,29.87,0.5,16.5
2021-01-03 13:00:00,16.3,15.1,94.92,0.0,0.0,29.88,0.25,16.3
2021-01-03 14:00:00,17.6,16.7,96.19,0.0,0.0,29.9,0.5,17.6
2021-01-03 15:00:00,19.0,18.3,97.04,0.0,0.0,29.89,0.25,19.0
2021-01-03 16:00:00,20.3,19.8,97.89,0.0,0.0,29.87,0.5,20.3
2021-01-03 17:00:00,22.8,22.3,97.92,0.0,0.0,29.86,2.5,22.8
2021-01-03 18:00:00,23.5,23.4,99.58,0.0,0.0,29.84,4.0,23.5
2021-01-03 19:00:00,25.5,25.3,99.17,230.0,3.0,29.84,10.0,21.26
2021-01-03 20:00:00,23.9,23.9,100.0,240.0,7.0,29.85,10.0,14.91
2021-01-03 21:00:00,22.6,22.1,97.91,240.0,5.0,29.87,7.0,15.23
2021-01-03 22:00:00,22.8,22.5,98.75,220.0,4.0,29.87,4.0,16.68
2021-01-03 23:00:00,22.3,21.9,98.33,240.0,5.0,29.88,2.5,14.88
2021-01-04 00:00:00,21.7,21.4,98.74,220.0,6.0,29.88,1.0,13.13
2021-01-04 01:00:00,21.6,21.2,98.32,230.0,5.0,29.88,1.25,14.04
2021-01-04 02:00:00,21.4,21.0,98.32,230.0,5.0,29.88,1.25,13.81
2021-01-04 03:00:00,21.0,20.3,97.07,260.0,3.0,29.87,1.5,16.11
2021-01-04 04:00:00,20.7,20.1,97.48,240.0,4.0,29.86,0.75,14.22
2021-01-04 05:00:00,20.3,19.9,98.31,0.0,0.0,29.85,1.25,20.3
2021-01-04 06:00:00,20.3,19.8,97.89,0.0,0.0,29.85,2.0,20.3
2021-01-04 07:00:00,20.1,19.4,97.06,0.0,0.0,29.87,3.0,20.1
2021-01-04 08:00:00,20.3,19.9,98.31,0.0,0.0,29.86,1.5,20.3
