,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.7,8.4,69.32,200.0,5.0,30.2,10.0,8.22
2021-01-01 01:00:00,16.7,8.4,69.32,200.0,6.0,30.22,10.0,7.1
2021-01-01 02:00:00,14.0,6.0,69.62,190.0,4.0,30.21,10.0,6.4
2021-01-01 03:00:00,11.3,3.6,70.58,0.0,0.0,30.19,5.0,11.3
2021-01-01 04:00:00,9.3,1.6,70.34,0.0,0.0,30.18,7.0,9.3
2021-01-01 05:00:00,8.4,0.9,70.89,0.0,0.0,30.18,7.0,8.4
2021-01-01 06:00:00,9.0,1.2,69.98,0.0,0.0,30.18,7.0,9.0
2021-01-01 07:00:00,11.3,3.7,70.91,180.0,4.0,30.2,7.0,3.25
2021-01-01 08:00:00,14.0,6.0,69.62,170.0,5.0,30.19,7.0,5.02
2021-01-01 09:00:00,14.0,6.0,69.62,180.0,5.0,30.18,7.0,5.02
2021-01-01 10:00:00,12.9,5.0,70.13,180.0,3.0,30.18,7.0,6.85
2021-01-01 11:00:00,11.3,3.6,70.58,180.0,3.0,30.19,7.0,5.02
2021-01-01 12:00:00,11.3,3.6,70.58,0.0,0.0,30.17,5.0,11.3
2021-01-01 13:00:00,4.8,-3.0,69.8,0.0,0.0,30.15,5.0,4.8
2021-01-01 14:00:00,6.4,-1.3,69.99,0.0,0.0,30.11,7.0,6.4
2021-01-01 15:00:00,11.3,3.6,70.58,0.0,0.0,30.12,5.0,11.3
2021-01-01 16:00:00,16.7,8.4,69.32,0.0,0.0,30.07,5.0,16.7
2021-01-01 17:00:00,19.2,10.8,69.31,210.0,3.0,30.02,10.0,14.06
2021-01-01 18:00:00,21.9,13.1,68.42,190.0,7.0,30.01,10.0,12.47
2021-01-01 19:00:00,23.9,15.3,69.27,190.0,4.0,30.0,10.0,17.96
2021-01-01 20:00:00,24.3,15.6,69.01,0.0,0.0,29.98,10.0,24.3
2021-01-01 21:00:00,22.5,14.0,69.4,180.0,3.0,29.99,10.0,17.83
2021-01-01 22:00:00,19.2,10.9,69.62,0.0,0.0,29.98,10.0,19.2
2021-01-01 23:00:00,16.9,8.6,69.34,0.0,0.0,29.96,10.0,16.9
2021-01-02 00:00:00,16.7,8.6,69.95,0.0,0.0,29.95,7.0,16.7
2021-01-02 01:00:00,13.3,5.2,69.54,0.0,0.0,29.94,4.0,13.3
2021-01-02 02:00:00,11.3,3.6,70.58,0.0,0.0,29.94,1.75,11.3
2021-01-02 03:00:00,11.3,3.6,70.58,0.0,0.0,29.95,5.0,11.3
2021-01-02 04:00:00,14.0,6.0,69.62,0.0,0.0,29.95,0.5,14.0
2021-01-02 05:00:00,16.7,8.4,69.32,0.0,0.0,29.93,0.5,16.7
2021-01-02 06:00:00,19.2,10.9,69.62,0.0,0.0,29.93,1.5,19.2
2021-01-02 07:00:00,19.2,10.9,69.62,300.0,3.0,29.93,2.0,14.06
2021-01-02 08:00:00,21.7,13.1,69.0,310.0,3.0,29.94,3.0,16.91
2021-01-02 09:00:00,21.7,13.1,69.0,270.0,3.0,29.95,2.5,16.91
2021-01-02 10:00:00,20.1,11.7,69.42,270.0,3.0,29.95,3.0,15.08
2021-01-02 11:00:00,19.2,10.9,69.62,250.0,3.0,29.96,2.5,14.06
2021-01-02 12:00:00,19.2,10.9,69.62,240.0,3.0,29.98,5.0,14.06
