,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,10.0,8.1,91.82,220.0,7.0,30.22,6.0,-2.04
2021-01-01 01:00:00,10.9,9.0,91.86,200.0,6.0,30.24,7.0,0.12
2021-01-01 02:00:00,14.0,10.0,83.77,190.0,3.0,30.23,7.0,8.11
2021-01-01 03:00:00,10.0,7.0,87.37,180.0,4.0,30.23,7.0,1.73
2021-01-01 04:00:00,9.0,7.0,91.37,220.0,4.0,30.22,6.0,0.56
2021-01-01 05:00:00,8.1,6.0,91.34,230.0,4.0,30.2,6.0,-0.49
2021-01-01 06:00:00,5.0,1.9,86.68,180.0,3.0,30.2,6.0,-2.18
2021-01-01 07:00:00,1.9,0.0,91.51,170.0,3.0,30.19,6.0,-5.72
2021-01-01 08:00:00,1.9,-0.9,87.72,220.0,3.0,30.22,6.0,-5.72
2021-01-01 09:00:00,3.0,-0.9,83.36,210.0,4.0,30.21,7.0,-6.44
2021-01-01 10:00:00,5.0,1.9,86.68,170.0,3.0,30.21,9.0,-2.18
2021-01-01 11:00:00,1.9,-0.9,87.72,0.0,0.0,30.21,8.0,1.9
2021-01-01 12:00:00,4.0,1.0,87.42,0.0,0.0,30.21,9.0,3.9
2021-01-01 13:00:00,0.0,-3.0,87.19,0.0,0.0,30.18,9.0,0.0
2021-01-01 14:00:00,1.0,-0.9,91.47,130.0,3.0,30.16,8.0,-6.75
2021-01-01 15:00:00,8.1,6.0,91.34,210.0,3.0,30.17,7.0,1.37
2021-01-01 16:00:00,14.0,10.9,87.2,270.0,3.0,30.13,7.0,8.11
2021-01-01 17:00:00,16.0,12.0,83.91,250.0,4.0,30.08,9.0,8.74
2021-01-01 18:00:00,19.9,14.0,77.48,290.0,3.0,30.06,10.0,14.86
2021-01-01 19:00:00,19.9,15.1,81.3,300.0,4.0,30.06,9.0,13.29
2021-01-01 20:00:00,19.0,14.0,80.52,290.0,5.0,30.04,8.0,10.96
2021-01-01 21:00:00,19.0,14.0,80.52,230.0,3.0,30.05,7.0,13.83
2021-01-01 22:00:00,19.9,16.0,84.55,270.0,4.0,30.04,8.0,13.29
2021-01-01 23:00:00,19.9,17.1,88.68,260.0,5.0,30.04,7.0,12.03
2021-01-02 00:00:00,19.9,17.1,88.68,260.0,5.0,30.03,8.0,12.03
2021-01-02 01:00:00,21.0,17.1,84.62,260.0,4.0,30.02,8.0,14.57
2021-01-02 02:00:00,21.0,17.1,84.62,250.0,4.0,30.03,6.0,14.57
2021-01-02 03:00:00,21.0,18.0,87.97,250.0,4.0,30.02,5.0,14.57
2021-01-02 04:00:00,21.0,19.0,91.83,230.0,6.0,30.01,5.0,12.28
2021-01-02 05:00:00,21.0,19.0,91.83,240.0,6.0,30.01,5.0,12.28
2021-01-02 06:00:00,19.9,18.0,92.19,260.0,7.0,30.0,5.0,10.03
2021-01-02 07:00:00,21.0,19.0,91.83,240.0,5.0,29.99,5.0,13.33
2021-01-02 08:00:00,21.0,19.0,91.83,260.0,5.0,30.01,5.0,13.33
2021-01-02 09:00:00,19.9,18.0,92.19,250.0,5.0,30.01,6.0,12.03
2021-01-02 10:00:00,19.9,19.0,96.23,220.0,7.0,30.0,5.0,10.03
2021-01-02 11:00:00,19.9,19.0,96.23,210.0,8.0,30.0,6.0,9.21
2021-01-02 12:00:00,19.9,18.0,92.19,210.0,10.0,30.01,7.0,7.79
2021-01-02 13:00:00,19.9,18.0,92.19,220.0,9.0,30.01,6.0,8.47
2021-01-02 14:00:00,21.0,19.0,91.83,220.0,8.0,30.04,7.0,10.56
2021-01-02 15:00:00,23.0,19.9,87.7,220.0,10.0,30.03,9.0,11.68
2021-01-02 16:00:00,25.0,21.0,84.53,220.0,10.0,30.01,10.0,14.19
2021-01-02 17:00:00,28.0,21.9,77.57,230.0,7.0,29.99,9.0,19.9
2021-01-02 18:00:00,30.0,21.9,71.48,220.0,10.0,29.97,9.0,20.46
2021-01-02 19:00:00,32.0,23.0,69.04,210.0,9.0,29.95,10.0,23.51
2021-01-02 20:00:00,33.0,23.0,66.06,210.0,7.0,29.94,10.0,26.12
2021-01-02 21:00:00,30.9,23.0,72.18,200.0,5.0,29.94,9.0,25.09
2021-01-02 22:00:00,30.0,23.0,74.87,190.0,6.0,29.93,9.0,23.12
2021-01-02 23:00:00,26.1,21.0,80.75,200.0,5.0,29.91,10.0,19.39
2021-01-03 00:00:00,21.9,19.0,88.4,200.0,6.0,29.9,9.0,13.37
2021-01-03 01:00:00,21.9,18.0,84.68,200.0,5.0,29.9,9.0,14.4
2021-01-03 02:00:00,21.9,18.0,84.68,210.0,7.0,29.9,8.0,12.47
2021-01-03 03:00:00,21.9,17.1,81.46,220.0,6.0,29.89,7.0,13.37
2021-01-03 04:00:00,19.0,16.0,87.87,200.0,5.0,29.88,6.0,10.96
2021-01-03 05:00:00,18.0,16.0,91.72,240.0,4.0,29.88,5.0,11.07
2021-01-03 06:00:00,15.1,12.9,90.81,200.0,8.0,29.86,4.0,3.3
2021-01-03 07:00:00,15.1,12.9,90.81,250.0,3.0,29.88,4.0,9.37
2021-01-03 08:00:00,19.0,16.0,87.87,210.0,7.0,29.85,6.0,8.93
2021-01-03 09:00:00,21.0,18.0,87.97,200.0,10.0,29.82,7.0,9.17
2021-01-03 10:00:00,19.9,18.0,92.19,210.0,8.0,29.8,9.0,9.21
2021-01-03 11:00:00,18.0,15.1,88.2,250.0,5.0,29.81,8.0,9.77
2021-01-03 12:00:00,19.0,16.0,87.87,210.0,6.0,29.8,10.0,9.87
2021-01-03 13:00:00,19.9,16.0,84.55,260.0,5.0,29.81,10.0,12.03
2021-01-03 14:00:00,21.0,18.0,87.97,220.0,7.0,29.82,10.0,11.37
2021-01-03 15:00:00,26.1,21.0,80.75,200.0,13.0,29.81,10.0,14.01
2021-01-03 16:00:00,28.9,21.9,74.76,210.0,11.0,29.79,10.0,18.55
2021-01-03 17:00:00,30.0,23.0,74.87,200.0,10.0,29.78,10.0,20.46
2021-01-03 18:00:00,30.9,24.1,75.59,200.0,13.0,29.77,10.0,20.16
2021-01-03 19:00:00,33.0,25.0,71.82,200.0,15.0,29.77,10.0,22.21
2021-01-03 20:00:00,33.0,26.1,75.18,210.0,8.0,29.78,10.0,25.47
2021-01-03 21:00:00,33.0,26.1,75.18,190.0,6.0,29.78,10.0,26.86
2021-01-03 22:00:00,30.0,25.0,81.4,190.0,6.0,29.79,10.0,23.12
2021-01-03 23:00:00,28.9,24.1,82.0,190.0,7.0,29.79,10.0,21.0
2021-01-04 00:00:00,28.9,24.1,82.0,190.0,10.0,29.79,10.0,19.08
2021-01-04 01:00:00,28.9,24.1,82.0,200.0,11.0,29.79,10.0,18.55
2021-01-04 02:00:00,28.0,23.0,81.25,200.0,8.0,29.78,9.0,19.19
2021-01-04 03:00:00,26.1,21.9,83.89,210.0,8.0,29.78,8.0,16.85
2021-01-04 04:00:00,23.0,21.0,91.9,210.0,8.0,29.77,7.0,13.03
2021-01-04 05:00:00,25.0,21.9,87.81,210.0,9.0,29.77,9.0,14.81
2021-01-04 06:00:00,25.0,21.9,87.81,200.0,8.0,29.76,8.0,15.49
2021-01-04 07:00:00,26.1,23.0,87.87,200.0,8.0,29.76,7.0,16.85
2021-01-04 08:00:00,27.0,24.1,88.65,200.0,12.0,29.75,6.0,15.64
2021-01-04 09:00:00,26.1,23.0,87.87,210.0,11.0,29.73,6.0,15.01
2021-01-04 10:00:00,27.0,23.0,84.66,240.0,9.0,29.74,6.0,17.3
2021-01-04 11:00:00,27.0,24.1,88.65,220.0,12.0,29.74,6.0,15.64
2021-01-04 12:00:00,27.0,24.1,88.65,190.0,12.0,29.72,6.0,15.64
2021-01-04 13:00:00,27.0,24.1,88.65,220.0,16.0,29.73,5.0,13.9
2021-01-04 14:00:00,27.0,23.0,84.66,220.0,12.0,29.75,5.0,15.64
2021-01-04 15:00:00,27.0,23.0,84.66,220.0,12.0,29.77,5.0,15.64
2021-01-04 16:00:00,27.0,23.0,84.66,220.0,14.0,29.77,5.0,14.72
2021-01-04 17:00:00,27.0,23.0,84.66,220.0,12.0,29.75,5.0,15.64
2021-01-04 18:00:00,28.0,24.1,85.08,220.0,11.0,29.75,2.0,17.41
2021-01-04 19:00:00,28.0,23.0,81.25,220.0,13.0,29.76,6.0,16.44
2021-01-04 20:00:00,28.9,24.1,82.0,230.0,9.0,29.77,4.0,19.66
2021-01-04 21:00:00,28.9,25.0,85.14,240.0,9.0,29.78,6.0,19.66
2021-01-04 22:00:00,30.0,25.0,81.4,240.0,9.0,29.8,7.0,21.03
2021-01-04 23:00:00,28.9,25.0,85.14,230.0,8.0,29.82,6.0,20.29
2021-01-05 00:00:00,27.0,23.0,84.66,240.0,8.0,29.84,6.0,17.95
2021-01-05 01:00:00,26.1,23.0,87.87,240.0,11.0,29.84,5.0,15.01
2021-01-05 02:00:00,26.1,23.0,87.87,240.0,10.0,29.84,5.0,15.57
2021-01-05 03:00:00,24.1,21.9,91.17,240.0,8.0,29.85,5.0,14.38
2021-01-05 04:00:00,24.1,21.0,87.76,240.0,8.0,29.87,5.0,14.38
2021-01-05 05:00:00,24.1,21.0,87.76,250.0,9.0,29.89,7.0,13.69
2021-01-05 06:00:00,25.0,21.9,87.81,230.0,8.0,29.91,10.0,15.49
