,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.6,8.6,67.28,240.0,5.0,30.31,10.0,9.29
2021-01-01 01:00:00,14.0,8.6,78.68,0.0,0.0,30.29,10.0,14.0
2021-01-01 02:00:00,14.0,8.6,78.68,0.0,0.0,30.28,10.0,14.0
2021-01-01 03:00:00,10.4,5.0,78.35,0.0,0.0,30.28,10.0,10.4
2021-01-01 04:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 05:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 06:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 07:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 08:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 09:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 10:00:00,12.2,8.6,85.17,170.0,6.0,30.29,10.0,1.68
2021-01-01 11:00:00,17.6,15.8,92.5,0.0,0.0,30.25,1.5,17.6
2021-01-01 12:00:00,15.8,14.0,92.44,0.0,0.0,30.23,1.5,15.8
2021-01-01 13:00:00,15.8,14.0,92.44,0.0,0.0,30.21,0.38,15.8
2021-01-01 14:00:00,17.6,14.0,85.51,20.0,3.0,30.2,1.0,12.23
2021-01-01 15:00:00,17.6,15.8,92.5,20.0,5.0,30.18,1.5,9.29
2021-01-01 16:00:00,19.4,17.6,92.57,20.0,5.0,30.14,2.0,11.43
2021-01-01 17:00:00,21.2,19.4,92.63,50.0,5.0,30.07,2.0,13.57
2021-01-01 18:00:00,21.2,19.4,92.63,10.0,8.0,30.04,2.0,10.81
2021-01-01 19:00:00,21.2,21.2,100.0,40.0,8.0,30.01,2.0,10.81
2021-01-01 20:00:00,21.2,21.2,100.0,20.0,7.0,29.97,2.0,11.61
2021-01-01 21:00:00,21.2,21.2,100.0,10.0,11.0,29.95,2.0,8.82
2021-01-01 22:00:00,21.2,21.2,100.0,10.0,7.0,29.96,3.0,11.61
2021-01-01 23:00:00,21.2,21.2,100.0,350.0,6.0,29.98,5.0,12.52
2021-01-02 00:00:00,23.0,21.2,92.69,360.0,6.0,29.98,5.0,14.69
2021-01-02 01:00:00,23.0,23.0,100.0,350.0,8.0,29.97,5.0,13.03
2021-01-02 02:00:00,23.0,23.0,100.0,340.0,10.0,29.94,7.0,11.68
2021-01-02 03:00:00,21.2,21.2,100.0,340.0,5.0,29.94,10.0,13.57
2021-01-02 04:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 05:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 06:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 07:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 08:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 09:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 10:00:00,21.2,19.4,92.63,320.0,6.0,29.95,10.0,12.52
2021-01-02 11:00:00,23.0,21.2,92.69,300.0,4.0,30.03,6.0,16.91
2021-01-02 12:00:00,23.0,21.2,92.69,260.0,7.0,30.05,5.0,13.81
2021-01-02 13:00:00,23.0,21.2,92.69,250.0,8.0,30.06,4.0,13.03
2021-01-02 14:00:00,23.0,21.2,92.69,250.0,7.0,30.09,4.0,13.81
