,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.1,10.9,76.2,160.0,3.0,30.26,7.0,11.66
2021-01-01 01:00:00,15.1,10.9,83.11,350.0,3.0,30.25,7.0,9.37
2021-01-01 02:00:00,12.0,8.1,84.01,50.0,3.0,30.22,5.0,5.82
2021-01-01 03:00:00,9.0,7.0,91.37,120.0,3.0,30.22,5.0,2.4
2021-01-01 04:00:00,10.0,6.0,83.87,100.0,4.0,30.24,5.0,1.73
2021-01-01 05:00:00,12.0,8.1,84.01,100.0,3.0,30.23,5.0,5.82
2021-01-01 06:00:00,12.0,9.0,87.48,150.0,7.0,30.25,5.0,0.4
2021-01-01 07:00:00,12.9,10.0,87.92,170.0,7.0,30.26,2.0,1.5
2021-01-01 08:00:00,12.0,9.0,87.48,110.0,4.0,30.24,3.0,4.07
2021-01-01 09:00:00,10.9,9.0,91.86,130.0,6.0,30.23,2.0,0.12
2021-01-01 10:00:00,12.9,10.0,87.92,160.0,6.0,30.24,2.5,2.53
2021-01-01 11:00:00,12.0,10.0,91.49,0.0,0.0,30.2,2.5,12.0
2021-01-01 12:00:00,10.9,8.1,88.21,90.0,4.0,30.18,4.0,2.78
2021-01-01 13:00:00,10.9,8.1,88.21,0.0,0.0,30.17,3.0,10.9
2021-01-01 14:00:00,10.9,8.1,88.21,100.0,4.0,30.17,4.0,2.78
2021-01-01 15:00:00,12.0,8.1,84.01,100.0,4.0,30.15,4.0,4.07
2021-01-01 16:00:00,14.0,12.0,91.57,0.0,0.0,30.11,5.0,14.0
2021-01-01 17:00:00,16.0,12.9,87.32,120.0,4.0,30.05,4.0,8.74
2021-01-01 18:00:00,18.0,15.1,88.2,70.0,3.0,30.03,4.0,12.68
2021-01-01 19:00:00,19.9,17.1,88.68,320.0,3.0,30.01,2.5,14.86
2021-01-01 20:00:00,21.9,18.0,84.68,320.0,4.0,29.99,3.0,15.63
2021-01-01 21:00:00,23.0,19.0,84.39,300.0,6.0,29.99,2.5,14.69
2021-01-01 22:00:00,23.0,19.0,84.39,300.0,6.0,30.0,4.0,14.69
2021-01-01 23:00:00,23.0,19.9,87.7,320.0,3.0,29.98,3.0,18.4
2021-01-02 00:00:00,23.0,19.9,87.7,300.0,4.0,29.96,3.0,16.91
2021-01-02 01:00:00,21.9,19.0,88.4,280.0,5.0,29.96,3.0,14.4
2021-01-02 02:00:00,21.9,19.9,91.86,270.0,5.0,29.96,3.0,14.4
2021-01-02 03:00:00,21.9,19.9,91.86,290.0,5.0,29.97,3.0,14.4
2021-01-02 04:00:00,21.0,19.0,91.83,290.0,7.0,29.98,5.0,11.37
2021-01-02 05:00:00,19.9,17.1,88.68,0.0,0.0,29.97,7.0,19.9
2021-01-02 06:00:00,19.9,17.1,88.68,290.0,4.0,29.95,7.0,13.29
2021-01-02 07:00:00,19.9,17.1,88.68,260.0,4.0,29.96,5.0,13.29
2021-01-02 08:00:00,19.9,17.1,88.68,270.0,5.0,29.97,5.0,12.03
2021-01-02 09:00:00,19.9,18.0,92.19,260.0,6.0,29.97,4.0,10.96
2021-01-02 10:00:00,21.0,19.0,91.83,290.0,7.0,29.98,3.0,11.37
2021-01-02 11:00:00,21.0,19.0,91.83,290.0,8.0,30.0,5.0,10.56
2021-01-02 12:00:00,19.9,18.0,92.19,260.0,6.0,30.02,6.0,10.96
2021-01-02 13:00:00,19.9,18.0,92.19,250.0,3.0,30.04,4.0,14.86
2021-01-02 14:00:00,19.9,18.0,92.19,230.0,4.0,30.06,5.0,13.29
2021-01-02 15:00:00,21.0,19.0,91.83,260.0,5.0,30.06,1.5,13.33
2021-01-02 16:00:00,21.9,19.9,91.86,260.0,3.0,30.03,2.0,17.14
2021-01-02 17:00:00,23.0,21.0,91.9,260.0,3.0,30.0,5.0,18.4
2021-01-02 18:00:00,24.1,21.9,91.17,260.0,3.0,30.0,5.0,19.66
2021-01-02 19:00:00,25.0,21.9,87.81,0.0,0.0,30.0,5.0,25.0
2021-01-02 20:00:00,25.0,21.9,87.81,190.0,3.0,30.0,6.0,20.69
2021-01-02 21:00:00,25.0,23.0,91.97,240.0,3.0,29.99,5.0,20.69
2021-01-02 22:00:00,25.0,23.0,91.97,0.0,0.0,29.98,4.0,25.0
2021-01-02 23:00:00,24.1,23.0,95.49,210.0,3.0,29.97,2.0,19.66
2021-01-03 00:00:00,24.1,21.9,91.17,180.0,3.0,29.96,0.25,19.66
2021-01-03 01:00:00,23.0,21.0,91.9,200.0,5.0,29.96,0.25,15.71
2021-01-03 02:00:00,21.9,19.9,91.86,210.0,6.0,29.96,0.5,13.37
2021-01-03 03:00:00,21.9,19.9,91.86,160.0,4.0,29.95,0.5,15.63
2021-01-03 04:00:00,21.9,19.9,91.86,230.0,3.0,29.94,0.5,17.14
2021-01-03 05:00:00,21.9,19.0,88.4,290.0,3.0,29.91,0.5,17.14
2021-01-03 06:00:00,21.0,19.0,91.83,200.0,4.0,29.92,0.5,14.57
2021-01-03 07:00:00,21.0,19.0,91.83,0.0,0.0,29.91,0.5,21.0
2021-01-03 08:00:00,21.0,19.0,91.83,0.0,0.0,29.9,0.5,21.0
2021-01-03 09:00:00,19.9,19.0,96.23,160.0,4.0,29.89,0.25,13.29
2021-01-03 10:00:00,19.9,18.0,92.19,170.0,5.0,29.87,0.5,12.03
2021-01-03 11:00:00,19.9,19.0,96.23,200.0,4.0,29.87,0.75,13.29
2021-01-03 12:00:00,19.9,18.0,92.19,190.0,4.0,29.88,0.5,13.29
2021-01-03 13:00:00,19.9,18.0,92.19,0.0,0.0,29.89,1.25,19.9
2021-01-03 14:00:00,19.9,18.0,92.19,270.0,4.0,29.9,6.0,13.29
2021-01-03 15:00:00,19.9,19.0,96.23,160.0,3.0,29.9,2.5,14.86
2021-01-03 16:00:00,21.9,21.0,96.26,0.0,0.0,29.89,7.0,21.9
2021-01-03 17:00:00,23.0,21.9,95.47,170.0,5.0,29.86,7.0,15.71
2021-01-03 18:00:00,24.1,21.9,91.17,170.0,4.0,29.85,7.0,18.19
2021-01-03 19:00:00,24.1,21.9,91.17,200.0,6.0,29.86,8.0,16.02
2021-01-03 20:00:00,24.1,21.0,87.76,180.0,5.0,29.86,8.0,17.01
2021-01-03 21:00:00,24.1,21.0,87.76,220.0,7.0,29.88,7.0,15.15
2021-01-03 22:00:00,24.1,21.0,87.76,180.0,5.0,29.88,5.0,17.01
2021-01-03 23:00:00,23.0,21.0,91.9,160.0,7.0,29.88,7.0,13.81
2021-01-04 00:00:00,24.1,21.9,91.17,170.0,4.0,29.89,5.0,18.19
2021-01-04 01:00:00,23.0,21.0,91.9,180.0,4.0,29.89,5.0,16.91
2021-01-04 02:00:00,23.0,21.0,91.9,180.0,5.0,29.89,2.5,15.71
2021-01-04 03:00:00,23.0,21.0,91.9,190.0,4.0,29.87,4.0,16.91
2021-01-04 04:00:00,23.0,21.0,91.9,180.0,6.0,29.86,4.0,14.69
