,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.5,12.2,82.84,210.0,5.0,30.33,10.0,7.99
2021-01-01 01:00:00,13.3,10.0,86.39,40.0,3.0,30.29,7.0,7.31
2021-01-01 02:00:00,10.8,7.7,87.02,170.0,3.0,30.3,2.5,4.45
2021-01-01 03:00:00,6.6,3.0,84.79,0.0,0.0,30.29,5.0,6.6
2021-01-01 04:00:00,9.1,6.0,86.52,0.0,0.0,30.31,4.0,9.1
2021-01-01 05:00:00,6.6,3.0,84.79,0.0,0.0,30.31,7.0,6.6
2021-01-01 06:00:00,12.2,9.3,87.89,210.0,3.0,30.33,2.5,6.05
2021-01-01 07:00:00,12.7,9.5,86.74,0.0,0.0,30.32,1.0,12.7
2021-01-01 08:00:00,13.1,10.2,87.93,0.0,0.0,30.31,1.75,13.1
2021-01-01 09:00:00,14.5,11.7,88.4,180.0,3.0,30.31,3.0,8.68
2021-01-01 10:00:00,14.7,11.8,88.02,0.0,0.0,30.3,4.0,14.7
2021-01-01 11:00:00,14.5,11.8,88.79,0.0,0.0,30.28,3.0,14.5
2021-01-01 12:00:00,14.9,12.2,88.81,0.0,0.0,30.26,3.0,14.9
2021-01-01 13:00:00,14.9,12.0,88.03,0.0,0.0,30.23,2.0,14.9
2021-01-01 14:00:00,14.7,11.8,88.02,0.0,0.0,30.23,3.0,14.7
2021-01-01 15:00:00,15.6,12.9,88.85,0.0,0.0,30.21,5.0,15.6
2021-01-01 16:00:00,16.7,14.0,88.9,10.0,3.0,30.15,5.0,11.2
2021-01-01 17:00:00,17.4,14.9,89.72,0.0,0.0,30.11,5.0,17.4
2021-01-01 18:00:00,19.2,16.7,89.8,30.0,3.0,30.09,4.0,14.06
2021-01-01 19:00:00,20.7,18.3,90.26,10.0,6.0,30.04,4.0,11.92
2021-01-01 20:00:00,21.6,19.4,91.07,10.0,6.0,30.02,4.0,13.0
2021-01-01 21:00:00,22.1,20.1,91.87,360.0,4.0,30.0,4.0,15.86
