,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,19.9,16.9,87.91,0.0,0.0,30.29,10.0,19.9
2021-01-01 01:00:00,12.9,12.0,96.1,0.0,0.0,30.28,10.0,12.9
2021-01-01 02:00:00,10.2,8.6,93.08,0.0,0.0,30.28,10.0,10.2
2021-01-01 03:00:00,10.4,9.0,93.93,0.0,0.0,30.29,10.0,10.4
2021-01-01 04:00:00,6.3,4.0,90.43,0.0,0.0,30.28,10.0,6.3
2021-01-01 05:00:00,15.8,14.9,96.16,0.0,0.0,30.29,10.0,15.8
2021-01-01 06:00:00,18.0,16.7,94.54,200.0,6.0,30.31,10.0,8.67
2021-01-01 07:00:00,18.1,17.1,95.78,0.0,0.0,30.28,10.0,18.1
2021-01-01 08:00:00,18.1,16.7,94.14,170.0,3.0,30.29,10.0,12.8
2021-01-01 09:00:00,17.6,16.3,94.53,100.0,3.0,30.27,10.0,12.23
2021-01-01 10:00:00,16.7,15.4,94.51,110.0,3.0,30.25,10.0,11.2
2021-01-01 11:00:00,16.3,15.3,95.75,120.0,5.0,30.25,10.0,7.75
2021-01-01 12:00:00,15.6,14.4,94.9,100.0,5.0,30.22,10.0,6.92
2021-01-01 13:00:00,14.9,13.6,94.47,0.0,0.0,30.19,7.0,14.9
2021-01-01 14:00:00,16.2,14.5,92.86,0.0,0.0,30.19,10.0,16.2
2021-01-01 15:00:00,17.6,15.6,91.7,70.0,4.0,30.16,10.0,10.6
2021-01-01 16:00:00,19.2,16.3,88.26,80.0,5.0,30.12,10.0,11.19
2021-01-01 17:00:00,20.1,16.7,86.42,60.0,4.0,30.08,10.0,13.52
2021-01-01 18:00:00,21.7,18.1,85.77,50.0,4.0,30.05,10.0,15.39
2021-01-01 19:00:00,22.6,19.4,87.31,30.0,3.0,30.02,7.0,17.94
2021-01-01 20:00:00,23.0,20.1,88.45,330.0,4.0,30.03,10.0,16.91
2021-01-01 21:00:00,24.3,21.4,88.52,0.0,0.0,30.03,7.0,24.3
2021-01-01 22:00:00,24.3,20.7,85.93,340.0,7.0,30.03,10.0,15.39
2021-01-01 23:00:00,23.4,20.3,87.72,340.0,4.0,30.03,10.0,17.38
2021-01-02 00:00:00,23.0,20.7,90.74,0.0,0.0,30.03,7.0,23.0
2021-01-02 01:00:00,23.0,20.7,90.74,0.0,0.0,30.04,7.0,23.0
2021-01-02 02:00:00,22.6,21.2,94.26,0.0,0.0,30.03,5.0,22.6
2021-01-02 03:00:00,21.9,21.2,97.08,300.0,4.0,30.03,4.0,15.63
2021-01-02 04:00:00,21.2,21.0,99.16,330.0,4.0,30.04,3.0,14.81
2021-01-02 05:00:00,20.7,19.9,96.65,350.0,3.0,30.05,7.0,15.77
2021-01-02 06:00:00,17.4,16.7,97.02,0.0,0.0,30.05,5.0,17.4
2021-01-02 07:00:00,18.3,17.4,96.2,0.0,0.0,30.04,7.0,18.3
2021-01-02 08:00:00,18.3,17.4,96.2,0.0,0.0,30.04,7.0,18.3
2021-01-02 09:00:00,18.3,16.7,93.33,0.0,0.0,30.05,7.0,18.3
2021-01-02 10:00:00,18.9,16.7,90.96,0.0,0.0,30.07,10.0,18.9
