,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,12.2,8.6,85.17,180.0,8.0,30.29,10.0,-0.28
2021-01-01 01:00:00,12.2,8.6,85.17,180.0,8.0,30.29,10.0,-0.28
2021-01-01 02:00:00,12.2,8.6,85.17,180.0,8.0,30.29,10.0,-0.28
2021-01-01 03:00:00,8.6,6.8,92.19,130.0,4.0,30.24,5.0,0.09
2021-01-01 04:00:00,10.4,8.6,92.25,150.0,5.0,30.26,7.0,0.74
2021-01-01 05:00:00,10.4,8.6,92.25,0.0,0.0,30.26,5.0,10.4
2021-01-01 06:00:00,10.4,8.6,92.25,160.0,5.0,30.27,5.0,0.74
2021-01-01 07:00:00,12.2,10.4,92.32,180.0,6.0,30.28,1.75,1.68
2021-01-01 08:00:00,12.2,10.4,92.32,160.0,4.0,30.26,1.75,4.3
2021-01-01 09:00:00,12.2,10.4,92.32,170.0,5.0,30.26,3.0,2.88
2021-01-01 10:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 11:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 12:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 13:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 14:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 15:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 16:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 17:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 18:00:00,12.2,10.4,92.32,190.0,3.0,30.26,3.0,6.05
2021-01-01 19:00:00,21.2,19.4,92.63,0.0,0.0,30.02,1.5,21.2
2021-01-01 20:00:00,21.2,19.4,92.63,20.0,4.0,30.01,3.0,14.81
2021-01-01 21:00:00,21.2,19.4,92.63,20.0,4.0,30.01,3.0,14.81
2021-01-01 22:00:00,21.2,21.2,100.0,330.0,6.0,30.01,3.0,12.52
2021-01-01 23:00:00,21.2,21.2,100.0,330.0,5.0,30.0,3.0,13.57
2021-01-02 00:00:00,21.2,21.2,100.0,330.0,5.0,30.0,3.0,13.57
2021-01-02 01:00:00,21.2,21.2,100.0,0.0,0.0,29.98,3.0,21.2
2021-01-02 02:00:00,21.2,21.2,100.0,0.0,0.0,29.98,3.0,21.2
2021-01-02 03:00:00,21.2,19.4,92.63,320.0,6.0,29.99,2.0,12.52
2021-01-02 04:00:00,21.2,21.2,100.0,310.0,5.0,30.0,3.0,13.57
2021-01-02 05:00:00,21.2,19.4,92.63,310.0,7.0,29.99,5.0,11.61
2021-01-02 06:00:00,21.2,19.4,92.63,270.0,3.0,29.97,5.0,16.34
2021-01-02 07:00:00,21.2,19.4,92.63,250.0,5.0,29.98,7.0,13.57
2021-01-02 08:00:00,21.2,19.4,92.63,270.0,4.0,29.99,7.0,14.81
2021-01-02 09:00:00,21.2,19.4,92.63,300.0,4.0,29.99,5.0,14.81
2021-01-02 10:00:00,21.2,19.4,92.63,280.0,3.0,30.01,3.0,16.34
2021-01-02 11:00:00,21.2,19.4,92.63,280.0,3.0,30.01,3.0,16.34
2021-01-02 12:00:00,21.2,19.4,92.63,260.0,4.0,30.04,1.5,14.81
2021-01-02 13:00:00,21.2,19.4,92.63,260.0,4.0,30.04,1.5,14.81
2021-01-02 14:00:00,19.4,19.4,100.0,270.0,4.0,30.08,0.5,12.71
2021-01-02 15:00:00,19.4,19.4,100.0,270.0,4.0,30.08,0.5,12.71
2021-01-02 16:00:00,19.4,19.4,100.0,270.0,4.0,30.08,0.5,12.71
2021-01-02 17:00:00,19.4,19.4,100.0,270.0,4.0,30.08,0.5,12.71
2021-01-02 18:00:00,19.4,19.4,100.0,270.0,4.0,30.08,0.5,12.71
2021-01-02 19:00:00,24.8,23.0,92.74,220.0,5.0,30.02,1.5,17.84
2021-01-02 20:00:00,24.8,23.0,92.74,220.0,3.0,30.02,3.0,20.46
2021-01-02 21:00:00,24.8,23.0,92.74,0.0,0.0,30.01,1.25,24.8
2021-01-02 22:00:00,24.8,23.0,92.74,0.0,0.0,30.01,1.0,24.8
2021-01-02 23:00:00,23.0,23.0,100.0,0.0,0.0,30.0,0.25,23.0
2021-01-03 00:00:00,23.0,21.2,92.69,0.0,0.0,29.99,0.12,23.0
2021-01-03 01:00:00,21.2,21.2,100.0,170.0,5.0,29.99,0.12,13.57
2021-01-03 02:00:00,21.2,21.2,100.0,180.0,5.0,29.99,0.12,13.57
2021-01-03 03:00:00,21.2,19.4,92.63,200.0,3.0,29.97,0.12,16.34
2021-01-03 04:00:00,23.0,21.2,92.69,0.0,0.0,29.96,0.25,23.0
2021-01-03 05:00:00,21.2,21.2,100.0,0.0,0.0,29.95,0.25,21.2
2021-01-03 06:00:00,21.2,21.2,100.0,210.0,3.0,29.94,0.25,16.34
2021-01-03 07:00:00,21.2,19.4,92.63,0.0,0.0,29.93,0.25,21.2
2021-01-03 08:00:00,21.2,21.2,100.0,0.0,0.0,29.92,0.25,21.2
2021-01-03 09:00:00,21.2,19.4,92.63,0.0,0.0,29.92,0.25,21.2
2021-01-03 10:00:00,21.2,19.4,92.63,180.0,3.0,29.9,0.25,16.34
2021-01-03 11:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 12:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 13:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 14:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 15:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 16:00:00,19.4,17.6,92.57,190.0,3.0,29.89,0.25,14.28
2021-01-03 17:00:00,23.0,21.2,92.69,0.0,0.0,29.89,0.5,23.0
2021-01-03 18:00:00,23.0,21.2,92.69,0.0,0.0,29.88,1.0,23.0
2021-01-03 19:00:00,23.0,21.2,92.69,0.0,0.0,29.88,2.0,23.0
