,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.3,14.4,92.06,0.0,0.0,30.29,10.0,16.3
2021-01-01 01:00:00,12.6,10.9,92.74,0.0,0.0,30.28,10.0,12.6
2021-01-01 02:00:00,14.9,13.8,95.3,0.0,0.0,30.28,10.0,14.9
2021-01-01 03:00:00,16.3,14.9,94.09,150.0,8.0,30.29,10.0,4.77
2021-01-01 04:00:00,15.8,14.9,96.16,170.0,12.0,30.29,10.0,1.38
2021-01-01 05:00:00,15.8,15.1,97.0,200.0,6.0,30.3,5.0,6.02
2021-01-01 06:00:00,14.7,14.0,96.98,170.0,9.0,30.3,4.0,2.0
2021-01-01 07:00:00,14.7,14.0,96.98,0.0,0.0,30.29,7.0,14.7
2021-01-01 08:00:00,14.4,13.6,96.55,0.0,0.0,30.27,4.0,14.4
2021-01-01 09:00:00,13.6,12.9,96.97,0.0,0.0,30.26,2.0,13.6
2021-01-01 10:00:00,13.8,13.1,96.97,0.0,0.0,30.25,4.0,13.8
2021-01-01 11:00:00,13.1,12.2,96.11,0.0,0.0,30.24,3.0,13.1
2021-01-01 12:00:00,12.7,11.8,96.1,0.0,0.0,30.23,4.0,12.7
2021-01-01 13:00:00,13.1,12.2,96.11,0.0,0.0,30.19,2.5,13.1
2021-01-01 14:00:00,14.4,13.6,96.55,0.0,0.0,30.17,1.75,14.4
2021-01-01 15:00:00,15.4,14.9,97.84,50.0,3.0,30.14,2.5,9.71
2021-01-01 16:00:00,16.3,15.8,97.85,0.0,0.0,30.11,2.5,16.3
2021-01-01 17:00:00,17.2,16.7,97.86,0.0,0.0,30.05,3.0,17.2
2021-01-01 18:00:00,18.0,17.6,98.29,0.0,0.0,30.01,4.0,18.0
2021-01-01 19:00:00,19.4,19.2,99.15,20.0,6.0,29.97,3.0,10.36
2021-01-01 20:00:00,20.3,20.3,100.0,20.0,3.0,29.95,4.0,15.31
2021-01-01 21:00:00,21.9,21.6,98.74,0.0,0.0,29.96,4.0,21.9
2021-01-01 22:00:00,23.0,22.3,97.1,0.0,0.0,29.97,4.0,23.0
2021-01-01 23:00:00,23.7,22.5,95.08,0.0,0.0,29.97,5.0,23.7
2021-01-02 00:00:00,23.5,22.1,94.28,340.0,7.0,29.99,4.0,14.42
2021-01-02 01:00:00,23.0,22.1,96.28,350.0,6.0,29.99,3.0,14.69
2021-01-02 02:00:00,23.0,22.1,96.28,0.0,0.0,29.99,3.0,23.0
2021-01-02 03:00:00,22.1,21.6,97.91,330.0,4.0,29.97,2.0,15.86
2021-01-02 04:00:00,21.9,21.7,99.16,330.0,4.0,29.98,2.0,15.63
2021-01-02 05:00:00,22.1,22.1,100.0,340.0,5.0,29.99,2.5,14.64
2021-01-02 06:00:00,21.9,21.6,98.74,340.0,5.0,30.01,3.0,14.4
2021-01-02 07:00:00,20.7,20.3,98.31,340.0,6.0,30.01,3.0,11.92
2021-01-02 08:00:00,19.0,18.9,99.57,0.0,0.0,30.01,3.0,19.0
2021-01-02 09:00:00,19.4,19.0,98.3,0.0,0.0,30.02,4.0,19.4
2021-01-02 10:00:00,19.4,18.9,97.88,0.0,0.0,30.04,5.0,19.4
2021-01-02 11:00:00,19.8,19.2,97.47,0.0,0.0,30.06,4.0,19.8
2021-01-02 12:00:00,19.8,19.0,96.64,0.0,0.0,30.09,4.0,19.8
2021-01-02 13:00:00,19.8,19.0,96.64,0.0,0.0,30.1,4.0,19.8
2021-01-02 14:00:00,20.3,19.2,95.42,0.0,0.0,30.1,5.0,20.3
2021-01-02 15:00:00,21.2,20.1,95.43,0.0,0.0,30.1,4.0,21.2
2021-01-02 16:00:00,22.8,21.7,95.47,0.0,0.0,30.09,7.0,22.8
2021-01-02 17:00:00,23.0,22.1,96.28,0.0,0.0,30.08,5.0,23.0
2021-01-02 18:00:00,23.5,22.6,96.29,0.0,0.0,30.06,5.0,23.5
2021-01-02 19:00:00,23.7,23.0,97.11,0.0,0.0,30.04,5.0,23.7
2021-01-02 20:00:00,23.9,23.2,97.11,0.0,0.0,30.03,3.0,23.9
2021-01-02 21:00:00,23.0,23.0,100.0,0.0,0.0,30.03,2.0,23.0
2021-01-02 22:00:00,23.2,23.2,100.0,0.0,0.0,30.03,2.0,23.2
2021-01-02 23:00:00,23.0,23.0,100.0,0.0,0.0,30.03,1.5,23.0
2021-01-03 00:00:00,22.6,22.6,100.0,0.0,0.0,30.03,1.25,22.6
2021-01-03 01:00:00,21.7,21.7,100.0,180.0,4.0,30.01,2.5,15.39
2021-01-03 02:00:00,21.4,21.4,100.0,0.0,0.0,30.0,1.25,21.4
2021-01-03 03:00:00,21.0,21.0,100.0,0.0,0.0,29.99,1.25,21.0
2021-01-03 04:00:00,20.3,20.3,100.0,0.0,0.0,29.97,4.0,20.3
2021-01-03 05:00:00,20.3,20.3,100.0,0.0,0.0,29.95,3.0,20.3
2021-01-03 06:00:00,20.1,20.1,100.0,0.0,0.0,29.95,2.5,20.1
2021-01-03 07:00:00,19.8,19.8,100.0,0.0,0.0,29.95,3.0,19.8
2021-01-03 08:00:00,19.4,19.4,100.0,0.0,0.0,29.95,2.5,19.4
2021-01-03 09:00:00,18.9,18.7,99.15,0.0,0.0,29.94,2.0,18.9
2021-01-03 10:00:00,18.7,18.5,99.15,0.0,0.0,29.93,1.75,18.7
2021-01-03 11:00:00,18.5,18.3,99.14,0.0,0.0,29.93,1.75,18.5
2021-01-03 12:00:00,18.0,17.6,98.29,250.0,4.0,29.92,0.75,11.07
2021-01-03 13:00:00,17.6,17.4,99.14,0.0,0.0,29.92,0.5,17.6
2021-01-03 14:00:00,18.0,17.6,98.29,0.0,0.0,29.95,1.0,18.0
2021-01-03 15:00:00,18.7,18.5,99.15,0.0,0.0,29.97,1.5,18.7
2021-01-03 16:00:00,19.4,19.2,99.15,0.0,0.0,29.96,0.5,19.4
2021-01-03 17:00:00,20.3,20.3,100.0,0.0,0.0,29.94,0.75,20.3
2021-01-03 18:00:00,21.2,21.2,100.0,210.0,4.0,29.93,2.5,14.81
2021-01-03 19:00:00,22.3,22.3,100.0,230.0,6.0,29.92,5.0,13.85
2021-01-03 20:00:00,21.7,21.7,100.0,210.0,5.0,29.93,5.0,14.16
2021-01-03 21:00:00,20.7,20.7,100.0,250.0,5.0,29.94,5.0,12.98
2021-01-03 22:00:00,19.4,19.4,100.0,250.0,5.0,29.96,2.5,11.43
2021-01-03 23:00:00,19.4,19.4,100.0,230.0,7.0,29.96,4.0,9.42
2021-01-04 00:00:00,19.4,19.4,100.0,220.0,5.0,29.95,1.5,11.43
2021-01-04 01:00:00,19.4,19.4,100.0,0.0,0.0,29.95,0.75,19.4
2021-01-04 02:00:00,19.4,19.4,100.0,240.0,3.0,29.95,0.75,14.28
2021-01-04 03:00:00,19.4,19.4,100.0,0.0,0.0,29.95,1.0,19.4
2021-01-04 04:00:00,19.2,19.0,99.15,0.0,0.0,29.94,1.25,19.2
2021-01-04 05:00:00,18.9,18.7,99.15,0.0,0.0,29.93,2.5,18.9
2021-01-04 06:00:00,18.5,18.5,100.0,220.0,5.0,29.92,3.0,10.36
2021-01-04 07:00:00,18.5,18.3,99.14,0.0,0.0,29.94,7.0,18.5
2021-01-04 08:00:00,18.5,18.5,100.0,0.0,0.0,29.94,5.0,18.5
2021-01-04 09:00:00,19.4,19.4,100.0,0.0,0.0,29.92,7.0,19.4
2021-01-04 10:00:00,18.9,18.5,98.3,0.0,0.0,29.92,5.0,18.9
2021-01-04 11:00:00,19.0,18.9,99.57,0.0,0.0,29.92,3.0,19.0
2021-01-04 12:00:00,19.0,18.9,99.57,0.0,0.0,29.92,1.25,19.0
2021-01-04 13:00:00,19.4,19.4,100.0,0.0,0.0,29.92,2.0,19.4
