,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,18.1,15.8,90.53,80.0,3.0,30.27,10.0,12.8
2021-01-01 01:00:00,17.6,15.4,90.91,100.0,4.0,30.29,10.0,10.6
2021-01-01 02:00:00,17.2,14.9,90.5,110.0,5.0,30.3,5.0,8.82
2021-01-01 03:00:00,16.2,13.6,89.27,90.0,5.0,30.29,2.0,7.63
2021-01-01 04:00:00,16.2,13.6,89.27,100.0,5.0,30.29,1.25,7.63
2021-01-01 05:00:00,17.6,15.3,90.51,150.0,4.0,30.3,2.5,10.6
2021-01-01 06:00:00,18.5,16.3,90.95,0.0,0.0,30.26,1.0,18.5
2021-01-01 07:00:00,18.5,16.2,90.55,10.0,3.0,30.25,0.25,13.26
2021-01-01 08:00:00,18.5,16.2,90.55,30.0,5.0,30.25,0.25,10.36
2021-01-01 09:00:00,18.0,15.6,90.14,0.0,0.0,30.25,0.25,18.0
2021-01-01 10:00:00,17.4,14.9,89.72,40.0,4.0,30.23,0.25,10.37
2021-01-01 11:00:00,16.7,14.4,90.47,10.0,7.0,30.19,0.25,6.13
2021-01-01 12:00:00,16.7,14.4,90.47,350.0,7.0,30.15,1.75,6.13
2021-01-01 13:00:00,18.0,15.6,90.14,20.0,8.0,30.13,1.75,6.87
2021-01-01 14:00:00,19.2,17.1,91.37,20.0,11.0,30.11,1.75,6.29
2021-01-01 15:00:00,20.7,18.7,91.82,10.0,10.0,30.09,1.75,8.8
2021-01-01 16:00:00,23.7,21.9,92.71,30.0,12.0,30.02,2.0,11.44
2021-01-01 17:00:00,24.6,23.0,93.52,30.0,9.0,29.98,2.0,14.31
2021-01-01 18:00:00,26.6,25.3,94.75,30.0,12.0,29.91,3.0,15.13
2021-01-01 19:00:00,28.2,27.1,95.58,20.0,18.0,29.86,3.0,14.75
2021-01-01 20:00:00,28.2,27.3,96.37,360.0,13.0,29.88,1.75,16.7
2021-01-01 21:00:00,26.6,25.7,96.34,350.0,13.0,29.88,1.0,14.65
2021-01-01 22:00:00,27.3,26.2,95.56,340.0,10.0,29.89,2.0,17.07
2021-01-01 23:00:00,27.1,26.1,95.95,340.0,12.0,29.89,3.0,15.77
2021-01-02 00:00:00,26.6,25.3,94.75,340.0,11.0,29.91,3.0,15.64
2021-01-02 01:00:00,26.1,24.8,94.74,340.0,11.0,29.92,3.0,15.01
2021-01-02 02:00:00,25.7,24.4,94.73,340.0,9.0,29.92,4.0,15.68
