,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,18.0,11.3,74.61,210.0,3.0,30.21,10.0,12.68
2021-01-01 01:00:00,16.3,11.1,79.59,210.0,4.0,30.22,10.0,9.09
2021-01-01 02:00:00,14.5,10.8,84.94,0.0,0.0,30.22,10.0,14.5
2021-01-01 03:00:00,8.4,6.8,93.02,0.0,0.0,30.19,5.0,8.4
2021-01-01 04:00:00,5.2,1.0,82.36,0.0,0.0,30.19,7.0,5.2
2021-01-01 05:00:00,2.8,-1.5,81.78,0.0,0.0,30.19,10.0,2.8
2021-01-01 06:00:00,3.7,-0.2,83.41,0.0,0.0,30.19,10.0,3.7
2021-01-01 07:00:00,5.0,1.0,83.12,0.0,0.0,30.21,10.0,5.0
2021-01-01 08:00:00,7.0,3.4,84.82,0.0,0.0,30.19,7.0,7.0
2021-01-01 09:00:00,8.4,5.0,85.69,0.0,0.0,30.19,7.0,8.4
2021-01-01 10:00:00,7.0,3.2,84.04,0.0,0.0,30.19,7.0,7.0
2021-01-01 11:00:00,1.6,-2.6,82.08,0.0,0.0,30.19,10.0,1.6
2021-01-01 12:00:00,0.3,-3.6,83.15,0.0,0.0,30.17,10.0,0.3
2021-01-01 13:00:00,-0.4,-4.5,82.31,0.0,0.0,30.15,10.0,-0.4
2021-01-01 14:00:00,2.3,-1.7,82.91,0.0,0.0,30.12,10.0,2.3
2021-01-01 15:00:00,6.0,2.5,84.76,0.0,0.0,30.12,7.0,6.1
2021-01-01 16:00:00,14.7,12.4,90.39,0.0,0.0,30.08,7.0,14.7
2021-01-01 17:00:00,18.5,17.1,94.15,110.0,3.0,30.03,10.0,13.26
2021-01-01 18:00:00,23.4,13.8,66.24,150.0,3.0,30.02,10.0,18.86
2021-01-01 19:00:00,24.3,13.8,63.79,120.0,3.0,30.0,10.0,19.89
2021-01-01 20:00:00,25.3,13.5,60.39,0.0,0.0,29.98,10.0,25.3
2021-01-01 21:00:00,24.4,13.6,62.97,170.0,3.0,29.99,10.0,20.0
2021-01-01 22:00:00,18.9,12.7,76.37,0.0,0.0,29.96,10.0,18.9
2021-01-01 23:00:00,16.0,11.8,83.17,0.0,0.0,29.96,10.0,16.0
2021-01-02 00:00:00,14.4,10.4,83.8,0.0,0.0,29.94,10.0,14.4
2021-01-02 01:00:00,10.0,8.6,93.92,0.0,0.0,29.94,10.0,10.0
2021-01-02 02:00:00,6.0,3.2,87.55,0.0,0.0,29.94,10.0,6.1
2021-01-02 03:00:00,4.5,0.5,83.08,0.0,0.0,29.95,10.0,4.5
2021-01-02 04:00:00,6.4,3.6,87.97,0.0,0.0,29.95,7.0,6.4
2021-01-02 05:00:00,12.0,10.0,91.49,290.0,3.0,29.93,0.5,5.82
2021-01-02 06:00:00,16.5,14.9,93.28,0.0,0.0,29.93,2.0,16.5
2021-01-02 07:00:00,17.4,16.0,94.12,0.0,0.0,29.93,1.75,17.4
2021-01-02 08:00:00,18.1,16.7,94.14,0.0,0.0,29.94,2.5,18.1
2021-01-02 09:00:00,18.3,17.2,95.37,0.0,0.0,29.94,2.0,18.3
2021-01-02 10:00:00,18.0,16.7,94.54,250.0,3.0,29.95,1.25,12.68
2021-01-02 11:00:00,17.4,16.2,94.94,250.0,4.0,29.96,4.0,10.37
2021-01-02 12:00:00,17.1,15.6,93.7,230.0,3.0,29.97,4.0,11.66
2021-01-02 13:00:00,16.7,15.4,94.51,230.0,5.0,30.0,4.0,8.22
2021-01-02 14:00:00,16.7,15.3,94.1,230.0,3.0,30.01,5.0,11.2
2021-01-02 15:00:00,17.8,16.7,95.36,230.0,3.0,30.01,7.0,12.46
2021-01-02 16:00:00,20.3,19.6,97.06,240.0,3.0,29.99,7.0,15.31
2021-01-02 17:00:00,22.1,21.4,97.08,230.0,4.0,29.97,7.0,15.86
2021-01-02 18:00:00,22.8,22.5,98.75,240.0,5.0,29.95,7.0,15.47
2021-01-02 19:00:00,24.4,23.7,97.12,230.0,3.0,29.94,10.0,20.0
2021-01-02 20:00:00,25.0,23.4,93.53,240.0,5.0,29.95,10.0,18.08
2021-01-02 21:00:00,25.0,24.1,96.31,220.0,3.0,29.95,10.0,20.69
2021-01-02 22:00:00,23.5,23.0,97.92,190.0,3.0,29.94,10.0,18.97
2021-01-02 23:00:00,22.1,22.1,100.0,230.0,3.0,29.94,5.0,17.37
2021-01-03 00:00:00,21.6,21.6,100.0,0.0,0.0,29.93,3.0,21.6
2021-01-03 01:00:00,20.8,20.8,100.0,0.0,0.0,29.92,4.0,20.8
2021-01-03 02:00:00,20.3,20.3,100.0,0.0,0.0,29.91,2.5,20.3
2021-01-03 03:00:00,19.8,19.4,98.31,0.0,0.0,29.9,4.0,19.8
2021-01-03 04:00:00,19.0,18.5,97.88,0.0,0.0,29.89,5.0,19.0
2021-01-03 05:00:00,18.5,18.0,97.87,220.0,3.0,29.89,5.0,13.26
2021-01-03 06:00:00,18.3,17.6,97.03,200.0,3.0,29.89,7.0,13.03
2021-01-03 07:00:00,17.1,16.2,96.18,0.0,0.0,29.88,7.0,17.1
2021-01-03 08:00:00,14.0,12.9,95.28,0.0,0.0,29.85,7.0,14.0
2021-01-03 09:00:00,12.0,10.4,93.14,0.0,0.0,29.84,7.0,12.0
2021-01-03 10:00:00,9.7,7.5,90.58,0.0,0.0,29.82,7.0,9.7
2021-01-03 11:00:00,7.5,5.4,90.89,0.0,0.0,29.82,7.0,7.5
2021-01-03 12:00:00,4.8,2.3,89.11,0.0,0.0,29.84,10.0,4.8
2021-01-03 13:00:00,4.0,2.0,91.17,0.0,0.0,29.84,10.0,4.1
2021-01-03 14:00:00,10.6,9.3,94.35,0.0,0.0,29.85,5.0,10.6
2021-01-03 15:00:00,15.6,14.7,96.15,250.0,4.0,29.84,5.0,8.27
2021-01-03 16:00:00,21.0,20.8,99.15,240.0,3.0,29.83,10.0,16.11
2021-01-03 17:00:00,25.7,25.7,100.0,230.0,5.0,29.8,10.0,18.91
2021-01-03 18:00:00,29.5,26.8,89.51,220.0,5.0,29.78,10.0,23.43
2021-01-03 19:00:00,32.4,23.4,69.09,230.0,6.0,29.79,10.0,26.01
2021-01-03 20:00:00,32.7,23.9,69.71,230.0,8.0,29.8,10.0,24.98
2021-01-03 21:00:00,31.5,23.9,73.16,230.0,5.0,29.81,10.0,25.8
2021-01-03 22:00:00,28.6,23.4,80.61,0.0,0.0,29.82,10.0,28.6
2021-01-03 23:00:00,25.5,21.6,84.92,210.0,3.0,29.81,10.0,21.26
2021-01-04 00:00:00,23.4,22.3,95.48,200.0,4.0,29.82,10.0,17.38
2021-01-04 01:00:00,23.0,23.0,100.0,220.0,4.0,29.83,5.0,16.91
2021-01-04 02:00:00,23.5,23.5,100.0,220.0,6.0,29.83,7.0,15.29
2021-01-04 03:00:00,23.4,23.4,100.0,230.0,5.0,29.82,5.0,16.18
2021-01-04 04:00:00,23.0,23.0,100.0,220.0,6.0,29.8,5.0,14.69
2021-01-04 05:00:00,22.5,22.5,100.0,220.0,5.0,29.8,7.0,15.11
2021-01-04 06:00:00,22.5,22.5,100.0,210.0,3.0,29.8,7.0,17.83
2021-01-04 07:00:00,23.0,23.0,100.0,210.0,3.0,29.81,7.0,18.4
