,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.1,12.9,83.25,0.0,0.0,30.33,7.0,17.1
2021-01-01 01:00:00,19.0,12.9,76.72,350.0,5.0,30.33,5.0,10.96
2021-01-01 02:00:00,15.1,10.0,79.84,0.0,0.0,30.34,4.0,15.1
2021-01-01 03:00:00,12.0,9.0,87.48,330.0,3.0,30.33,3.0,5.82
2021-01-01 04:00:00,10.9,6.0,80.57,270.0,3.0,30.33,4.0,4.57
2021-01-01 05:00:00,10.9,6.0,80.57,310.0,5.0,30.33,5.0,1.34
2021-01-01 06:00:00,16.0,12.9,87.32,300.0,3.0,30.33,4.0,10.4
2021-01-01 07:00:00,16.0,10.9,79.92,20.0,3.0,30.3,4.0,10.4
2021-01-01 08:00:00,15.1,10.0,79.84,360.0,4.0,30.29,4.0,7.69
2021-01-01 09:00:00,15.1,10.9,83.11,350.0,3.0,30.28,4.0,9.37
2021-01-01 10:00:00,15.1,10.9,83.11,0.0,0.0,30.27,4.0,15.1
2021-01-01 11:00:00,19.0,14.0,80.52,360.0,4.0,30.22,4.0,12.24
2021-01-01 12:00:00,21.9,18.0,84.68,20.0,5.0,30.18,4.0,14.4
2021-01-01 13:00:00,28.9,24.1,82.0,90.0,10.0,30.17,4.0,19.08
2021-01-01 14:00:00,32.0,26.1,78.58,70.0,12.0,30.13,6.0,22.0
2021-01-01 15:00:00,33.0,27.0,78.03,60.0,10.0,30.12,6.0,24.35
2021-01-01 16:00:00,33.0,28.0,81.3,70.0,11.0,30.08,4.0,23.86
2021-01-01 17:00:00,33.0,28.9,84.36,70.0,13.0,30.03,0.25,22.98
2021-01-01 18:00:00,34.0,30.0,85.11,70.0,15.0,29.94,0.5,23.37
2021-01-01 19:00:00,34.0,30.0,85.11,60.0,16.0,29.88,1.5,23.03
2021-01-01 20:00:00,35.0,30.9,84.49,60.0,12.0,29.88,0.5,25.95
2021-01-01 21:00:00,35.0,30.9,84.49,50.0,13.0,29.86,0.75,25.54
2021-01-01 22:00:00,35.0,30.9,84.49,40.0,12.0,29.86,1.5,25.95
2021-01-01 23:00:00,35.0,30.9,84.49,40.0,12.0,29.86,1.5,25.95
2021-01-02 00:00:00,34.0,30.0,85.11,20.0,15.0,29.84,2.0,23.37
2021-01-02 01:00:00,35.0,30.9,84.49,20.0,10.0,29.84,2.5,26.86
2021-01-02 02:00:00,35.0,30.9,84.49,360.0,11.0,29.87,1.25,26.38
2021-01-02 03:00:00,33.0,28.9,84.36,360.0,10.0,29.88,4.0,24.35
2021-01-02 04:00:00,33.0,28.9,84.36,360.0,6.0,29.89,5.0,26.86
2021-01-02 05:00:00,33.0,28.9,84.36,360.0,9.0,29.91,6.0,24.88
2021-01-02 06:00:00,32.0,27.0,81.55,350.0,8.0,29.93,5.0,24.11
2021-01-02 07:00:00,28.9,24.1,82.0,320.0,6.0,29.98,4.0,21.8
2021-01-02 08:00:00,28.0,23.0,81.25,330.0,6.0,30.0,3.0,20.71
2021-01-02 09:00:00,28.0,24.1,85.08,290.0,4.0,30.02,3.0,22.75
2021-01-02 10:00:00,28.9,25.0,85.14,330.0,5.0,30.04,4.0,22.71
2021-01-02 11:00:00,28.0,24.1,85.08,300.0,6.0,30.07,4.0,20.71
2021-01-02 12:00:00,28.0,24.1,85.08,310.0,7.0,30.09,5.0,19.9
2021-01-02 13:00:00,28.0,24.1,85.08,270.0,5.0,30.11,3.0,21.64
2021-01-02 14:00:00,28.0,24.1,85.08,310.0,6.0,30.12,3.0,20.71
2021-01-02 15:00:00,28.9,24.1,82.0,330.0,5.0,30.11,4.0,22.71
2021-01-02 16:00:00,28.9,24.1,82.0,280.0,6.0,30.11,4.0,21.8
2021-01-02 17:00:00,28.9,24.1,82.0,290.0,5.0,30.09,4.0,22.71
2021-01-02 18:00:00,28.9,24.1,82.0,320.0,4.0,30.07,4.0,23.8
2021-01-02 19:00:00,30.0,25.0,81.4,350.0,4.0,30.05,3.0,25.08
2021-01-02 20:00:00,28.9,24.1,82.0,10.0,3.0,30.06,2.5,25.14
2021-01-02 21:00:00,28.0,23.0,81.25,350.0,4.0,30.05,2.5,22.75
2021-01-02 22:00:00,28.0,23.0,81.25,350.0,3.0,30.04,2.5,24.12
2021-01-02 23:00:00,28.0,23.0,81.25,340.0,5.0,30.04,4.0,21.64
2021-01-03 00:00:00,28.0,24.1,85.08,320.0,4.0,30.04,4.0,22.75
2021-01-03 01:00:00,28.0,24.1,85.08,280.0,4.0,30.03,4.0,22.75
2021-01-03 02:00:00,28.0,23.0,81.25,330.0,5.0,30.0,4.0,21.64
2021-01-03 03:00:00,28.0,24.1,85.08,320.0,3.0,29.99,4.0,24.12
2021-01-03 04:00:00,28.9,24.1,82.0,340.0,5.0,29.97,5.0,22.71
2021-01-03 05:00:00,28.9,25.0,85.14,340.0,3.0,29.95,3.0,25.14
2021-01-03 06:00:00,28.9,25.0,85.14,320.0,4.0,29.94,2.0,23.8
2021-01-03 07:00:00,30.0,26.1,85.21,0.0,0.0,29.93,1.75,30.0
2021-01-03 08:00:00,30.0,27.0,88.44,330.0,5.0,29.94,1.5,24.02
2021-01-03 09:00:00,30.0,27.0,88.44,320.0,5.0,29.94,1.25,24.02
2021-01-03 10:00:00,30.0,27.0,88.44,340.0,3.0,29.92,3.0,26.4
2021-01-03 11:00:00,30.0,26.1,85.21,330.0,5.0,29.93,3.0,24.02
2021-01-03 12:00:00,30.0,28.0,92.15,0.0,0.0,29.93,3.0,30.0
2021-01-03 13:00:00,30.0,26.1,85.21,290.0,4.0,29.94,2.5,25.08
2021-01-03 14:00:00,30.0,27.0,88.44,270.0,4.0,29.95,3.0,25.08
2021-01-03 15:00:00,30.9,27.0,85.26,270.0,5.0,29.97,3.0,25.09
2021-01-03 16:00:00,33.0,28.9,84.36,260.0,7.0,29.96,4.0,26.12
2021-01-03 17:00:00,34.0,28.9,81.37,280.0,9.0,29.95,10.0,26.0
2021-01-03 18:00:00,34.0,28.9,81.37,260.0,7.0,29.95,10.0,27.22
2021-01-03 19:00:00,33.0,27.0,78.03,270.0,10.0,29.96,5.0,24.35
2021-01-03 20:00:00,32.0,27.0,81.55,280.0,8.0,29.96,6.0,24.11
2021-01-03 21:00:00,30.0,24.1,78.4,250.0,6.0,29.98,7.0,23.12
2021-01-03 22:00:00,28.0,21.9,77.57,230.0,6.0,29.98,7.0,20.71
2021-01-03 23:00:00,28.9,24.1,82.0,240.0,9.0,29.99,6.0,19.66
2021-01-04 00:00:00,28.9,24.1,82.0,220.0,10.0,30.0,7.0,19.08
2021-01-04 01:00:00,28.0,24.1,85.08,260.0,6.0,30.0,5.0,20.71
2021-01-04 02:00:00,28.0,24.1,85.08,230.0,10.0,29.99,3.0,17.95
2021-01-04 03:00:00,26.1,23.0,87.87,220.0,6.0,29.98,1.75,18.42
2021-01-04 04:00:00,25.0,23.0,91.97,230.0,6.0,29.98,1.25,17.1
2021-01-04 05:00:00,25.0,21.9,87.81,250.0,9.0,29.99,1.0,14.81
2021-01-04 06:00:00,24.1,21.0,87.76,240.0,8.0,29.99,3.0,14.38
2021-01-04 07:00:00,21.9,19.9,91.86,230.0,8.0,30.0,3.0,11.67
2021-01-04 08:00:00,21.9,19.0,88.4,240.0,11.0,30.01,1.25,9.7
2021-01-04 09:00:00,23.0,21.0,91.9,220.0,6.0,30.0,3.0,14.69
2021-01-04 10:00:00,24.1,21.0,87.76,200.0,7.0,30.0,3.0,15.15
2021-01-04 11:00:00,25.0,21.9,87.81,180.0,6.0,29.98,1.0,17.1
2021-01-04 12:00:00,25.0,21.9,87.81,190.0,7.0,29.99,0.75,16.25
2021-01-04 13:00:00,26.1,23.0,87.87,210.0,6.0,29.99,0.5,18.42
2021-01-04 14:00:00,26.1,23.0,87.87,230.0,7.0,30.0,0.5,17.59
2021-01-04 15:00:00,27.0,24.1,88.65,210.0,8.0,29.98,2.5,17.95
2021-01-04 16:00:00,27.0,23.0,84.66,200.0,5.0,29.96,4.0,20.46
2021-01-04 17:00:00,27.0,23.0,84.66,210.0,8.0,29.93,5.0,17.95
2021-01-04 18:00:00,28.9,24.1,82.0,220.0,6.0,29.89,5.0,21.8
2021-01-04 19:00:00,28.0,24.1,85.08,250.0,7.0,29.9,4.0,19.9
2021-01-04 20:00:00,28.0,24.1,85.08,250.0,7.0,29.9,4.0,19.9
2021-01-04 21:00:00,28.0,24.1,85.08,230.0,8.0,29.91,4.0,19.19
2021-01-04 22:00:00,28.0,24.1,85.08,250.0,8.0,29.9,2.0,19.19
2021-01-04 23:00:00,27.0,23.0,84.66,250.0,8.0,29.92,2.0,17.95
2021-01-05 00:00:00,27.0,24.1,88.65,260.0,8.0,29.93,2.0,17.95
2021-01-05 01:00:00,28.0,24.1,85.08,260.0,8.0,29.92,2.0,19.19
2021-01-05 02:00:00,28.0,24.1,85.08,270.0,6.0,29.92,2.0,20.71
2021-01-05 03:00:00,28.0,25.0,88.33,270.0,6.0,29.9,5.0,20.71
2021-01-05 04:00:00,28.9,24.1,82.0,270.0,6.0,29.91,6.0,20.71
2021-01-05 05:00:00,28.9,25.0,85.14,270.0,6.0,29.92,3.0,20.71
2021-01-05 06:00:00,30.0,26.1,85.21,270.0,6.0,29.93,4.0,20.71
2021-01-05 07:00:00,32.0,27.0,81.55,270.0,6.0,29.94,6.0,20.71
2021-01-05 08:00:00,32.0,28.0,84.98,270.0,6.0,29.95,6.0,20.71
2021-01-05 09:00:00,33.0,28.0,81.3,270.0,6.0,29.96,5.0,20.71
2021-01-05 10:00:00,33.0,28.9,84.36,270.0,6.0,29.98,5.0,20.71
2021-01-05 11:00:00,33.0,28.9,84.36,270.0,6.0,30.0,5.0,20.71
2021-01-05 12:00:00,33.0,28.9,84.36,290.0,4.0,30.03,5.0,28.7
2021-01-05 13:00:00,34.0,28.9,81.37,320.0,6.0,30.04,4.0,27.94
2021-01-05 14:00:00,34.0,28.9,81.37,300.0,6.0,30.07,4.0,27.94
2021-01-05 15:00:00,34.0,28.0,78.43,310.0,7.0,30.09,6.0,27.22
2021-01-05 16:00:00,34.0,28.0,78.43,290.0,7.0,30.08,4.0,27.22
2021-01-05 17:00:00,34.0,28.0,78.43,310.0,5.0,30.07,6.0,28.77
2021-01-05 18:00:00,34.0,28.0,78.43,290.0,6.0,30.07,6.0,27.94
2021-01-05 19:00:00,34.0,28.0,78.43,300.0,5.0,30.1,5.0,28.77
2021-01-05 20:00:00,34.0,28.0,78.43,260.0,5.0,30.13,5.0,28.77
2021-01-05 21:00:00,33.0,27.0,78.03,290.0,3.0,30.14,5.0,29.95
2021-01-05 22:00:00,33.0,28.0,81.3,250.0,4.0,30.16,5.0,28.7
2021-01-05 23:00:00,33.0,28.0,81.3,250.0,4.0,30.18,5.0,28.7
2021-01-06 00:00:00,30.9,27.0,85.26,260.0,4.0,30.19,4.0,26.14
2021-01-06 01:00:00,30.9,28.0,88.84,0.0,0.0,30.21,3.0,30.9
2021-01-06 02:00:00,30.9,27.0,85.26,0.0,0.0,30.23,2.5,30.9
2021-01-06 03:00:00,30.0,27.0,88.44,70.0,3.0,30.24,2.0,26.4
2021-01-06 04:00:00,30.0,28.0,92.15,0.0,0.0,30.25,2.0,30.0
2021-01-06 05:00:00,30.9,27.0,85.26,180.0,4.0,30.27,2.5,26.14
2021-01-06 06:00:00,30.9,27.0,85.26,230.0,3.0,30.27,2.5,27.43
2021-01-06 07:00:00,30.0,27.0,88.44,270.0,3.0,30.28,2.0,26.4
2021-01-06 08:00:00,30.9,27.0,85.26,300.0,3.0,30.28,2.0,27.43
2021-01-06 09:00:00,30.0,28.0,92.15,0.0,0.0,30.27,2.0,30.0
2021-01-06 10:00:00,26.1,23.0,87.87,260.0,5.0,30.28,1.25,19.39
2021-01-06 11:00:00,30.0,27.0,88.44,270.0,6.0,30.32,2.0,23.12
2021-01-06 12:00:00,30.0,28.0,92.15,0.0,0.0,30.34,1.75,30.0
