,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.1,12.0,80.01,180.0,9.0,30.22,10.0,4.99
2021-01-01 01:00:00,16.0,12.0,83.91,200.0,9.0,30.23,10.0,3.62
2021-01-01 02:00:00,15.1,10.9,83.11,180.0,6.0,30.22,10.0,5.18
2021-01-01 03:00:00,14.0,10.0,83.77,170.0,3.0,30.19,10.0,8.11
2021-01-01 04:00:00,12.0,8.1,84.01,0.0,0.0,30.19,9.0,12.0
2021-01-01 05:00:00,9.0,3.0,76.08,0.0,0.0,30.19,10.0,9.0
2021-01-01 06:00:00,4.0,0.0,83.42,0.0,0.0,30.18,10.0,3.9
2021-01-01 07:00:00,4.0,-2.0,75.92,200.0,3.0,30.18,10.0,-3.43
2021-01-01 08:00:00,10.9,8.1,88.21,190.0,4.0,30.19,10.0,2.78
2021-01-01 09:00:00,8.1,3.0,79.23,180.0,3.0,30.2,10.0,1.37
2021-01-01 10:00:00,6.0,1.9,82.43,0.0,0.0,30.19,10.0,6.1
2021-01-01 11:00:00,9.0,5.0,83.41,200.0,4.0,30.2,9.0,0.56
2021-01-01 12:00:00,10.0,6.0,83.87,200.0,3.0,30.17,9.0,3.54
2021-01-01 13:00:00,3.0,-0.9,83.36,0.0,0.0,30.14,10.0,3.0
2021-01-01 14:00:00,4.0,-0.9,79.97,0.0,0.0,30.12,10.0,3.9
2021-01-01 15:00:00,12.0,9.0,87.48,0.0,0.0,30.13,9.0,12.0
2021-01-01 16:00:00,15.1,12.9,90.81,210.0,3.0,30.1,10.0,9.37
2021-01-01 17:00:00,19.9,14.0,77.48,0.0,0.0,30.05,10.0,19.9
2021-01-01 18:00:00,21.0,15.1,77.59,0.0,0.0,30.02,10.0,21.0
2021-01-01 19:00:00,21.9,15.1,74.69,250.0,3.0,30.03,10.0,17.14
2021-01-01 20:00:00,21.9,14.0,71.18,0.0,0.0,30.01,10.0,21.9
2021-01-01 21:00:00,21.9,14.0,71.18,0.0,0.0,30.03,10.0,21.9
2021-01-01 22:00:00,23.0,15.1,71.3,0.0,0.0,30.02,10.0,23.0
2021-01-01 23:00:00,23.0,15.1,71.3,0.0,0.0,30.01,10.0,23.0
2021-01-02 00:00:00,21.9,15.1,74.69,0.0,0.0,30.01,10.0,21.9
2021-01-02 01:00:00,21.0,15.1,77.59,240.0,3.0,30.0,10.0,16.11
2021-01-02 02:00:00,21.0,15.1,77.59,0.0,0.0,30.01,7.0,21.0
2021-01-02 03:00:00,21.0,15.1,77.59,0.0,0.0,30.0,9.0,21.0
2021-01-02 04:00:00,19.9,16.0,84.55,250.0,3.0,30.0,7.0,14.86
2021-01-02 05:00:00,19.9,17.1,88.68,240.0,5.0,29.99,4.0,12.03
2021-01-02 06:00:00,19.9,18.0,92.19,230.0,3.0,29.97,2.0,14.86
2021-01-02 07:00:00,21.0,18.0,87.97,280.0,5.0,29.98,1.75,13.33
2021-01-02 08:00:00,19.9,18.0,92.19,240.0,4.0,29.99,3.0,13.29
2021-01-02 09:00:00,21.0,18.0,87.97,240.0,3.0,30.0,1.75,16.11
2021-01-02 10:00:00,21.0,18.0,87.97,220.0,3.0,29.99,1.75,16.11
2021-01-02 11:00:00,21.0,18.0,87.97,210.0,5.0,30.0,3.0,13.33
2021-01-02 12:00:00,21.0,18.0,87.97,210.0,7.0,30.02,1.75,11.37
2021-01-02 13:00:00,21.9,19.0,88.4,200.0,7.0,30.03,2.0,12.47
2021-01-02 14:00:00,21.9,19.0,88.4,200.0,7.0,30.04,4.0,12.47
2021-01-02 15:00:00,21.9,18.0,84.68,200.0,6.0,30.04,5.0,13.37
2021-01-02 16:00:00,23.0,19.0,84.39,200.0,6.0,30.03,5.0,14.69
2021-01-02 17:00:00,24.1,19.0,80.59,200.0,7.0,30.0,4.0,15.15
2021-01-02 18:00:00,26.1,21.0,80.75,210.0,4.0,29.97,5.0,20.53
2021-01-02 19:00:00,28.0,21.0,74.67,200.0,7.0,29.95,6.0,19.9
2021-01-02 20:00:00,28.9,21.9,74.76,170.0,7.0,29.96,6.0,21.0
2021-01-02 21:00:00,27.0,19.0,71.45,190.0,5.0,29.95,8.0,20.46
2021-01-02 22:00:00,24.1,17.1,74.27,190.0,6.0,29.94,9.0,16.02
2021-01-02 23:00:00,24.1,19.9,83.75,180.0,5.0,29.94,7.0,17.01
2021-01-03 00:00:00,19.9,17.1,88.68,180.0,5.0,29.93,4.0,12.03
2021-01-03 01:00:00,19.9,16.0,84.55,190.0,4.0,29.92,4.0,13.29
2021-01-03 02:00:00,19.9,17.1,88.68,190.0,3.0,29.91,5.0,14.86
2021-01-03 03:00:00,21.0,17.1,84.62,190.0,5.0,29.9,5.0,13.33
2021-01-03 04:00:00,19.9,16.0,84.55,200.0,3.0,29.89,4.0,14.86
2021-01-03 05:00:00,17.1,12.9,83.25,200.0,4.0,29.88,1.75,10.02
2021-01-03 06:00:00,19.9,17.1,88.68,180.0,8.0,29.88,4.0,9.21
2021-01-03 07:00:00,19.9,16.0,84.55,190.0,8.0,29.87,4.0,9.21
2021-01-03 08:00:00,19.9,17.1,88.68,170.0,5.0,29.87,4.0,12.03
2021-01-03 09:00:00,21.0,18.0,87.97,160.0,6.0,29.85,3.0,12.28
2021-01-03 10:00:00,21.9,19.0,88.4,170.0,6.0,29.83,3.0,13.37
2021-01-03 11:00:00,21.9,18.0,84.68,180.0,7.0,29.82,6.0,12.47
2021-01-03 12:00:00,21.0,18.0,87.97,180.0,6.0,29.82,9.0,12.28
2021-01-03 13:00:00,19.0,15.1,84.49,180.0,5.0,29.83,9.0,10.96
2021-01-03 14:00:00,21.0,18.0,87.97,190.0,9.0,29.84,10.0,9.84
2021-01-03 15:00:00,23.0,19.9,87.7,170.0,6.0,29.85,10.0,14.69
2021-01-03 16:00:00,25.0,21.0,84.53,190.0,9.0,29.83,10.0,14.81
2021-01-03 17:00:00,26.1,23.0,87.87,190.0,9.0,29.81,10.0,16.18
2021-01-03 18:00:00,27.0,23.0,84.66,190.0,8.0,29.79,10.0,17.95
2021-01-03 19:00:00,28.9,24.1,82.0,190.0,9.0,29.79,10.0,19.66
2021-01-03 20:00:00,30.9,24.1,75.59,180.0,8.0,29.79,10.0,22.76
2021-01-03 21:00:00,30.0,23.0,74.87,190.0,9.0,29.8,10.0,21.03
2021-01-03 22:00:00,28.0,21.9,77.57,190.0,9.0,29.8,10.0,18.54
2021-01-03 23:00:00,27.0,21.9,80.83,200.0,7.0,29.8,10.0,18.68
2021-01-04 00:00:00,26.1,21.0,80.75,210.0,7.0,29.8,9.0,17.59
