,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,19.4,17.6,92.57,80.0,3.0,30.33,10.0,14.28
2021-01-01 01:00:00,19.4,19.4,100.0,110.0,4.0,30.33,10.0,12.71
2021-01-01 02:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 03:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 04:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 05:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 06:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 07:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 08:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 09:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 10:00:00,19.4,19.4,100.0,150.0,4.0,30.34,10.0,12.71
2021-01-01 11:00:00,17.6,17.6,100.0,150.0,4.0,30.24,3.0,10.6
2021-01-01 12:00:00,19.4,19.4,100.0,20.0,5.0,30.18,3.0,11.43
2021-01-01 13:00:00,19.4,19.4,100.0,20.0,5.0,30.17,4.0,11.43
2021-01-01 14:00:00,21.2,21.2,100.0,10.0,9.0,30.14,3.0,10.08
2021-01-01 15:00:00,24.8,24.8,100.0,20.0,6.0,30.12,3.0,16.86
2021-01-01 16:00:00,26.6,26.6,100.0,10.0,12.0,30.06,3.0,15.13
2021-01-01 17:00:00,26.6,26.6,100.0,50.0,11.0,30.0,2.5,15.64
2021-01-01 18:00:00,28.4,28.4,100.0,50.0,10.0,29.93,1.5,18.45
2021-01-01 19:00:00,32.0,32.0,100.0,40.0,12.0,29.87,3.0,22.0
2021-01-01 20:00:00,33.8,33.8,100.0,50.0,10.0,29.89,2.0,25.23
2021-01-01 21:00:00,32.0,32.0,100.0,30.0,12.0,29.89,3.0,22.0
2021-01-01 22:00:00,32.0,32.0,100.0,10.0,12.0,29.88,3.0,22.0
2021-01-01 23:00:00,32.0,32.0,100.0,10.0,14.0,29.89,5.0,21.16
2021-01-02 00:00:00,30.2,30.2,100.0,360.0,11.0,29.9,3.0,20.19
2021-01-02 01:00:00,30.2,30.2,100.0,350.0,11.0,29.91,3.0,20.19
2021-01-02 02:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 03:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 04:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 05:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 06:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 07:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 08:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 09:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 10:00:00,28.4,28.4,100.0,350.0,11.0,29.92,2.0,17.92
2021-01-02 11:00:00,26.6,26.6,100.0,350.0,11.0,30.09,6.0,17.92
2021-01-02 12:00:00,26.6,26.6,100.0,350.0,4.0,30.1,6.0,21.11
2021-01-02 13:00:00,24.8,24.8,100.0,350.0,5.0,30.11,3.0,17.84
2021-01-02 14:00:00,24.8,24.8,100.0,350.0,5.0,30.13,3.0,17.84
2021-01-02 15:00:00,24.8,24.8,100.0,0.0,0.0,30.13,3.0,24.8
2021-01-02 16:00:00,26.6,24.8,92.8,0.0,0.0,30.12,3.0,26.6
2021-01-02 17:00:00,26.6,23.0,86.07,0.0,3.0,30.1,2.0,22.52
2021-01-02 18:00:00,26.6,24.8,92.8,0.0,4.0,30.08,3.0,21.11
2021-01-02 19:00:00,26.6,26.6,100.0,0.0,3.0,30.06,3.0,22.52
2021-01-02 20:00:00,24.8,24.8,100.0,0.0,0.0,30.06,2.0,24.8
2021-01-02 21:00:00,24.8,24.8,100.0,0.0,3.0,30.05,2.0,20.46
2021-01-02 22:00:00,24.8,24.8,100.0,60.0,4.0,30.04,1.0,19.01
2021-01-02 23:00:00,24.8,24.8,100.0,0.0,0.0,30.05,1.0,24.8
2021-01-03 00:00:00,24.8,24.8,100.0,0.0,0.0,30.04,1.0,24.8
2021-01-03 01:00:00,24.8,24.8,100.0,340.0,5.0,30.03,3.0,17.84
2021-01-03 02:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 03:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 04:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 05:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 06:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 07:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 08:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 09:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 10:00:00,26.6,26.6,100.0,0.0,0.0,30.01,3.0,26.6
2021-01-03 11:00:00,24.8,24.8,100.0,0.0,0.0,29.94,3.0,24.8
2021-01-03 12:00:00,24.8,24.8,100.0,290.0,3.0,29.94,3.0,20.46
2021-01-03 13:00:00,24.8,24.8,100.0,290.0,4.0,29.95,1.0,19.01
2021-01-03 14:00:00,24.8,24.8,100.0,290.0,3.0,29.96,2.0,20.46
