,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,9.0,7.7,94.31,190.0,6.0,30.25,7.0,-2.17
2021-01-01 01:00:00,9.1,7.3,92.21,0.0,0.0,30.24,7.0,9.1
2021-01-01 02:00:00,5.0,3.0,91.21,70.0,3.0,30.2,3.0,-2.18
2021-01-01 03:00:00,4.0,1.8,90.74,0.0,0.0,30.19,5.0,3.9
2021-01-01 04:00:00,3.4,1.0,89.46,130.0,4.0,30.21,7.0,-5.98
2021-01-01 05:00:00,5.5,3.6,91.65,160.0,3.0,30.21,5.0,-1.61
2021-01-01 06:00:00,4.8,2.5,89.94,0.0,0.0,30.2,5.0,4.8
2021-01-01 07:00:00,9.1,7.5,93.04,160.0,6.0,30.22,5.0,-2.05
2021-01-01 08:00:00,10.4,8.6,92.25,160.0,7.0,30.21,0.5,-1.55
2021-01-01 09:00:00,10.2,8.6,93.08,160.0,5.0,30.2,0.5,0.51
2021-01-01 10:00:00,10.6,9.0,93.09,180.0,6.0,30.21,1.5,-0.24
2021-01-01 11:00:00,10.0,8.2,92.24,0.0,0.0,30.2,1.5,10.0
2021-01-01 12:00:00,9.1,7.3,92.21,0.0,0.0,30.17,1.75,9.1
2021-01-01 13:00:00,8.2,6.3,91.76,0.0,0.0,30.15,5.0,8.2
2021-01-01 14:00:00,8.4,6.4,91.35,0.0,0.0,30.14,5.0,8.4
2021-01-01 15:00:00,9.9,8.1,92.24,0.0,0.0,30.13,5.0,9.9
2021-01-01 16:00:00,11.8,10.2,93.13,0.0,0.0,30.08,4.0,11.8
2021-01-01 17:00:00,12.7,11.3,93.99,0.0,0.0,30.04,4.0,12.7
2021-01-01 18:00:00,14.7,13.5,94.88,120.0,3.0,30.01,4.0,8.91
2021-01-01 19:00:00,16.3,15.4,96.16,80.0,3.0,30.0,5.0,10.74
2021-01-01 20:00:00,18.3,17.6,97.03,120.0,3.0,29.99,4.0,13.03
2021-01-01 21:00:00,18.3,17.6,97.03,0.0,0.0,29.99,3.0,18.3
2021-01-01 22:00:00,18.7,18.3,98.3,0.0,0.0,30.01,0.5,18.7
2021-01-01 23:00:00,18.5,18.1,98.3,0.0,0.0,29.98,0.25,18.5
2021-01-02 00:00:00,18.3,17.6,97.03,0.0,0.0,29.96,0.25,18.3
2021-01-02 01:00:00,18.1,17.6,97.87,0.0,0.0,29.98,0.25,18.1
2021-01-02 02:00:00,17.6,16.7,96.19,0.0,0.0,29.97,0.25,17.6
2021-01-02 03:00:00,16.2,15.3,96.16,0.0,0.0,29.98,1.0,16.2
2021-01-02 04:00:00,16.0,15.1,96.16,0.0,0.0,29.99,3.0,16.0
2021-01-02 05:00:00,16.5,15.6,96.17,0.0,0.0,29.98,5.0,16.5
2021-01-02 06:00:00,16.7,15.8,96.17,0.0,0.0,29.95,4.0,16.7
2021-01-02 07:00:00,17.1,16.3,96.6,0.0,0.0,29.95,5.0,17.1
2021-01-02 08:00:00,17.2,16.5,97.02,0.0,0.0,29.96,2.0,17.2
2021-01-02 09:00:00,17.6,17.1,97.87,0.0,0.0,29.97,1.25,17.6
2021-01-02 10:00:00,18.1,17.6,97.87,0.0,0.0,29.99,0.25,18.1
2021-01-02 11:00:00,18.3,17.6,97.03,300.0,3.0,30.01,0.25,13.03
2021-01-02 12:00:00,19.0,18.5,97.88,0.0,0.0,30.02,0.25,19.0
2021-01-02 13:00:00,18.9,18.5,98.3,270.0,3.0,30.03,0.25,13.71
2021-01-02 14:00:00,19.8,19.4,98.31,260.0,3.0,30.06,0.25,14.74
2021-01-02 15:00:00,20.8,20.7,99.58,0.0,0.0,30.05,0.25,20.8
2021-01-02 16:00:00,21.7,21.6,99.58,0.0,0.0,30.03,1.25,21.7
2021-01-02 17:00:00,22.5,22.5,100.0,0.0,0.0,30.0,0.5,22.5
2021-01-02 18:00:00,23.0,23.0,100.0,0.0,0.0,29.99,0.5,23.0
2021-01-02 19:00:00,23.0,23.0,100.0,0.0,0.0,29.99,0.25,23.0
2021-01-02 20:00:00,23.0,23.0,100.0,200.0,3.0,29.99,0.25,18.4
2021-01-02 21:00:00,22.5,22.5,100.0,0.0,0.0,29.99,0.25,22.5
2021-01-02 22:00:00,22.1,22.1,100.0,0.0,0.0,29.98,0.25,22.1
2021-01-02 23:00:00,22.1,22.1,100.0,0.0,0.0,29.96,0.25,22.1
2021-01-03 00:00:00,21.7,21.7,100.0,0.0,0.0,29.95,0.25,21.7
2021-01-03 01:00:00,21.0,20.8,99.15,0.0,0.0,29.95,0.25,21.0
2021-01-03 02:00:00,20.3,20.1,99.15,200.0,3.0,29.95,0.25,15.31
2021-01-03 03:00:00,20.3,20.1,99.15,0.0,0.0,29.94,0.25,20.3
2021-01-03 04:00:00,19.9,19.4,97.89,0.0,0.0,29.92,0.25,19.9
2021-01-03 05:00:00,19.4,19.0,98.3,0.0,0.0,29.91,0.25,19.4
2021-01-03 06:00:00,18.5,18.1,98.3,0.0,0.0,29.91,0.25,18.5
2021-01-03 07:00:00,19.0,18.5,97.88,0.0,0.0,29.91,0.25,19.0
2021-01-03 08:00:00,18.9,18.3,97.46,0.0,0.0,29.9,0.25,18.9
2021-01-03 09:00:00,18.5,18.1,98.3,0.0,0.0,29.88,0.25,18.5
2021-01-03 10:00:00,18.1,17.4,97.03,0.0,0.0,29.86,0.25,18.1
2021-01-03 11:00:00,18.1,17.6,97.87,0.0,0.0,29.86,0.25,18.1
2021-01-03 12:00:00,18.5,18.1,98.3,0.0,0.0,29.87,0.25,18.5
2021-01-03 13:00:00,19.2,18.5,97.05,0.0,0.0,29.88,0.25,19.2
2021-01-03 14:00:00,19.2,18.9,98.72,0.0,0.0,29.88,0.25,19.2
2021-01-03 15:00:00,20.1,19.8,98.73,0.0,0.0,29.88,0.25,20.1
2021-01-03 16:00:00,20.8,20.3,97.9,0.0,0.0,29.88,0.5,20.8
2021-01-03 17:00:00,21.7,21.6,99.58,0.0,0.0,29.86,1.25,21.7
2021-01-03 18:00:00,22.1,21.9,99.16,0.0,0.0,29.84,1.25,22.1
2021-01-03 19:00:00,23.0,23.0,100.0,0.0,0.0,29.84,2.5,23.0
2021-01-03 20:00:00,22.8,22.8,100.0,0.0,0.0,29.84,1.25,22.8
2021-01-03 21:00:00,22.8,22.8,100.0,0.0,0.0,29.86,1.5,22.8
2021-01-03 22:00:00,22.8,22.8,100.0,0.0,0.0,29.86,1.25,22.8
2021-01-03 23:00:00,22.8,22.8,100.0,0.0,0.0,29.86,0.5,22.8
2021-01-04 00:00:00,22.5,22.5,100.0,0.0,0.0,29.87,0.25,22.5
2021-01-04 01:00:00,22.6,22.6,100.0,0.0,0.0,29.87,0.25,22.6
2021-01-04 02:00:00,22.8,22.8,100.0,0.0,0.0,29.87,0.25,22.8
2021-01-04 03:00:00,23.2,23.2,100.0,0.0,0.0,29.86,0.25,23.2
2021-01-04 04:00:00,22.6,22.6,100.0,0.0,0.0,29.85,0.5,22.6
2021-01-04 05:00:00,22.1,22.1,100.0,0.0,0.0,29.84,0.5,22.1
2021-01-04 06:00:00,22.1,22.1,100.0,0.0,0.0,29.84,0.5,22.1
2021-01-04 07:00:00,22.6,22.6,100.0,200.0,3.0,29.84,0.25,17.94
2021-01-04 08:00:00,22.6,22.6,100.0,0.0,0.0,29.83,0.5,22.6
2021-01-04 09:00:00,22.1,22.1,100.0,0.0,0.0,29.82,0.25,22.1
2021-01-04 10:00:00,21.2,21.0,99.16,0.0,0.0,29.81,0.25,21.2
2021-01-04 11:00:00,21.0,20.8,99.15,200.0,3.0,29.82,0.25,16.11
2021-01-04 12:00:00,20.7,20.3,98.31,0.0,0.0,29.81,0.25,20.7
2021-01-04 13:00:00,20.8,20.7,99.58,0.0,0.0,29.81,0.25,20.8
2021-01-04 14:00:00,21.0,20.8,99.15,0.0,0.0,29.81,0.25,21.0
2021-01-04 15:00:00,21.2,21.0,99.16,0.0,0.0,29.82,0.5,21.2
2021-01-04 16:00:00,21.2,21.2,100.0,0.0,0.0,29.81,0.5,21.2
