,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,23.0,19.4,85.85,0.0,0.0,30.26,10.0,23.0
2021-01-01 01:00:00,21.2,21.2,100.0,160.0,4.0,30.28,10.0,14.81
2021-01-01 02:00:00,21.2,21.2,100.0,160.0,9.0,30.28,10.0,10.08
2021-01-01 03:00:00,21.2,19.4,92.63,150.0,7.0,30.28,7.0,11.61
2021-01-01 04:00:00,19.4,19.4,100.0,150.0,7.0,30.27,4.0,9.42
2021-01-01 05:00:00,19.4,17.6,92.57,160.0,6.0,30.31,1.25,10.36
2021-01-01 06:00:00,19.4,17.6,92.57,0.0,0.0,30.27,0.5,19.4
2021-01-01 07:00:00,17.6,17.6,100.0,0.0,0.0,30.26,0.5,17.6
2021-01-01 08:00:00,17.6,15.8,92.5,0.0,0.0,30.26,0.5,17.6
2021-01-01 09:00:00,17.6,15.8,92.5,0.0,0.0,30.24,0.5,17.6
2021-01-01 10:00:00,17.6,15.8,92.5,0.0,0.0,30.21,0.75,17.6
2021-01-01 11:00:00,17.6,17.6,100.0,0.0,0.0,30.2,1.0,17.6
2021-01-01 12:00:00,19.4,17.6,92.57,0.0,0.0,30.15,4.0,19.4
2021-01-01 13:00:00,19.4,17.6,92.57,0.0,0.0,30.13,4.0,19.4
2021-01-01 14:00:00,19.4,19.4,100.0,50.0,3.0,30.12,5.0,14.28
2021-01-01 15:00:00,21.2,21.2,100.0,70.0,3.0,30.1,1.75,16.34
2021-01-01 16:00:00,24.8,23.0,92.74,50.0,3.0,30.02,2.0,20.46
2021-01-01 17:00:00,26.6,24.8,92.8,60.0,8.0,29.97,2.5,17.46
2021-01-01 18:00:00,26.6,26.6,100.0,60.0,9.0,29.93,3.0,16.8
2021-01-01 19:00:00,26.6,26.6,100.0,30.0,8.0,29.92,3.0,17.46
2021-01-01 20:00:00,28.4,26.6,92.86,30.0,8.0,29.92,4.0,19.68
2021-01-01 21:00:00,28.4,26.6,92.86,360.0,10.0,29.93,4.0,18.45
2021-01-01 22:00:00,26.6,26.6,100.0,10.0,10.0,29.93,5.0,16.2
2021-01-01 23:00:00,26.6,26.6,100.0,360.0,9.0,29.94,5.0,16.8
2021-01-02 00:00:00,26.6,26.6,100.0,350.0,11.0,29.96,5.0,15.64
2021-01-02 01:00:00,26.6,26.6,100.0,360.0,8.0,29.96,5.0,17.46
2021-01-02 02:00:00,26.6,26.6,100.0,350.0,9.0,29.95,4.0,16.8
2021-01-02 03:00:00,26.6,26.6,100.0,360.0,8.0,29.94,4.0,17.46
2021-01-02 04:00:00,26.6,24.8,92.8,350.0,8.0,29.96,2.5,17.46
2021-01-02 05:00:00,26.6,24.8,92.8,350.0,7.0,29.97,2.5,18.2
2021-01-02 06:00:00,26.6,24.8,92.8,360.0,9.0,29.98,3.0,16.8
2021-01-02 07:00:00,24.8,24.8,100.0,350.0,7.0,29.99,3.0,16.0
2021-01-02 08:00:00,24.8,23.0,92.74,0.0,0.0,30.0,3.0,24.8
2021-01-02 09:00:00,23.0,23.0,100.0,0.0,0.0,30.03,3.0,23.0
2021-01-02 10:00:00,23.0,21.2,92.69,0.0,0.0,30.04,2.0,23.0
2021-01-02 11:00:00,23.0,21.2,92.69,0.0,0.0,30.07,0.5,23.0
2021-01-02 12:00:00,21.2,21.2,100.0,0.0,0.0,30.08,0.5,21.2
2021-01-02 13:00:00,23.0,23.0,100.0,0.0,0.0,30.09,0.5,23.0
2021-01-02 14:00:00,24.8,23.0,92.74,0.0,0.0,30.1,1.25,24.8
2021-01-02 15:00:00,24.8,24.8,100.0,0.0,0.0,30.1,1.75,24.8
