,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,19.0,16.0,87.87,0.0,0.0,30.3,10.0,19.0
2021-01-01 01:00:00,19.0,16.0,87.87,150.0,6.0,30.3,10.0,9.87
2021-01-01 02:00:00,18.0,16.0,91.72,170.0,8.0,30.31,9.0,6.87
2021-01-01 03:00:00,17.1,16.0,95.35,170.0,6.0,30.3,6.0,7.59
2021-01-01 04:00:00,16.0,15.1,96.16,170.0,6.0,30.3,7.0,6.26
2021-01-01 05:00:00,16.0,15.1,96.16,170.0,9.0,30.33,4.0,3.62
2021-01-01 06:00:00,17.1,16.0,95.35,190.0,4.0,30.31,3.0,10.02
2021-01-01 07:00:00,17.1,16.0,95.35,0.0,0.0,30.29,4.0,17.1
2021-01-01 08:00:00,17.1,16.0,95.35,80.0,4.0,30.28,1.75,10.02
2021-01-01 09:00:00,17.1,16.0,95.35,100.0,3.0,30.27,3.0,11.66
2021-01-01 10:00:00,17.1,16.0,95.35,110.0,5.0,30.26,1.0,8.7
2021-01-01 11:00:00,17.1,16.0,95.35,50.0,3.0,30.23,0.75,11.66
2021-01-01 12:00:00,18.0,16.0,91.72,20.0,6.0,30.2,2.0,8.67
2021-01-01 13:00:00,18.0,16.0,91.72,20.0,6.0,30.17,2.5,8.67
2021-01-01 14:00:00,18.0,17.1,96.19,30.0,7.0,30.16,2.5,7.71
2021-01-01 15:00:00,19.0,17.1,92.15,30.0,6.0,30.14,2.5,9.87
2021-01-01 16:00:00,21.0,19.0,91.83,30.0,7.0,30.07,3.0,11.37
2021-01-01 17:00:00,23.0,21.0,91.9,30.0,7.0,30.02,3.0,13.81
2021-01-01 18:00:00,24.1,21.9,91.17,50.0,10.0,29.97,3.0,13.06
2021-01-01 19:00:00,25.0,23.0,91.97,30.0,11.0,29.93,3.0,13.62
2021-01-01 20:00:00,26.1,24.1,92.01,30.0,10.0,29.92,3.0,15.57
2021-01-01 21:00:00,26.1,24.1,92.01,10.0,9.0,29.93,1.0,16.18
2021-01-01 22:00:00,25.0,23.0,91.97,360.0,10.0,29.93,1.0,14.19
2021-01-01 23:00:00,25.0,23.0,91.97,350.0,10.0,29.94,2.5,14.19
2021-01-02 00:00:00,24.1,21.9,91.17,350.0,11.0,29.95,2.5,12.48
2021-01-02 01:00:00,25.0,23.0,91.97,350.0,11.0,29.95,2.5,13.62
2021-01-02 02:00:00,24.1,21.9,91.17,340.0,8.0,29.95,5.0,14.38
2021-01-02 03:00:00,24.1,21.9,91.17,340.0,8.0,29.94,5.0,14.38
2021-01-02 04:00:00,21.9,21.0,96.26,330.0,5.0,29.96,5.0,14.4
2021-01-02 05:00:00,23.0,21.9,95.47,340.0,6.0,29.97,5.0,14.69
2021-01-02 06:00:00,24.1,21.9,91.17,340.0,9.0,29.99,5.0,13.69
2021-01-02 07:00:00,23.0,21.0,91.9,340.0,4.0,29.99,5.0,16.91
2021-01-02 08:00:00,21.9,21.9,100.0,360.0,5.0,30.0,5.0,14.4
2021-01-02 09:00:00,23.0,21.9,95.47,290.0,4.0,30.03,4.0,16.91
2021-01-02 10:00:00,21.9,19.9,91.86,290.0,3.0,30.05,5.0,17.14
2021-01-02 11:00:00,21.0,19.9,95.43,0.0,0.0,30.08,5.0,21.0
2021-01-02 12:00:00,21.0,19.9,95.43,320.0,3.0,30.1,5.0,16.11
2021-01-02 13:00:00,19.9,19.0,96.23,320.0,4.0,30.1,3.0,13.29
2021-01-02 14:00:00,19.9,19.0,96.23,0.0,0.0,30.11,3.0,19.9
2021-01-02 15:00:00,21.0,21.0,100.0,0.0,0.0,30.11,2.0,21.0
2021-01-02 16:00:00,23.0,21.9,95.47,0.0,0.0,30.1,3.0,23.0
2021-01-02 17:00:00,23.0,21.9,95.47,0.0,0.0,30.07,5.0,23.0
2021-01-02 18:00:00,24.1,21.9,91.17,0.0,4.0,30.07,5.0,18.19
2021-01-02 19:00:00,24.1,21.0,87.76,0.0,0.0,30.04,6.0,24.1
2021-01-02 20:00:00,23.0,19.9,87.7,0.0,0.0,30.04,6.0,23.0
2021-01-02 21:00:00,23.0,19.9,87.7,60.0,3.0,30.03,5.0,18.4
2021-01-02 22:00:00,21.0,19.9,95.43,110.0,4.0,30.03,5.0,14.57
2021-01-02 23:00:00,18.0,17.1,96.19,0.0,0.0,30.04,5.0,18.0
2021-01-03 00:00:00,19.0,18.0,95.8,0.0,0.0,30.03,4.0,19.0
2021-01-03 01:00:00,18.0,17.1,96.19,0.0,0.0,30.01,4.0,18.0
2021-01-03 02:00:00,19.9,19.0,96.23,170.0,3.0,30.01,5.0,14.86
2021-01-03 03:00:00,21.0,19.0,91.83,10.0,4.0,29.98,4.0,14.57
2021-01-03 04:00:00,21.0,21.0,100.0,0.0,0.0,29.97,0.5,21.0
2021-01-03 05:00:00,21.0,21.0,100.0,0.0,0.0,29.96,1.5,21.0
2021-01-03 06:00:00,21.0,21.0,100.0,0.0,0.0,29.95,1.0,21.0
2021-01-03 07:00:00,21.9,21.9,100.0,0.0,0.0,29.95,0.5,21.9
