,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,18.0,14.0,84.05,0.0,0.0,30.32,8.0,18.0
2021-01-01 01:00:00,17.1,14.0,87.38,0.0,0.0,30.3,7.0,17.1
2021-01-01 02:00:00,12.9,10.9,91.52,190.0,6.0,30.32,5.0,2.53
2021-01-01 03:00:00,16.0,12.9,87.32,170.0,10.0,30.32,6.0,2.9
2021-01-01 04:00:00,16.0,12.9,87.32,190.0,10.0,30.3,5.0,2.9
2021-01-01 05:00:00,16.0,14.0,91.64,190.0,7.0,30.32,5.0,5.28
2021-01-01 06:00:00,17.1,14.0,87.38,190.0,7.0,30.32,5.0,6.62
2021-01-01 07:00:00,17.1,15.1,91.68,200.0,7.0,30.32,4.0,6.62
2021-01-01 08:00:00,17.1,15.1,91.68,190.0,7.0,30.31,3.0,6.62
2021-01-01 09:00:00,17.1,15.1,91.68,160.0,3.0,30.29,2.5,11.66
2021-01-01 10:00:00,18.0,16.0,91.72,0.0,0.0,30.29,1.25,18.0
2021-01-01 11:00:00,18.0,16.0,91.72,0.0,0.0,30.26,1.5,18.0
2021-01-01 12:00:00,18.0,15.1,88.2,340.0,3.0,30.24,1.25,12.68
2021-01-01 13:00:00,18.0,16.0,91.72,340.0,3.0,30.21,0.25,12.68
2021-01-01 14:00:00,19.0,17.1,92.15,360.0,4.0,30.2,1.25,12.24
2021-01-01 15:00:00,19.9,17.1,88.68,10.0,7.0,30.18,2.5,10.03
2021-01-01 16:00:00,21.0,18.0,87.97,40.0,9.0,30.13,1.75,9.84
2021-01-01 17:00:00,21.9,18.0,84.68,20.0,10.0,30.09,1.75,10.3
2021-01-01 18:00:00,23.0,19.9,87.7,30.0,8.0,30.04,2.0,13.03
2021-01-01 19:00:00,24.1,21.0,87.76,20.0,12.0,29.99,2.5,11.95
2021-01-01 20:00:00,24.1,21.9,91.17,30.0,10.0,29.96,2.5,13.06
2021-01-01 21:00:00,25.0,21.9,87.81,20.0,10.0,29.96,2.5,14.19
2021-01-01 22:00:00,25.0,21.9,87.81,20.0,9.0,29.97,4.0,14.81
2021-01-01 23:00:00,24.1,21.0,87.76,350.0,8.0,29.98,4.0,14.38
2021-01-02 00:00:00,24.1,21.0,87.76,350.0,13.0,29.98,4.0,11.45
2021-01-02 01:00:00,24.1,21.0,87.76,350.0,11.0,29.97,4.0,12.48
2021-01-02 02:00:00,25.0,23.0,91.97,330.0,6.0,29.95,4.0,17.1
2021-01-02 03:00:00,24.1,21.0,87.76,330.0,6.0,29.95,4.0,16.02
2021-01-02 04:00:00,21.0,19.9,95.43,300.0,6.0,29.96,4.0,12.28
2021-01-02 05:00:00,21.0,19.0,91.83,320.0,7.0,29.97,5.0,11.37
2021-01-02 06:00:00,21.0,19.0,91.83,310.0,6.0,29.98,5.0,12.28
2021-01-02 07:00:00,21.0,19.0,91.83,290.0,5.0,29.99,5.0,13.33
2021-01-02 08:00:00,24.1,21.0,87.76,310.0,9.0,29.99,6.0,13.69
2021-01-02 09:00:00,23.0,19.9,87.7,300.0,7.0,30.0,5.0,13.81
2021-01-02 10:00:00,21.9,19.0,88.4,270.0,4.0,30.04,5.0,15.63
2021-01-02 11:00:00,21.9,21.0,96.26,0.0,0.0,30.06,5.0,21.9
2021-01-02 12:00:00,23.0,21.0,91.9,0.0,0.0,30.08,5.0,23.0
