,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,23.0,18.0,80.85,0.0,0.0,30.29,10.0,23.0
2021-01-01 01:00:00,23.0,18.0,80.85,0.0,0.0,30.31,8.0,23.0
2021-01-01 02:00:00,21.9,18.0,84.68,0.0,3.0,30.32,10.0,17.14
2021-01-01 03:00:00,21.9,17.1,81.46,0.0,0.0,30.31,10.0,21.9
2021-01-01 04:00:00,21.9,17.1,81.46,0.0,3.0,30.32,9.0,17.14
2021-01-01 05:00:00,21.0,17.1,84.62,180.0,7.0,30.35,10.0,11.37
2021-01-01 06:00:00,19.9,17.1,88.68,0.0,0.0,30.32,10.0,19.9
2021-01-01 07:00:00,19.9,16.0,84.55,70.0,3.0,30.3,9.0,14.86
2021-01-01 08:00:00,19.0,16.0,87.87,80.0,3.0,30.3,9.0,13.83
2021-01-01 09:00:00,19.0,15.1,84.49,90.0,3.0,30.29,8.0,13.83
2021-01-01 10:00:00,18.0,15.1,88.2,120.0,5.0,30.27,8.0,9.77
2021-01-01 11:00:00,18.0,15.1,88.2,90.0,3.0,30.26,8.0,12.68
2021-01-01 12:00:00,18.0,15.1,88.2,90.0,3.0,30.22,8.0,12.68
2021-01-01 13:00:00,18.0,15.1,88.2,90.0,3.0,30.19,6.0,12.68
2021-01-01 14:00:00,19.0,15.1,84.49,60.0,5.0,30.18,5.0,10.96
2021-01-01 15:00:00,19.9,15.1,81.3,70.0,5.0,30.15,7.0,12.03
2021-01-01 16:00:00,21.0,16.0,80.69,40.0,5.0,30.1,7.0,13.33
2021-01-01 17:00:00,23.0,18.0,80.85,40.0,3.0,30.05,6.0,18.4
2021-01-01 18:00:00,25.0,19.9,80.66,0.0,0.0,30.0,6.0,25.0
2021-01-01 19:00:00,28.0,21.9,77.57,30.0,5.0,29.99,5.0,21.64
2021-01-01 20:00:00,28.9,23.0,78.3,30.0,3.0,29.98,5.0,25.14
2021-01-01 21:00:00,28.9,23.0,78.3,30.0,5.0,29.98,6.0,22.71
2021-01-01 22:00:00,28.9,23.0,78.3,20.0,5.0,30.0,7.0,22.71
2021-01-01 23:00:00,28.0,23.0,81.25,30.0,4.0,30.01,7.0,22.75
2021-01-02 00:00:00,28.0,23.0,81.25,20.0,3.0,30.02,7.0,24.12
2021-01-02 01:00:00,27.0,21.9,80.83,30.0,3.0,30.02,6.0,22.97
2021-01-02 02:00:00,27.0,21.9,80.83,40.0,3.0,30.01,7.0,22.97
2021-01-02 03:00:00,26.1,21.9,83.89,20.0,6.0,30.01,6.0,18.42
2021-01-02 04:00:00,26.1,21.9,83.89,360.0,4.0,30.02,6.0,20.53
2021-01-02 05:00:00,25.0,21.0,84.53,360.0,7.0,30.04,6.0,16.25
2021-01-02 06:00:00,23.0,19.9,87.7,10.0,8.0,30.04,7.0,13.03
2021-01-02 07:00:00,23.0,19.9,87.7,0.0,0.0,30.05,7.0,23.0
2021-01-02 08:00:00,21.0,19.0,91.83,250.0,3.0,30.06,6.0,16.11
2021-01-02 09:00:00,21.0,19.0,91.83,0.0,0.0,30.07,6.0,21.0
2021-01-02 10:00:00,21.9,19.0,88.4,240.0,3.0,30.08,6.0,17.14
2021-01-02 11:00:00,21.9,18.0,84.68,210.0,3.0,30.11,6.0,17.14
2021-01-02 12:00:00,21.9,18.0,84.68,220.0,3.0,30.14,6.0,17.14
2021-01-02 13:00:00,21.9,18.0,84.68,0.0,0.0,30.13,5.0,21.9
