,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,14.2,11.1,87.22,180.0,5.0,30.21,10.0,5.26
2021-01-01 01:00:00,13.8,11.5,90.35,200.0,4.0,30.23,10.0,6.17
2021-01-01 02:00:00,9.7,9.0,96.91,0.0,0.0,30.21,10.0,9.7
2021-01-01 03:00:00,5.2,4.3,95.96,0.0,0.0,30.19,7.0,5.2
2021-01-01 04:00:00,2.3,0.5,91.96,0.0,0.0,30.19,10.0,2.3
2021-01-01 05:00:00,2.0,-0.2,89.82,0.0,0.0,30.19,10.0,2.1
2021-01-01 06:00:00,2.7,0.7,91.11,0.0,0.0,30.18,10.0,2.7
2021-01-01 07:00:00,7.2,6.0,95.13,190.0,3.0,30.2,10.0,0.34
2021-01-01 08:00:00,10.0,8.6,93.92,0.0,0.0,30.19,10.0,10.0
2021-01-01 09:00:00,12.6,11.7,96.1,190.0,4.0,30.19,10.0,4.77
2021-01-01 10:00:00,9.9,8.4,93.49,0.0,0.0,30.19,10.0,9.9
2021-01-01 11:00:00,5.0,2.8,90.37,0.0,0.0,30.2,10.0,5.0
2021-01-01 12:00:00,10.2,9.1,95.2,180.0,3.0,30.18,7.0,3.77
2021-01-01 13:00:00,8.1,6.6,93.44,0.0,0.0,30.15,7.0,8.1
2021-01-01 14:00:00,6.0,4.0,92.09,0.0,0.0,30.12,10.0,5.9
2021-01-01 15:00:00,8.2,6.6,93.02,0.0,0.0,30.12,10.0,8.2
2021-01-01 16:00:00,12.2,10.6,93.14,0.0,0.0,30.08,10.0,12.2
2021-01-01 17:00:00,16.2,14.7,93.68,0.0,0.0,30.03,10.0,16.2
2021-01-01 18:00:00,21.0,16.5,82.46,0.0,0.0,30.02,10.0,21.0
2021-01-01 19:00:00,24.4,16.2,70.54,0.0,0.0,30.0,10.0,24.4
2021-01-01 20:00:00,25.2,15.8,67.05,0.0,0.0,29.99,10.0,25.2
2021-01-01 21:00:00,20.3,14.0,76.18,0.0,0.0,29.99,10.0,20.3
2021-01-01 22:00:00,17.4,13.3,83.64,0.0,0.0,29.99,10.0,17.4
2021-01-01 23:00:00,12.4,11.3,95.24,0.0,0.0,29.99,10.0,12.4
2021-01-02 00:00:00,9.7,9.3,98.22,0.0,0.0,29.98,10.0,9.7
2021-01-02 01:00:00,5.7,4.3,93.79,0.0,0.0,29.96,10.0,5.7
2021-01-02 02:00:00,10.2,9.0,94.77,0.0,0.0,29.96,10.0,10.2
2021-01-02 03:00:00,14.5,13.8,96.98,0.0,0.0,29.97,10.0,14.5
