,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,21.2,16.3,81.05,0.0,0.0,30.29,10.0,21.2
2021-01-01 01:00:00,21.2,16.7,82.47,120.0,5.0,30.29,10.0,13.57
2021-01-01 02:00:00,20.7,16.7,84.24,120.0,6.0,30.31,10.0,11.92
2021-01-01 03:00:00,21.2,17.1,83.91,130.0,4.0,30.29,10.0,14.81
2021-01-01 04:00:00,21.2,17.1,83.91,120.0,7.0,30.3,10.0,11.61
2021-01-01 05:00:00,21.0,16.7,83.17,150.0,6.0,30.34,10.0,12.28
2021-01-01 06:00:00,20.7,16.5,83.51,0.0,0.0,30.31,10.0,20.7
2021-01-01 07:00:00,20.3,16.5,84.94,90.0,4.0,30.29,10.0,13.76
2021-01-01 08:00:00,20.3,16.7,85.68,120.0,3.0,30.29,7.0,15.31
2021-01-01 09:00:00,19.4,16.0,86.37,0.0,0.0,30.26,10.0,19.4
2021-01-01 10:00:00,19.0,15.6,86.35,130.0,3.0,30.26,10.0,13.83
2021-01-01 11:00:00,18.0,14.5,85.91,90.0,3.0,30.24,10.0,12.68
2021-01-01 12:00:00,17.6,14.0,85.51,0.0,0.0,30.21,7.0,17.6
2021-01-01 13:00:00,17.6,14.0,85.51,30.0,3.0,30.18,10.0,12.23
2021-01-01 14:00:00,18.1,14.0,83.69,0.0,0.0,30.16,10.0,18.1
2021-01-01 15:00:00,19.4,14.9,82.34,90.0,3.0,30.13,10.0,14.28
2021-01-01 16:00:00,21.2,16.2,80.7,30.0,4.0,30.09,10.0,14.81
2021-01-01 17:00:00,23.0,17.6,79.47,340.0,3.0,30.04,7.0,18.4
2021-01-01 18:00:00,24.6,19.2,79.6,330.0,5.0,30.0,10.0,17.61
2021-01-01 19:00:00,24.6,19.2,79.6,320.0,4.0,29.99,10.0,18.78
2021-01-01 20:00:00,25.7,20.1,79.02,320.0,5.0,29.98,7.0,18.91
2021-01-01 21:00:00,26.4,21.0,79.76,320.0,7.0,29.99,7.0,17.95
2021-01-01 22:00:00,26.2,20.7,79.4,330.0,7.0,30.0,10.0,17.71
2021-01-01 23:00:00,25.5,19.8,78.67,340.0,10.0,30.01,10.0,14.82
2021-01-02 00:00:00,24.8,19.4,79.62,330.0,7.0,30.03,10.0,16.0
2021-01-02 01:00:00,23.5,18.5,80.89,310.0,4.0,30.02,10.0,17.49
2021-01-02 02:00:00,23.4,18.5,81.23,310.0,4.0,30.02,7.0,17.38
2021-01-02 03:00:00,21.6,17.4,83.58,0.0,0.0,30.01,7.0,21.6
2021-01-02 04:00:00,19.2,16.3,88.26,0.0,0.0,30.04,7.0,19.2
2021-01-02 05:00:00,21.6,18.5,87.63,330.0,5.0,30.04,5.0,14.04
2021-01-02 06:00:00,19.9,16.5,86.4,0.0,0.0,30.04,7.0,19.9
2021-01-02 07:00:00,16.5,13.5,87.73,0.0,0.0,30.05,5.0,16.5
2021-01-02 08:00:00,14.0,11.3,88.77,0.0,0.0,30.07,4.0,14.0
2021-01-02 09:00:00,14.9,12.6,90.4,0.0,0.0,30.08,5.0,14.9
2021-01-02 10:00:00,15.1,11.8,86.5,0.0,0.0,30.09,7.0,15.1
2021-01-02 11:00:00,14.4,11.3,87.23,0.0,0.0,30.12,7.0,14.4
2021-01-02 12:00:00,12.7,9.3,85.97,0.0,0.0,30.13,7.0,12.7
2021-01-02 13:00:00,14.9,11.7,86.87,0.0,0.0,30.13,7.0,14.9
2021-01-02 14:00:00,16.7,12.9,84.71,0.0,0.0,30.14,7.0,16.7
2021-01-02 15:00:00,18.5,14.4,83.72,0.0,0.0,30.14,5.0,18.5
2021-01-02 16:00:00,19.2,15.6,85.61,0.0,0.0,30.13,4.0,19.2
2021-01-02 17:00:00,21.7,18.3,86.51,200.0,3.0,30.1,3.0,16.91
2021-01-02 18:00:00,24.3,19.9,83.05,0.0,0.0,30.08,5.0,24.3
2021-01-02 19:00:00,25.5,21.6,84.92,0.0,0.0,30.05,4.0,25.5
2021-01-02 20:00:00,26.1,22.5,86.04,360.0,3.0,30.05,7.0,21.94
2021-01-02 21:00:00,26.1,22.6,86.4,0.0,0.0,30.05,7.0,26.1
2021-01-02 22:00:00,25.7,22.6,87.85,0.0,0.0,30.06,7.0,25.7
2021-01-02 23:00:00,25.7,22.8,88.59,0.0,0.0,30.06,7.0,25.7
2021-01-03 00:00:00,25.3,22.8,90.07,0.0,0.0,30.05,7.0,25.3
2021-01-03 01:00:00,25.2,22.6,89.69,0.0,0.0,30.03,5.0,25.2
2021-01-03 02:00:00,24.6,22.3,90.81,150.0,3.0,30.01,5.0,20.23
2021-01-03 03:00:00,23.5,21.0,89.99,0.0,0.0,30.01,7.0,23.5
2021-01-03 04:00:00,23.5,21.0,89.99,0.0,0.0,29.99,7.0,23.5
2021-01-03 05:00:00,23.2,20.8,90.36,0.0,0.0,29.99,7.0,23.2
2021-01-03 06:00:00,23.2,20.5,89.22,0.0,0.0,29.98,5.0,23.2
2021-01-03 07:00:00,22.5,19.9,89.57,0.0,0.0,29.99,5.0,22.5
2021-01-03 08:00:00,21.9,19.4,89.92,0.0,0.0,29.98,5.0,21.9
2021-01-03 09:00:00,21.2,19.2,91.84,0.0,0.0,29.97,4.0,21.2
2021-01-03 10:00:00,20.8,18.5,90.65,270.0,4.0,29.97,2.5,14.34
2021-01-03 11:00:00,20.5,18.5,91.81,0.0,0.0,29.96,2.0,20.5
2021-01-03 12:00:00,20.5,18.3,91.03,190.0,3.0,29.97,1.25,15.54
2021-01-03 13:00:00,20.7,18.3,90.26,0.0,0.0,29.98,1.75,20.7
2021-01-03 14:00:00,21.2,18.9,90.67,0.0,0.0,29.99,1.75,21.2
2021-01-03 15:00:00,21.7,19.4,90.69,220.0,3.0,29.99,4.0,16.91
2021-01-03 16:00:00,22.1,19.8,90.7,0.0,0.0,29.99,3.0,22.1
2021-01-03 17:00:00,23.0,20.8,91.13,0.0,0.0,29.99,5.0,23.0
2021-01-03 18:00:00,23.9,21.7,91.16,210.0,4.0,29.97,7.0,17.96
2021-01-03 19:00:00,23.9,21.6,90.78,220.0,4.0,29.96,7.0,17.96
2021-01-03 20:00:00,24.1,21.4,89.26,0.0,0.0,29.97,10.0,24.1
2021-01-03 21:00:00,24.4,21.2,87.41,0.0,0.0,29.98,10.0,24.4
2021-01-03 22:00:00,24.3,21.0,87.03,120.0,6.0,29.98,10.0,16.26
2021-01-03 23:00:00,23.0,20.1,88.45,130.0,5.0,29.98,7.0,15.71
2021-01-04 00:00:00,22.5,19.9,89.57,0.0,0.0,29.99,7.0,22.5
2021-01-04 01:00:00,21.6,19.0,89.53,110.0,4.0,29.98,7.0,15.28
2021-01-04 02:00:00,20.8,18.1,89.1,140.0,5.0,29.98,7.0,13.09
2021-01-04 03:00:00,20.1,17.6,89.84,120.0,4.0,29.96,7.0,13.52
2021-01-04 04:00:00,20.1,17.6,89.84,130.0,5.0,29.96,4.0,12.26
2021-01-04 05:00:00,19.2,16.7,89.8,140.0,4.0,29.97,4.0,12.47
2021-01-04 06:00:00,19.2,16.7,89.8,0.0,0.0,29.98,5.0,19.2
2021-01-04 07:00:00,19.9,17.6,90.61,0.0,0.0,29.98,3.0,19.9
2021-01-04 08:00:00,20.7,18.3,90.26,0.0,0.0,29.96,3.0,20.7
2021-01-04 09:00:00,21.2,18.9,90.67,0.0,0.0,29.96,3.0,21.2
2021-01-04 10:00:00,21.9,19.4,89.92,130.0,3.0,29.95,3.0,17.14
2021-01-04 11:00:00,21.9,19.4,89.92,130.0,3.0,29.95,3.0,17.14
2021-01-04 12:00:00,21.9,19.4,89.92,130.0,3.0,29.95,3.0,17.14
2021-01-04 13:00:00,23.9,21.7,91.16,0.0,0.0,29.94,5.0,23.9
2021-01-04 14:00:00,24.4,22.1,90.8,0.0,0.0,29.94,3.0,24.4
2021-01-04 15:00:00,25.2,23.0,91.21,220.0,6.0,29.96,2.5,17.34
2021-01-04 16:00:00,26.2,23.9,90.87,180.0,5.0,29.93,3.0,19.51
2021-01-04 17:00:00,27.1,24.4,89.4,210.0,6.0,29.92,5.0,19.63
2021-01-04 18:00:00,28.2,25.3,88.71,170.0,4.0,29.88,5.0,22.98
2021-01-04 19:00:00,29.1,25.7,86.94,220.0,5.0,29.88,7.0,22.95
2021-01-04 20:00:00,29.8,26.8,88.43,190.0,3.0,29.89,5.0,26.17
2021-01-04 21:00:00,30.7,27.5,87.75,0.0,0.0,29.91,5.0,30.7
2021-01-04 22:00:00,31.5,28.8,89.6,0.0,0.0,29.92,7.0,31.5
2021-01-04 23:00:00,31.6,28.9,89.61,0.0,0.0,29.93,5.0,31.6
2021-01-05 00:00:00,31.5,28.9,89.97,0.0,0.0,29.94,5.0,31.5
2021-01-05 01:00:00,29.5,27.7,92.89,270.0,3.0,29.95,1.75,25.83
2021-01-05 02:00:00,26.8,25.2,93.58,0.0,0.0,29.95,0.5,26.8
2021-01-05 03:00:00,22.5,20.3,91.11,0.0,0.0,29.96,1.25,22.5
2021-01-05 04:00:00,19.8,17.2,89.44,0.0,0.0,29.97,0.25,19.8
2021-01-05 05:00:00,18.5,15.8,88.99,0.0,0.0,29.98,0.25,18.5
2021-01-05 06:00:00,18.3,15.4,88.21,0.0,0.0,29.99,1.0,18.3
2021-01-05 07:00:00,16.5,14.0,89.68,0.0,0.0,30.01,5.0,16.5
2021-01-05 08:00:00,16.7,14.0,88.9,0.0,0.0,30.03,7.0,16.7
2021-01-05 09:00:00,14.7,11.8,88.02,0.0,0.0,30.04,10.0,14.7
2021-01-05 10:00:00,16.2,13.8,90.06,0.0,0.0,30.04,10.0,16.2
2021-01-05 11:00:00,13.3,10.4,87.95,0.0,0.0,30.07,10.0,13.3
2021-01-05 12:00:00,12.0,8.8,86.7,0.0,0.0,30.08,10.0,12.0
2021-01-05 13:00:00,14.0,11.5,89.56,0.0,0.0,30.1,10.0,14.0
2021-01-05 14:00:00,15.3,12.4,88.05,0.0,0.0,30.12,10.0,15.3
2021-01-05 15:00:00,18.3,15.6,88.98,0.0,0.0,30.12,7.0,18.3
2021-01-05 16:00:00,22.6,20.1,89.95,0.0,0.0,30.12,10.0,22.6
2021-01-05 17:00:00,26.4,24.4,92.02,0.0,0.0,30.11,10.0,26.4
2021-01-05 18:00:00,28.6,25.9,89.47,0.0,0.0,30.09,10.0,28.6
2021-01-05 19:00:00,32.2,25.9,77.3,0.0,0.0,30.1,10.0,32.2
2021-01-05 20:00:00,33.0,25.5,73.92,0.0,0.0,30.12,10.0,32.9
2021-01-05 21:00:00,32.5,24.4,71.75,250.0,4.0,30.14,10.0,28.0
2021-01-05 22:00:00,30.2,24.3,78.42,0.0,0.0,30.16,10.0,30.2
2021-01-05 23:00:00,27.1,23.0,84.31,0.0,0.0,30.16,10.0,27.1
2021-01-06 00:00:00,25.0,21.7,87.07,0.0,0.0,30.18,10.0,25.0
2021-01-06 01:00:00,23.0,19.6,86.59,0.0,0.0,30.2,10.0,23.0
2021-01-06 02:00:00,20.7,17.8,88.34,0.0,0.0,30.21,10.0,20.7
2021-01-06 03:00:00,21.6,18.9,89.14,0.0,0.0,30.23,10.0,21.6
2021-01-06 04:00:00,23.2,20.5,89.22,0.0,0.0,30.24,10.0,23.2
2021-01-06 05:00:00,20.8,18.5,90.65,0.0,0.0,30.24,10.0,20.8
2021-01-06 06:00:00,17.2,14.9,90.5,40.0,4.0,30.25,7.0,10.14
2021-01-06 07:00:00,17.1,14.4,88.92,0.0,0.0,30.25,10.0,17.1
2021-01-06 08:00:00,20.1,17.6,89.84,0.0,0.0,30.27,7.0,20.1
