,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.0,10.0,76.77,220.0,5.0,30.22,10.0,7.39
2021-01-01 01:00:00,16.0,10.9,79.92,210.0,4.0,30.23,10.0,8.74
2021-01-01 02:00:00,10.9,8.1,88.21,230.0,3.0,30.22,8.0,4.57
2021-01-01 03:00:00,10.9,8.1,88.21,0.0,0.0,30.19,5.0,10.9
2021-01-01 04:00:00,8.1,4.0,82.58,0.0,0.0,30.19,5.0,8.1
2021-01-01 05:00:00,4.0,0.0,83.42,200.0,3.0,30.2,7.0,-3.43
2021-01-01 06:00:00,6.0,1.9,82.43,0.0,0.0,30.2,6.0,6.1
2021-01-01 07:00:00,7.0,1.9,79.13,0.0,0.0,30.22,6.0,7.0
2021-01-01 08:00:00,5.0,0.0,79.32,0.0,0.0,30.21,5.0,5.0
2021-01-01 09:00:00,9.0,6.0,87.71,220.0,5.0,30.2,5.0,-0.92
2021-01-01 10:00:00,9.0,5.0,83.41,0.0,0.0,30.2,5.0,9.0
2021-01-01 11:00:00,5.0,1.0,83.12,0.0,0.0,30.19,6.0,5.0
2021-01-01 12:00:00,3.0,-0.9,83.36,0.0,0.0,30.17,6.0,3.0
2021-01-01 13:00:00,1.9,-3.0,79.79,0.0,0.0,30.15,6.0,1.9
2021-01-01 14:00:00,3.0,0.0,86.96,0.0,0.0,30.12,7.0,3.0
2021-01-01 15:00:00,8.1,6.0,91.34,0.0,0.0,30.13,5.0,8.1
2021-01-01 16:00:00,14.0,12.0,91.57,0.0,0.0,30.09,7.0,14.0
2021-01-01 17:00:00,17.1,12.9,83.25,90.0,3.0,30.04,10.0,11.66
2021-01-01 18:00:00,21.0,14.0,73.94,0.0,0.0,30.02,10.0,21.0
2021-01-01 19:00:00,23.0,12.9,64.75,0.0,0.0,30.01,10.0,23.0
2021-01-01 20:00:00,24.1,15.1,68.09,0.0,0.0,29.99,10.0,24.1
2021-01-01 21:00:00,21.9,17.1,81.46,180.0,3.0,29.99,7.0,17.14
2021-01-01 22:00:00,19.0,16.0,87.87,0.0,0.0,29.98,7.0,19.0
2021-01-01 23:00:00,18.0,15.1,88.2,240.0,3.0,29.98,5.0,12.68
2021-01-02 00:00:00,18.0,16.0,91.72,280.0,3.0,29.95,5.0,12.68
2021-01-02 01:00:00,19.0,17.1,92.15,270.0,5.0,29.95,0.5,10.96
2021-01-02 02:00:00,19.0,17.1,92.15,270.0,6.0,29.96,1.25,9.87
2021-01-02 03:00:00,15.1,12.9,90.81,260.0,4.0,29.96,4.0,7.69
2021-01-02 04:00:00,12.9,10.9,91.52,270.0,4.0,29.96,1.0,5.12
2021-01-02 05:00:00,16.0,12.9,87.32,0.0,0.0,29.94,1.5,16.0
2021-01-02 06:00:00,18.0,15.1,88.2,260.0,3.0,29.93,0.75,12.68
2021-01-02 07:00:00,18.0,16.0,91.72,250.0,3.0,29.94,1.0,12.68
2021-01-02 08:00:00,19.0,16.0,87.87,270.0,4.0,29.95,1.25,12.24
2021-01-02 09:00:00,19.0,16.0,87.87,270.0,4.0,29.95,1.25,12.24
2021-01-02 10:00:00,19.0,16.0,87.87,290.0,3.0,29.96,1.25,13.83
2021-01-02 11:00:00,19.0,16.0,87.87,260.0,5.0,29.97,1.5,10.96
2021-01-02 12:00:00,18.0,15.1,88.2,240.0,6.0,29.99,2.0,8.67
2021-01-02 13:00:00,18.0,15.1,88.2,260.0,6.0,30.0,3.0,8.67
2021-01-02 14:00:00,18.0,15.1,88.2,240.0,5.0,30.03,4.0,9.77
2021-01-02 15:00:00,19.0,16.0,87.87,230.0,5.0,30.03,5.0,10.96
2021-01-02 16:00:00,19.9,18.0,92.19,250.0,5.0,30.0,1.75,12.03
2021-01-02 17:00:00,21.9,19.0,88.4,260.0,5.0,29.99,3.0,14.4
2021-01-02 18:00:00,24.1,21.0,87.76,260.0,4.0,29.97,5.0,18.19
2021-01-02 19:00:00,24.1,21.0,87.76,240.0,4.0,29.96,5.0,18.19
2021-01-02 20:00:00,24.1,21.0,87.76,200.0,6.0,29.97,5.0,16.02
2021-01-02 21:00:00,24.1,21.9,91.17,230.0,5.0,29.97,4.0,17.01
2021-01-02 22:00:00,24.1,21.9,91.17,200.0,4.0,29.96,4.0,18.19
2021-01-02 23:00:00,24.1,21.0,87.76,220.0,4.0,29.95,2.0,18.19
2021-01-03 00:00:00,23.0,21.0,91.9,230.0,5.0,29.94,0.5,15.71
2021-01-03 01:00:00,21.9,19.9,91.86,220.0,5.0,29.94,1.25,14.4
