,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,19.0,14.9,83.76,150.0,6.0,30.23,10.0,9.87
2021-01-01 01:00:00,17.6,14.0,85.51,140.0,5.0,30.22,10.0,9.29
2021-01-01 02:00:00,14.0,10.9,87.2,0.0,0.0,30.2,10.0,14.0
2021-01-01 03:00:00,11.1,7.5,85.09,0.0,0.0,30.21,7.0,11.1
2021-01-01 04:00:00,11.5,8.6,87.85,150.0,5.0,30.22,7.0,2.05
2021-01-01 05:00:00,12.0,8.6,85.92,130.0,3.0,30.2,7.0,5.82
2021-01-01 06:00:00,12.6,9.5,87.12,170.0,4.0,30.2,7.0,4.77
2021-01-01 07:00:00,13.1,10.4,88.72,160.0,4.0,30.21,7.0,5.35
2021-01-01 08:00:00,16.5,13.6,88.12,200.0,6.0,30.22,7.0,6.86
2021-01-01 09:00:00,16.7,13.8,88.13,180.0,5.0,30.21,7.0,8.22
2021-01-01 10:00:00,15.4,12.6,88.45,140.0,3.0,30.21,7.0,9.71
2021-01-01 11:00:00,13.1,10.2,87.93,140.0,4.0,30.19,7.0,5.35
2021-01-01 12:00:00,9.0,6.0,87.71,110.0,3.0,30.17,7.0,2.4
2021-01-01 13:00:00,10.4,7.2,86.6,0.0,0.0,30.16,7.0,10.4
2021-01-01 14:00:00,10.4,7.3,87.0,0.0,0.0,30.15,5.0,10.4
2021-01-01 15:00:00,11.1,8.0,86.65,0.0,0.0,30.13,5.0,11.1
2021-01-01 16:00:00,16.3,13.1,86.95,0.0,0.0,30.1,5.0,16.3
2021-01-01 17:00:00,17.6,14.9,88.95,0.0,0.0,30.07,7.0,17.6
2021-01-01 18:00:00,19.2,16.0,87.12,0.0,0.0,30.06,7.0,19.2
2021-01-01 19:00:00,19.4,14.9,82.34,0.0,0.0,30.04,7.0,19.4
2021-01-01 20:00:00,19.8,14.5,79.54,0.0,0.0,30.04,7.0,19.8
2021-01-01 21:00:00,17.2,12.9,82.9,0.0,0.0,30.06,10.0,17.2
2021-01-01 22:00:00,14.2,10.2,83.79,0.0,0.0,30.06,7.0,14.2
2021-01-01 23:00:00,12.9,10.0,87.92,0.0,0.0,30.05,5.0,12.9
2021-01-02 00:00:00,15.8,13.1,88.86,0.0,0.0,30.04,7.0,15.8
2021-01-02 01:00:00,17.6,14.9,88.95,0.0,0.0,30.04,7.0,17.6
2021-01-02 02:00:00,19.0,15.6,86.35,0.0,0.0,30.04,10.0,19.0
2021-01-02 03:00:00,20.1,15.8,83.11,0.0,0.0,30.06,7.0,20.1
2021-01-02 04:00:00,20.7,15.8,81.01,0.0,0.0,30.05,7.0,20.7
2021-01-02 05:00:00,20.8,15.8,80.67,0.0,0.0,30.04,7.0,20.8
2021-01-02 06:00:00,20.3,16.0,83.12,0.0,0.0,30.02,7.0,20.3
2021-01-02 07:00:00,17.1,13.1,83.99,240.0,3.0,30.02,5.0,11.66
2021-01-02 08:00:00,12.2,9.0,86.71,0.0,0.0,30.02,3.0,12.2
2021-01-02 09:00:00,9.7,6.6,86.96,0.0,0.0,30.03,2.0,9.7
2021-01-02 10:00:00,9.1,6.0,86.52,180.0,4.0,30.04,3.0,0.68
2021-01-02 11:00:00,7.2,4.0,86.01,0.0,0.0,30.05,4.0,7.2
2021-01-02 12:00:00,7.7,4.0,84.87,0.0,0.0,30.06,3.0,7.7
2021-01-02 13:00:00,8.2,5.0,86.47,0.0,0.0,30.08,3.0,8.2
2021-01-02 14:00:00,13.3,10.2,87.16,160.0,3.0,30.08,2.5,7.31
2021-01-02 15:00:00,17.1,14.0,87.38,180.0,3.0,30.07,4.0,11.66
2021-01-02 16:00:00,18.9,16.0,88.24,180.0,3.0,30.05,2.0,13.71
2021-01-02 17:00:00,19.9,17.2,89.06,170.0,3.0,30.02,0.5,14.86
2021-01-02 18:00:00,21.2,18.5,89.12,120.0,4.0,30.0,1.25,14.81
2021-01-02 19:00:00,24.1,21.2,88.51,130.0,3.0,29.98,4.0,19.66
2021-01-02 20:00:00,26.6,19.9,75.48,180.0,5.0,29.99,5.0,19.98
2021-01-02 21:00:00,26.2,19.4,75.12,180.0,5.0,29.99,7.0,19.51
2021-01-02 22:00:00,23.7,18.3,79.53,160.0,4.0,29.98,7.0,17.73
2021-01-02 23:00:00,21.7,16.5,80.05,160.0,3.0,29.97,7.0,16.91
2021-01-03 00:00:00,18.3,14.7,85.56,150.0,4.0,29.96,5.0,11.42
2021-01-03 01:00:00,19.4,16.0,86.37,150.0,5.0,29.94,5.0,11.43
2021-01-03 02:00:00,21.0,18.0,87.97,160.0,4.0,29.94,5.0,14.57
2021-01-03 03:00:00,19.9,17.2,89.06,160.0,7.0,29.92,5.0,10.03
2021-01-03 04:00:00,19.8,17.1,89.06,140.0,4.0,29.91,5.0,13.17
2021-01-03 05:00:00,18.5,16.0,89.77,160.0,5.0,29.91,3.0,10.36
2021-01-03 06:00:00,19.4,16.9,89.81,150.0,5.0,29.9,2.0,11.43
2021-01-03 07:00:00,21.7,19.4,90.69,170.0,3.0,29.91,1.5,16.91
2021-01-03 08:00:00,22.8,20.3,89.96,170.0,5.0,29.9,1.5,15.47
2021-01-03 09:00:00,22.8,20.7,91.51,180.0,5.0,29.88,2.0,15.47
2021-01-03 10:00:00,22.1,20.1,91.87,190.0,5.0,29.88,5.0,14.64
2021-01-03 11:00:00,21.2,19.0,91.05,180.0,5.0,29.87,5.0,13.57
2021-01-03 12:00:00,19.6,17.2,90.21,170.0,5.0,29.86,5.0,11.67
2021-01-03 13:00:00,19.2,16.9,90.58,170.0,3.0,29.87,5.0,14.06
2021-01-03 14:00:00,20.1,17.6,89.84,180.0,4.0,29.87,5.0,13.52
2021-01-03 15:00:00,21.6,19.2,90.29,170.0,4.0,29.88,5.0,15.28
2021-01-03 16:00:00,23.4,21.2,91.14,160.0,7.0,29.86,7.0,14.3
2021-01-03 17:00:00,25.5,21.7,85.28,160.0,5.0,29.84,7.0,18.68
2021-01-03 18:00:00,28.9,21.7,74.13,120.0,4.0,29.83,10.0,23.8
2021-01-03 19:00:00,30.2,22.8,73.64,150.0,7.0,29.82,10.0,22.59
2021-01-03 20:00:00,31.1,23.2,72.2,20.0,6.0,29.83,10.0,24.45
2021-01-03 21:00:00,30.7,23.0,72.77,160.0,6.0,29.82,10.0,23.96
2021-01-03 22:00:00,27.5,22.1,79.85,160.0,6.0,29.83,10.0,20.11
2021-01-03 23:00:00,26.6,21.7,81.48,160.0,6.0,29.83,10.0,19.03
2021-01-04 00:00:00,24.8,20.8,84.51,150.0,5.0,29.83,10.0,17.84
2021-01-04 01:00:00,24.3,20.8,86.3,160.0,7.0,29.83,7.0,15.39
2021-01-04 02:00:00,25.7,23.0,89.34,160.0,5.0,29.84,4.0,18.91
2021-01-04 03:00:00,25.3,22.8,90.07,160.0,6.0,29.84,3.0,17.46
2021-01-04 04:00:00,23.2,20.8,90.36,160.0,5.0,29.84,4.0,15.94
2021-01-04 05:00:00,21.9,19.8,91.47,160.0,6.0,29.83,5.0,13.37
2021-01-04 06:00:00,21.2,19.0,91.05,160.0,5.0,29.81,7.0,13.57
2021-01-04 07:00:00,19.8,17.2,89.44,160.0,6.0,29.82,7.0,10.84
2021-01-04 08:00:00,19.2,16.5,89.03,150.0,4.0,29.83,5.0,12.47
2021-01-04 09:00:00,22.6,20.1,89.95,180.0,12.0,29.81,5.0,10.04
2021-01-04 10:00:00,22.8,20.3,89.96,200.0,10.0,29.81,1.75,11.43
2021-01-04 11:00:00,22.8,20.3,89.96,200.0,10.0,29.81,1.75,11.43
2021-01-04 12:00:00,22.8,20.3,89.96,200.0,10.0,29.81,1.75,11.43
2021-01-04 13:00:00,24.6,22.6,91.96,200.0,6.0,29.82,1.25,16.62
2021-01-04 14:00:00,25.7,23.5,91.23,180.0,8.0,29.82,0.5,16.35
2021-01-04 15:00:00,27.3,25.3,92.06,230.0,4.0,29.84,0.5,21.93
2021-01-04 16:00:00,28.0,26.1,92.46,220.0,5.0,29.83,0.25,21.64
2021-01-04 17:00:00,29.1,27.3,92.88,240.0,4.0,29.81,1.75,24.03
2021-01-04 18:00:00,29.8,27.9,92.52,270.0,6.0,29.81,4.0,22.88
2021-01-04 19:00:00,32.0,29.7,91.1,270.0,6.0,29.82,5.0,25.53
2021-01-04 20:00:00,33.8,27.3,76.81,270.0,4.0,29.84,7.0,29.52
2021-01-04 21:00:00,32.0,25.5,76.64,260.0,4.0,29.86,10.0,27.42
2021-01-04 22:00:00,27.1,22.3,81.86,250.0,3.0,29.88,10.0,23.09
2021-01-04 23:00:00,27.3,24.3,88.3,190.0,3.0,29.88,10.0,23.32
2021-01-05 00:00:00,23.7,21.6,91.54,0.0,0.0,29.89,7.0,23.7
2021-01-05 01:00:00,23.2,21.2,91.91,250.0,4.0,29.9,7.0,17.14
2021-01-05 02:00:00,25.7,23.7,92.0,270.0,7.0,29.9,10.0,17.1
2021-01-05 03:00:00,23.0,20.8,91.13,270.0,5.0,29.91,10.0,15.71
2021-01-05 04:00:00,24.3,22.1,91.18,0.0,0.0,29.93,10.0,24.3
2021-01-05 05:00:00,17.4,14.0,86.25,0.0,0.0,29.95,2.0,17.4
2021-01-05 06:00:00,17.1,14.4,88.92,0.0,0.0,29.96,3.0,17.1
2021-01-05 07:00:00,11.7,8.6,87.07,0.0,0.0,29.98,7.0,11.7
2021-01-05 08:00:00,8.8,5.2,84.94,0.0,0.0,29.99,10.0,8.8
2021-01-05 09:00:00,8.8,6.0,87.7,0.0,0.0,30.0,10.0,8.8
2021-01-05 10:00:00,12.2,9.9,90.28,240.0,3.0,30.01,5.0,6.05
2021-01-05 11:00:00,6.8,3.0,84.02,0.0,0.0,30.02,0.25,6.8
2021-01-05 12:00:00,6.4,2.8,84.78,0.0,0.0,30.04,0.25,6.4
