,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.2,14.7,89.71,150.0,6.0,30.26,10.0,7.71
2021-01-01 01:00:00,17.6,15.3,90.51,150.0,7.0,30.25,10.0,7.23
2021-01-01 02:00:00,17.6,15.4,90.91,130.0,5.0,30.23,10.0,9.29
2021-01-01 03:00:00,17.2,15.3,92.09,120.0,5.0,30.21,10.0,8.82
2021-01-01 04:00:00,16.7,14.9,92.47,120.0,8.0,30.22,10.0,5.27
2021-01-01 05:00:00,16.7,14.9,92.47,140.0,8.0,30.23,10.0,5.27
2021-01-01 06:00:00,17.1,15.3,92.49,130.0,6.0,30.2,10.0,7.59
2021-01-01 07:00:00,16.3,14.9,94.09,140.0,7.0,30.23,7.0,5.64
2021-01-01 08:00:00,15.8,14.4,94.08,160.0,8.0,30.22,7.0,4.16
2021-01-01 09:00:00,15.6,14.0,93.25,180.0,7.0,30.24,7.0,4.79
2021-01-01 10:00:00,15.4,14.0,94.07,170.0,6.0,30.24,7.0,5.54
2021-01-01 11:00:00,15.3,13.8,93.65,140.0,5.0,30.21,7.0,6.56
2021-01-01 12:00:00,14.9,13.8,95.3,120.0,3.0,30.2,5.0,9.14
2021-01-01 13:00:00,14.5,13.1,94.04,110.0,5.0,30.17,4.0,5.61
2021-01-01 14:00:00,14.7,13.1,93.22,150.0,6.0,30.16,3.0,4.69
2021-01-01 15:00:00,15.3,13.6,92.83,150.0,5.0,30.16,4.0,6.56
2021-01-01 16:00:00,15.6,14.0,93.25,0.0,0.0,30.12,4.0,15.6
2021-01-01 17:00:00,15.8,14.4,94.08,0.0,0.0,30.07,5.0,15.8
2021-01-01 18:00:00,16.7,14.9,92.47,0.0,0.0,30.07,7.0,16.7
2021-01-01 19:00:00,17.2,15.1,91.29,0.0,0.0,30.04,7.0,17.2
2021-01-01 20:00:00,18.0,15.1,88.2,0.0,0.0,30.04,10.0,18.0
2021-01-01 21:00:00,17.2,14.7,89.71,0.0,0.0,30.05,10.0,17.2
2021-01-01 22:00:00,15.8,14.0,92.44,0.0,0.0,30.06,7.0,15.8
2021-01-01 23:00:00,14.9,13.1,92.41,0.0,0.0,30.04,5.0,14.9
2021-01-02 00:00:00,17.2,15.4,92.49,280.0,3.0,30.04,7.0,11.77
2021-01-02 01:00:00,19.2,16.7,89.8,290.0,3.0,30.03,7.0,14.06
2021-01-02 02:00:00,19.6,16.5,87.52,280.0,3.0,30.02,10.0,14.51
2021-01-02 03:00:00,20.3,17.2,87.56,0.0,0.0,30.04,10.0,20.3
2021-01-02 04:00:00,21.0,18.0,87.97,0.0,0.0,30.04,4.0,21.0
2021-01-02 05:00:00,21.2,18.5,89.12,0.0,0.0,30.03,5.0,21.2
2021-01-02 06:00:00,21.2,19.9,94.62,0.0,0.0,30.01,1.25,21.2
2021-01-02 07:00:00,21.2,20.1,95.43,220.0,3.0,30.01,2.5,16.34
2021-01-02 08:00:00,21.2,20.3,96.25,0.0,0.0,30.02,0.5,21.2
2021-01-02 09:00:00,21.2,20.3,96.25,0.0,0.0,30.02,0.5,21.2
2021-01-02 10:00:00,21.6,20.7,96.26,0.0,0.0,30.03,0.25,21.6
2021-01-02 11:00:00,21.9,21.0,96.26,190.0,4.0,30.04,0.5,15.63
2021-01-02 12:00:00,21.0,19.9,95.43,220.0,5.0,30.06,1.5,13.33
2021-01-02 13:00:00,19.4,18.1,94.58,220.0,4.0,30.08,1.75,12.71
2021-01-02 14:00:00,17.8,16.3,93.72,180.0,3.0,30.09,2.0,12.46
2021-01-02 15:00:00,19.9,18.7,95.0,170.0,3.0,30.08,1.5,14.86
2021-01-02 16:00:00,21.4,20.3,95.44,0.0,0.0,30.06,0.75,21.4
2021-01-02 17:00:00,22.6,21.7,96.27,190.0,3.0,30.03,1.25,17.94
2021-01-02 18:00:00,23.7,23.0,97.11,150.0,3.0,30.01,1.75,19.2
2021-01-02 19:00:00,23.9,23.2,97.11,130.0,3.0,30.0,3.0,19.43
2021-01-02 20:00:00,24.3,23.4,96.3,140.0,6.0,30.0,3.0,16.26
2021-01-02 21:00:00,24.3,23.0,94.7,110.0,6.0,30.0,3.0,16.26
2021-01-02 22:00:00,22.6,20.3,90.72,120.0,4.0,29.99,4.0,16.44
2021-01-02 23:00:00,20.1,19.0,95.41,0.0,0.0,29.98,2.0,20.1
2021-01-03 00:00:00,17.1,15.6,93.7,130.0,3.0,29.97,0.5,11.66
2021-01-03 01:00:00,18.5,17.4,95.38,120.0,4.0,29.96,1.75,11.66
2021-01-03 02:00:00,19.0,17.6,94.16,120.0,5.0,29.95,2.5,10.96
2021-01-03 03:00:00,18.3,16.7,93.33,130.0,5.0,29.94,2.0,10.13
2021-01-03 04:00:00,20.7,19.4,94.61,140.0,6.0,29.94,0.25,11.92
2021-01-03 05:00:00,21.7,20.8,96.26,130.0,3.0,29.92,0.25,16.91
2021-01-03 06:00:00,22.6,21.7,96.27,140.0,3.0,29.92,0.25,17.94
2021-01-03 07:00:00,23.7,23.0,97.11,160.0,3.0,29.92,0.25,19.2
2021-01-03 08:00:00,23.9,23.4,97.93,160.0,3.0,29.92,0.25,19.43
2021-01-03 09:00:00,24.3,23.5,96.71,150.0,4.0,29.88,0.25,18.43
2021-01-03 10:00:00,24.4,23.7,97.12,180.0,3.0,29.88,0.5,20.0
2021-01-03 11:00:00,23.9,23.4,97.93,190.0,4.0,29.88,1.75,17.96
2021-01-03 12:00:00,23.7,23.0,97.11,170.0,5.0,29.87,5.0,16.54
2021-01-03 13:00:00,23.5,22.8,97.1,160.0,5.0,29.87,5.0,16.3
2021-01-03 14:00:00,23.5,22.8,97.1,170.0,5.0,29.87,4.0,16.3
2021-01-03 15:00:00,23.7,23.0,97.11,170.0,4.0,29.89,5.0,17.73
2021-01-03 16:00:00,23.9,23.0,96.3,160.0,6.0,29.87,5.0,15.77
2021-01-03 17:00:00,24.4,23.7,97.12,150.0,5.0,29.85,5.0,17.37
2021-01-03 18:00:00,25.7,25.2,97.94,150.0,4.0,29.85,4.0,20.06
2021-01-03 19:00:00,25.7,25.3,98.35,140.0,4.0,29.84,3.0,20.06
2021-01-03 20:00:00,26.2,25.7,97.95,150.0,6.0,29.84,4.0,18.54
2021-01-03 21:00:00,25.5,24.8,97.13,150.0,5.0,29.84,5.0,18.68
2021-01-03 22:00:00,23.4,22.5,96.29,140.0,4.0,29.85,4.0,17.38
2021-01-03 23:00:00,24.3,23.5,96.71,140.0,5.0,29.84,4.0,17.25
2021-01-04 00:00:00,24.1,23.5,97.52,140.0,7.0,29.85,5.0,15.15
2021-01-04 01:00:00,25.5,24.8,97.13,150.0,7.0,29.86,4.0,16.86
2021-01-04 02:00:00,26.1,25.5,97.54,150.0,7.0,29.86,4.0,17.59
2021-01-04 03:00:00,26.4,26.1,98.77,160.0,6.0,29.86,3.0,18.79
2021-01-04 04:00:00,27.1,26.6,97.96,170.0,6.0,29.85,3.0,19.63
2021-01-04 05:00:00,27.5,26.8,97.16,170.0,6.0,29.84,5.0,20.11
2021-01-04 06:00:00,24.8,23.9,96.31,160.0,9.0,29.83,5.0,14.56
2021-01-04 07:00:00,21.9,21.0,96.26,170.0,3.0,29.83,5.0,17.14
2021-01-04 08:00:00,22.5,21.7,96.68,170.0,5.0,29.84,5.0,15.11
2021-01-04 09:00:00,23.7,22.1,93.49,160.0,7.0,29.83,5.0,14.66
2021-01-04 10:00:00,23.0,22.3,97.1,170.0,9.0,29.82,2.5,12.32
2021-01-04 11:00:00,22.8,22.1,97.09,180.0,10.0,29.81,0.75,11.43
2021-01-04 12:00:00,22.8,22.1,97.09,180.0,10.0,29.82,0.5,11.43
2021-01-04 13:00:00,23.0,22.5,97.92,200.0,6.0,29.82,1.0,14.69
2021-01-04 14:00:00,23.7,23.0,97.11,210.0,4.0,29.83,1.75,17.73
2021-01-04 15:00:00,24.6,23.9,97.12,160.0,5.0,29.83,0.75,17.61
2021-01-04 16:00:00,25.3,24.8,97.94,200.0,3.0,29.84,0.75,21.03
2021-01-04 17:00:00,26.6,26.2,98.36,200.0,4.0,29.81,1.0,21.11
2021-01-04 18:00:00,26.6,26.2,98.36,150.0,3.0,29.79,2.0,22.52
2021-01-04 19:00:00,28.4,28.0,98.37,260.0,5.0,29.81,7.0,22.12
2021-01-04 20:00:00,29.3,27.5,92.89,240.0,4.0,29.82,5.0,24.27
2021-01-04 21:00:00,29.8,28.2,93.67,260.0,3.0,29.84,5.0,26.17
2021-01-04 22:00:00,29.1,27.7,94.42,250.0,4.0,29.86,5.0,24.03
2021-01-04 23:00:00,23.7,23.2,97.93,0.0,0.0,29.87,0.25,23.7
2021-01-05 00:00:00,17.4,16.2,94.94,0.0,0.0,29.88,0.25,17.4
2021-01-05 01:00:00,15.4,13.8,93.24,0.0,0.0,29.88,0.25,15.4
2021-01-05 02:00:00,12.0,10.0,91.49,0.0,0.0,29.88,0.25,12.0
2021-01-05 03:00:00,11.1,9.0,91.04,0.0,0.0,29.89,0.25,11.1
2021-01-05 04:00:00,10.8,8.8,91.44,0.0,0.0,29.92,0.25,10.8
2021-01-05 05:00:00,10.4,8.4,91.43,0.0,0.0,29.94,0.25,10.4
2021-01-05 06:00:00,8.1,5.2,87.66,0.0,0.0,29.95,0.25,8.1
2021-01-05 07:00:00,8.4,6.4,91.35,0.0,0.0,29.96,0.25,8.4
2021-01-05 08:00:00,8.6,6.3,90.12,0.0,0.0,29.97,0.25,8.6
2021-01-05 09:00:00,6.0,3.2,87.55,0.0,0.0,29.99,0.25,6.1
2021-01-05 10:00:00,7.2,4.6,88.82,0.0,0.0,29.99,0.25,7.2
2021-01-05 11:00:00,8.2,6.0,90.1,0.0,0.0,30.02,0.25,8.2
2021-01-05 12:00:00,11.3,9.1,90.64,0.0,0.0,30.04,0.25,11.3
2021-01-05 13:00:00,12.7,10.8,91.92,0.0,0.0,30.04,0.25,12.7
2021-01-05 14:00:00,10.6,8.4,90.61,0.0,0.0,30.07,0.5,10.6
2021-01-05 15:00:00,11.8,9.5,90.26,0.0,0.0,30.09,0.25,11.8
2021-01-05 16:00:00,15.8,14.0,92.44,0.0,0.0,30.09,5.0,15.8
2021-01-05 17:00:00,18.5,16.9,93.34,0.0,0.0,30.09,4.0,18.5
2021-01-05 18:00:00,21.2,20.1,95.43,0.0,0.0,30.09,10.0,21.2
2021-01-05 19:00:00,23.2,22.1,95.48,0.0,0.0,30.09,10.0,23.2
2021-01-05 20:00:00,23.9,23.0,96.3,0.0,0.0,30.1,10.0,23.9
2021-01-05 21:00:00,22.6,21.7,96.27,0.0,0.0,30.12,7.0,22.6
2021-01-05 22:00:00,18.7,17.4,94.56,20.0,4.0,30.14,0.25,11.89
2021-01-05 23:00:00,12.9,10.9,91.52,0.0,0.0,30.17,4.0,12.9
2021-01-06 00:00:00,12.9,10.9,91.52,0.0,0.0,30.19,1.5,12.9
2021-01-06 01:00:00,10.6,8.1,89.4,0.0,0.0,30.21,3.0,10.6
2021-01-06 02:00:00,9.0,6.8,90.55,0.0,0.0,30.21,7.0,9.0
2021-01-06 03:00:00,10.2,8.0,90.19,0.0,0.0,30.22,1.0,10.2
2021-01-06 04:00:00,11.8,9.5,90.26,0.0,0.0,30.23,0.25,11.8
2021-01-06 05:00:00,12.7,10.8,91.92,0.0,0.0,30.23,0.25,12.7
2021-01-06 06:00:00,10.6,8.1,89.4,0.0,0.0,30.24,0.75,10.6
2021-01-06 07:00:00,12.6,10.6,91.51,0.0,0.0,30.26,1.5,12.6
2021-01-06 08:00:00,13.1,11.1,91.53,0.0,0.0,30.27,0.25,13.1
2021-01-06 09:00:00,14.4,12.6,92.39,0.0,0.0,30.26,0.25,14.4
2021-01-06 10:00:00,14.0,12.2,92.38,0.0,0.0,30.27,2.5,14.0
2021-01-06 11:00:00,15.3,13.6,92.83,0.0,0.0,30.29,4.0,15.3
2021-01-06 12:00:00,17.6,16.3,94.53,0.0,0.0,30.31,5.0,17.6
2021-01-06 13:00:00,17.6,16.2,94.13,0.0,0.0,30.32,7.0,17.6
2021-01-06 14:00:00,18.5,17.4,95.38,0.0,0.0,30.33,7.0,18.5
2021-01-06 15:00:00,20.5,19.4,95.42,0.0,0.0,30.34,10.0,20.5
2021-01-06 16:00:00,21.7,20.7,95.85,110.0,3.0,30.34,10.0,16.91
2021-01-06 17:00:00,23.9,23.4,97.93,0.0,0.0,30.33,10.0,23.9
2021-01-06 18:00:00,24.6,23.9,97.12,0.0,0.0,30.32,10.0,24.6
2021-01-06 19:00:00,22.5,21.6,96.27,160.0,3.0,30.32,10.0,17.83
2021-01-06 20:00:00,23.9,23.2,97.11,0.0,0.0,30.34,10.0,23.9
2021-01-06 21:00:00,23.7,22.8,96.29,0.0,0.0,30.35,10.0,23.7
2021-01-06 22:00:00,23.9,23.0,96.3,0.0,0.0,30.36,7.0,23.9
2021-01-06 23:00:00,19.9,18.5,94.19,0.0,0.0,30.37,4.0,19.9
2021-01-07 00:00:00,19.0,17.8,94.98,0.0,0.0,30.37,2.5,19.0
2021-01-07 01:00:00,18.3,17.1,94.96,0.0,0.0,30.38,2.0,18.3
2021-01-07 02:00:00,17.4,16.0,94.12,0.0,0.0,30.39,2.5,17.4
2021-01-07 03:00:00,16.0,14.4,93.26,10.0,4.0,30.39,1.0,8.74
2021-01-07 04:00:00,17.2,15.8,94.11,0.0,0.0,30.4,0.25,17.2
2021-01-07 05:00:00,18.3,16.9,94.14,0.0,0.0,30.41,0.25,18.3
2021-01-07 06:00:00,19.8,18.7,95.4,0.0,0.0,30.41,0.25,19.8
2021-01-07 07:00:00,20.7,19.4,94.61,130.0,5.0,30.41,0.75,12.98
2021-01-07 08:00:00,20.8,19.6,95.02,100.0,4.0,30.41,0.5,14.34
2021-01-07 09:00:00,21.2,20.1,95.43,140.0,3.0,30.41,0.5,16.34
2021-01-07 10:00:00,21.2,20.3,96.25,100.0,4.0,30.41,0.25,14.81
2021-01-07 11:00:00,21.0,19.9,95.43,130.0,4.0,30.42,0.5,14.57
2021-01-07 12:00:00,20.7,19.4,94.61,140.0,3.0,30.44,0.75,15.77
2021-01-07 13:00:00,20.7,19.4,94.61,150.0,3.0,30.46,0.5,15.77
2021-01-07 14:00:00,20.5,19.4,95.42,120.0,3.0,30.47,0.5,15.54
2021-01-07 15:00:00,20.7,19.4,94.61,120.0,3.0,30.47,1.0,15.77
2021-01-07 16:00:00,20.7,19.4,94.61,0.0,0.0,30.47,1.25,20.7
2021-01-07 17:00:00,21.4,20.3,95.44,140.0,3.0,30.46,2.0,16.57
2021-01-07 18:00:00,22.1,21.2,96.27,0.0,0.0,30.44,2.5,22.1
2021-01-07 19:00:00,22.6,21.7,96.27,0.0,0.0,30.44,3.0,22.6
2021-01-07 20:00:00,22.8,21.9,96.28,0.0,0.0,30.43,4.0,22.8
2021-01-07 21:00:00,22.8,21.9,96.28,0.0,0.0,30.43,4.0,22.8
2021-01-07 22:00:00,23.0,22.1,96.28,0.0,0.0,30.44,4.0,23.0
2021-01-07 23:00:00,23.0,22.1,96.28,180.0,3.0,30.44,5.0,18.4
