,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,12.0,9.1,87.87,0.0,0.0,30.26,7.0,12.0
2021-01-01 01:00:00,9.9,8.2,92.65,0.0,0.0,30.26,7.0,9.9
2021-01-01 02:00:00,5.4,2.8,88.73,0.0,0.0,30.23,7.0,5.4
2021-01-01 03:00:00,2.7,-1.1,83.73,0.0,0.0,30.22,10.0,2.7
2021-01-01 04:00:00,1.2,-2.4,84.42,0.0,0.0,30.22,10.0,1.2
2021-01-01 05:00:00,1.4,-2.2,84.43,0.0,0.0,30.23,7.0,1.4
2021-01-01 06:00:00,0.9,-2.4,85.61,0.0,0.0,30.23,10.0,0.9
2021-01-01 07:00:00,1.8,-1.8,84.46,0.0,0.0,30.26,7.0,1.8
2021-01-01 08:00:00,7.7,5.2,89.26,0.0,0.0,30.23,7.0,7.7
2021-01-01 09:00:00,7.7,5.0,88.44,0.0,0.0,30.23,7.0,7.7
2021-01-01 10:00:00,10.9,9.3,93.1,200.0,3.0,30.23,2.5,4.57
2021-01-01 11:00:00,10.8,8.6,90.62,0.0,0.0,30.22,4.0,10.8
2021-01-01 12:00:00,9.1,6.8,90.14,0.0,0.0,30.19,4.0,9.1
2021-01-01 13:00:00,7.7,5.2,89.26,0.0,0.0,30.17,4.0,7.7
2021-01-01 14:00:00,10.2,7.7,89.38,0.0,0.0,30.16,4.0,10.2
2021-01-01 15:00:00,11.1,8.4,88.62,0.0,0.0,30.16,5.0,11.1
2021-01-01 16:00:00,12.4,9.5,87.9,130.0,4.0,30.11,5.0,4.53
2021-01-01 17:00:00,14.4,11.1,86.46,0.0,0.0,30.06,7.0,14.4
2021-01-01 18:00:00,17.4,12.7,81.46,0.0,0.0,30.04,7.0,17.4
2021-01-01 19:00:00,19.9,16.2,85.29,0.0,0.0,30.02,5.0,19.9
2021-01-01 20:00:00,21.0,19.8,95.02,0.0,0.0,30.0,2.5,21.0
2021-01-01 21:00:00,22.1,20.8,94.65,350.0,4.0,29.99,3.0,15.86
