,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,17.6,15.3,90.51,0.0,0.0,30.33,10.0,17.6
2021-01-01 01:00:00,17.2,15.3,92.09,0.0,0.0,30.32,10.0,17.2
2021-01-01 02:00:00,17.2,15.4,92.49,160.0,5.0,30.33,10.0,8.82
2021-01-01 03:00:00,16.3,16.3,100.0,110.0,5.0,30.31,7.0,7.75
2021-01-01 04:00:00,16.7,16.7,100.0,0.0,0.0,30.32,7.0,16.7
2021-01-01 05:00:00,16.7,16.7,100.0,170.0,5.0,30.33,5.0,8.22
2021-01-01 06:00:00,16.7,16.7,100.0,170.0,3.0,30.32,3.0,11.2
2021-01-01 07:00:00,17.1,17.1,100.0,0.0,0.0,30.31,1.25,17.1
2021-01-01 08:00:00,16.7,16.7,100.0,0.0,0.0,30.29,1.25,16.7
2021-01-01 09:00:00,16.5,16.5,100.0,0.0,0.0,30.29,0.75,16.5
2021-01-01 10:00:00,15.8,15.8,100.0,0.0,0.0,30.27,0.75,15.8
2021-01-01 11:00:00,15.3,15.3,100.0,40.0,3.0,30.25,1.0,9.6
2021-01-01 12:00:00,16.0,16.0,100.0,360.0,4.0,30.21,3.0,8.74
2021-01-01 13:00:00,17.4,17.4,100.0,30.0,3.0,30.18,2.5,12.0
2021-01-01 14:00:00,18.7,18.7,100.0,10.0,4.0,30.16,3.0,11.89
2021-01-01 15:00:00,20.8,20.8,100.0,30.0,4.0,30.14,3.0,14.34
2021-01-01 16:00:00,22.8,22.8,100.0,40.0,4.0,30.08,3.0,16.68
2021-01-01 17:00:00,25.7,25.7,100.0,40.0,7.0,30.01,4.0,17.1
2021-01-01 18:00:00,28.6,28.6,100.0,70.0,8.0,29.97,10.0,19.92
2021-01-01 19:00:00,30.2,28.4,92.92,40.0,10.0,29.92,10.0,20.71
2021-01-01 20:00:00,30.2,29.8,98.39,40.0,7.0,29.9,5.0,22.59
2021-01-01 21:00:00,29.7,29.7,100.0,30.0,5.0,29.93,1.0,23.66
2021-01-01 22:00:00,29.1,29.1,100.0,10.0,5.0,29.92,2.0,22.95
2021-01-01 23:00:00,28.6,28.6,100.0,350.0,7.0,29.92,4.0,20.63
2021-01-02 00:00:00,26.8,26.8,100.0,360.0,8.0,29.92,3.0,17.71
2021-01-02 01:00:00,26.4,26.4,100.0,350.0,10.0,29.93,5.0,15.95
2021-01-02 02:00:00,24.8,24.8,100.0,340.0,9.0,29.93,5.0,14.56
2021-01-02 03:00:00,23.7,23.7,100.0,350.0,7.0,29.93,5.0,14.66
2021-01-02 04:00:00,23.5,23.5,100.0,350.0,9.0,29.94,4.0,12.94
