,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.0,12.9,87.32,240.0,5.0,30.34,10.0,7.39
2021-01-01 01:00:00,14.0,12.0,91.57,220.0,3.0,30.35,9.0,8.11
2021-01-01 02:00:00,10.0,8.1,91.82,220.0,3.0,30.31,7.0,8.11
2021-01-01 03:00:00,12.0,9.0,87.48,190.0,3.0,30.33,6.0,5.82
2021-01-01 04:00:00,12.9,10.9,91.52,200.0,7.0,30.33,6.0,1.5
2021-01-01 05:00:00,12.9,10.9,91.52,210.0,3.0,30.33,6.0,6.85
2021-01-01 06:00:00,17.1,15.1,91.68,210.0,4.0,30.33,7.0,10.02
2021-01-01 07:00:00,19.0,17.1,92.15,220.0,6.0,30.35,7.0,9.87
2021-01-01 08:00:00,18.0,16.0,91.72,210.0,3.0,30.33,7.0,12.68
2021-01-01 09:00:00,17.1,15.1,91.68,200.0,4.0,30.31,5.0,10.02
2021-01-01 10:00:00,21.9,19.9,91.86,250.0,6.0,30.31,7.0,13.37
2021-01-01 11:00:00,18.0,16.0,91.72,300.0,3.0,30.29,5.0,12.68
2021-01-01 12:00:00,18.0,16.0,91.72,270.0,4.0,30.27,1.0,11.07
2021-01-01 13:00:00,18.0,17.1,96.19,0.0,0.0,30.25,0.25,18.0
2021-01-01 14:00:00,21.0,19.0,91.83,320.0,4.0,30.25,1.0,14.57
2021-01-01 15:00:00,23.0,21.0,91.9,0.0,0.0,30.23,0.25,23.0
2021-01-01 16:00:00,24.1,23.0,95.49,350.0,3.0,30.18,2.5,19.66
2021-01-01 17:00:00,25.0,24.1,96.31,360.0,5.0,30.14,1.5,18.08
2021-01-01 18:00:00,27.0,25.0,92.05,0.0,0.0,30.11,3.0,27.0
2021-01-01 19:00:00,28.0,26.1,92.46,30.0,3.0,30.07,4.0,24.12
2021-01-01 20:00:00,28.0,26.1,92.46,350.0,4.0,30.02,5.0,22.75
2021-01-01 21:00:00,28.9,26.1,89.12,10.0,7.0,29.99,6.0,21.0
2021-01-01 22:00:00,28.9,26.1,89.12,360.0,8.0,29.99,8.0,20.29
2021-01-01 23:00:00,28.9,27.0,92.49,10.0,7.0,29.99,10.0,21.0
2021-01-02 00:00:00,28.9,27.0,92.49,360.0,8.0,29.99,7.0,20.29
2021-01-02 01:00:00,28.9,28.0,96.38,360.0,8.0,29.98,6.0,20.29
2021-01-02 02:00:00,28.9,28.0,96.38,360.0,8.0,29.95,7.0,20.29
2021-01-02 03:00:00,28.9,27.0,92.49,340.0,9.0,29.95,6.0,19.66
2021-01-02 04:00:00,28.9,27.0,92.49,340.0,10.0,29.96,7.0,19.08
2021-01-02 05:00:00,28.9,27.0,92.49,340.0,13.0,29.96,7.0,17.6
2021-01-02 06:00:00,27.0,24.1,88.65,330.0,7.0,29.96,9.0,18.68
2021-01-02 07:00:00,26.1,24.1,92.01,330.0,7.0,29.97,10.0,18.68
2021-01-02 08:00:00,25.0,23.0,91.97,320.0,6.0,29.99,10.0,17.1
2021-01-02 09:00:00,23.0,21.0,91.9,310.0,5.0,29.99,10.0,15.71
2021-01-02 10:00:00,23.0,19.9,87.7,300.0,7.0,30.01,10.0,13.81
2021-01-02 11:00:00,21.9,19.0,88.4,300.0,4.0,30.04,10.0,15.63
2021-01-02 12:00:00,19.9,17.1,88.68,290.0,4.0,30.05,10.0,13.29
2021-01-02 13:00:00,18.0,16.0,91.72,270.0,5.0,30.09,7.0,9.77
2021-01-02 14:00:00,19.9,17.1,88.68,260.0,5.0,30.11,7.0,12.03
2021-01-02 15:00:00,19.9,18.0,92.19,250.0,8.0,30.11,4.0,9.21
2021-01-02 16:00:00,19.9,18.0,92.19,270.0,6.0,30.09,7.0,10.96
2021-01-02 17:00:00,23.0,19.9,87.7,250.0,7.0,30.06,6.0,13.81
2021-01-02 18:00:00,24.1,21.9,91.17,210.0,7.0,30.05,5.0,15.15
2021-01-02 19:00:00,25.0,21.9,87.81,240.0,6.0,30.06,5.0,17.1
2021-01-02 20:00:00,24.1,21.9,91.17,200.0,8.0,30.05,4.0,14.38
2021-01-02 21:00:00,24.1,21.9,91.17,200.0,5.0,30.06,2.5,17.01
2021-01-02 22:00:00,23.0,21.9,95.47,200.0,3.0,30.05,2.0,18.4
2021-01-02 23:00:00,23.0,21.9,95.47,200.0,3.0,30.04,0.75,18.4
2021-01-03 00:00:00,21.9,21.0,96.26,200.0,4.0,30.03,0.5,15.63
2021-01-03 01:00:00,21.9,21.0,96.26,210.0,8.0,30.02,0.5,11.67
2021-01-03 02:00:00,21.9,21.0,96.26,220.0,6.0,30.03,1.0,13.37
2021-01-03 03:00:00,21.9,21.0,96.26,230.0,3.0,30.01,2.5,17.14
2021-01-03 04:00:00,21.9,21.0,96.26,200.0,5.0,29.99,6.0,14.4
2021-01-03 05:00:00,21.9,19.9,91.86,220.0,7.0,29.99,7.0,12.47
2021-01-03 06:00:00,21.0,19.9,95.43,250.0,5.0,29.98,7.0,13.33
2021-01-03 07:00:00,21.9,19.9,91.86,230.0,7.0,29.97,6.0,12.47
