,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.9,12.9,83.98,230.0,7.0,30.22,10.0,6.37
2021-01-01 01:00:00,17.2,13.1,83.63,220.0,6.0,30.24,10.0,7.71
2021-01-01 02:00:00,17.6,14.0,85.51,220.0,5.0,30.24,10.0,9.29
2021-01-01 03:00:00,18.1,14.5,85.55,220.0,4.0,30.22,10.0,11.19
2021-01-01 04:00:00,18.1,14.9,87.05,0.0,0.0,30.21,10.0,18.1
2021-01-01 05:00:00,18.3,14.9,86.31,190.0,3.0,30.19,10.0,13.03
2021-01-01 06:00:00,18.5,15.4,87.46,210.0,4.0,30.19,10.0,11.66
2021-01-01 07:00:00,19.2,15.6,85.61,220.0,7.0,30.18,10.0,9.18
2021-01-01 08:00:00,18.9,14.9,84.12,200.0,8.0,30.21,10.0,7.98
2021-01-01 09:00:00,16.5,13.1,86.2,230.0,4.0,30.19,10.0,9.32
2021-01-01 10:00:00,16.3,13.1,86.95,230.0,3.0,30.2,10.0,10.74
2021-01-01 11:00:00,16.5,13.1,86.2,230.0,4.0,30.21,10.0,9.32
2021-01-01 12:00:00,16.7,13.1,85.46,220.0,7.0,30.18,10.0,6.13
2021-01-01 13:00:00,15.8,12.6,86.92,220.0,8.0,30.19,10.0,4.16
2021-01-01 14:00:00,15.8,12.9,88.08,230.0,4.0,30.17,7.0,8.5
2021-01-01 15:00:00,16.2,13.1,87.33,240.0,6.0,30.16,5.0,6.5
2021-01-01 16:00:00,16.7,13.6,87.36,230.0,6.0,30.16,5.0,7.1
2021-01-01 17:00:00,17.6,13.8,84.77,260.0,3.0,30.11,5.0,12.23
2021-01-01 18:00:00,18.5,14.2,82.99,230.0,5.0,30.07,7.0,10.36
2021-01-01 19:00:00,19.2,14.5,81.6,190.0,3.0,30.05,7.0,14.06
2021-01-01 20:00:00,20.3,15.4,80.98,220.0,4.0,30.06,10.0,13.76
2021-01-01 21:00:00,20.7,15.6,80.31,210.0,5.0,30.06,10.0,12.98
