,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,16.7,14.0,88.9,0.0,0.0,30.33,10.0,16.7
2021-01-01 01:00:00,16.5,14.4,91.26,0.0,0.0,30.31,10.0,16.5
2021-01-01 02:00:00,15.8,14.0,92.44,160.0,5.0,30.33,7.0,7.16
2021-01-01 03:00:00,16.2,14.5,92.86,150.0,6.0,30.33,7.0,6.5
2021-01-01 04:00:00,15.8,14.5,94.49,140.0,7.0,30.33,5.0,5.03
2021-01-01 05:00:00,15.4,14.0,94.07,170.0,7.0,30.33,3.0,4.54
2021-01-01 06:00:00,16.2,14.9,94.5,190.0,5.0,30.33,1.75,7.63
2021-01-01 07:00:00,16.5,14.9,93.28,200.0,4.0,30.33,1.75,9.32
2021-01-01 08:00:00,16.3,14.9,94.09,0.0,0.0,30.31,0.5,16.3
2021-01-01 09:00:00,15.8,14.7,95.32,0.0,0.0,30.29,0.25,15.8
2021-01-01 10:00:00,15.8,14.5,94.49,0.0,0.0,30.28,0.25,15.8
2021-01-01 11:00:00,15.6,14.0,93.25,0.0,0.0,30.25,0.25,15.6
2021-01-01 12:00:00,16.2,14.9,94.5,0.0,0.0,30.24,0.25,16.2
2021-01-01 13:00:00,16.3,14.9,94.09,360.0,5.0,30.2,1.0,7.75
2021-01-01 14:00:00,17.2,15.8,94.11,10.0,5.0,30.2,2.5,8.82
2021-01-01 15:00:00,18.7,17.6,95.38,20.0,3.0,30.16,2.0,13.48
2021-01-01 16:00:00,21.9,21.2,97.08,20.0,4.0,30.12,2.5,15.63
2021-01-01 17:00:00,23.9,23.4,97.93,40.0,6.0,30.06,3.0,15.77
2021-01-01 18:00:00,26.1,25.7,98.36,30.0,8.0,30.01,5.0,16.85
2021-01-01 19:00:00,26.8,26.6,99.18,40.0,8.0,29.96,7.0,17.71
2021-01-01 20:00:00,27.9,25.0,88.7,10.0,8.0,29.93,7.0,19.06
2021-01-01 21:00:00,27.3,25.3,92.06,10.0,5.0,29.94,5.0,20.81
2021-01-01 22:00:00,25.5,23.9,93.55,360.0,5.0,29.95,1.25,18.68
2021-01-01 23:00:00,25.3,23.9,94.33,340.0,9.0,29.95,3.0,15.18
2021-01-02 00:00:00,25.2,23.7,93.93,350.0,8.0,29.95,3.0,15.74
2021-01-02 01:00:00,24.3,22.6,93.12,350.0,12.0,29.96,3.0,12.2
2021-01-02 02:00:00,23.4,21.9,93.88,340.0,11.0,29.95,3.0,11.6
2021-01-02 03:00:00,22.8,21.9,96.28,340.0,8.0,29.94,2.5,12.78
2021-01-02 04:00:00,23.5,23.0,97.92,340.0,7.0,29.95,2.0,14.42
2021-01-02 05:00:00,23.7,23.4,98.75,340.0,10.0,29.97,2.0,12.56
2021-01-02 06:00:00,21.9,21.0,96.26,330.0,8.0,29.99,4.0,11.67
2021-01-02 07:00:00,18.9,18.0,96.21,0.0,0.0,29.99,4.0,18.9
2021-01-02 08:00:00,17.1,15.8,94.52,0.0,0.0,29.99,3.0,17.1
2021-01-02 09:00:00,20.8,20.1,97.07,300.0,3.0,30.03,1.5,15.88
