,tmpf,dwpf,relh,drct,sknt,alti,vsby,feel
2021-01-01 00:00:00,11.5,11.1,98.24,0.0,0.0,30.27,10.0,11.5
2021-01-01 01:00:00,7.7,7.3,98.21,0.0,0.0,30.26,10.0,7.7
2021-01-01 02:00:00,5.4,4.8,97.29,140.0,3.0,30.26,10.0,-1.72
2021-01-01 03:00:00,8.0,7.5,98.21,150.0,3.0,30.28,10.0,1.14
2021-01-01 04:00:00,6.8,6.4,98.2,150.0,3.0,30.26,10.0,-0.12
2021-01-01 05:00:00,16.2,16.2,100.0,160.0,6.0,30.27,10.0,6.5
2021-01-01 06:00:00,17.2,17.2,100.0,190.0,6.0,30.29,10.0,7.71
2021-01-01 07:00:00,17.4,17.4,100.0,160.0,6.0,30.27,10.0,7.95
2021-01-01 08:00:00,17.6,17.6,100.0,210.0,3.0,30.27,10.0,12.23
2021-01-01 09:00:00,17.1,17.1,100.0,110.0,3.0,30.25,10.0,11.66
2021-01-01 10:00:00,16.5,16.5,100.0,110.0,5.0,30.24,10.0,7.99
2021-01-01 11:00:00,16.2,16.2,100.0,120.0,5.0,30.24,10.0,7.63
2021-01-01 12:00:00,15.4,15.4,100.0,120.0,6.0,30.21,10.0,5.54
2021-01-01 13:00:00,15.4,15.4,100.0,110.0,5.0,30.19,10.0,6.68
2021-01-01 14:00:00,15.6,15.6,100.0,100.0,3.0,30.17,9.0,9.94
2021-01-01 15:00:00,16.7,16.7,100.0,0.0,0.0,30.16,10.0,16.7
2021-01-01 16:00:00,17.6,17.6,100.0,90.0,3.0,30.11,10.0,12.23
2021-01-01 17:00:00,19.4,19.4,100.0,360.0,3.0,30.06,10.0,14.28
2021-01-01 18:00:00,20.5,20.5,100.0,350.0,4.0,30.03,9.0,13.99
2021-01-01 19:00:00,22.1,21.9,99.16,350.0,3.0,30.0,9.0,17.37
2021-01-01 20:00:00,23.4,23.2,99.16,0.0,0.0,29.99,10.0,23.4
2021-01-01 21:00:00,24.1,23.9,99.17,320.0,4.0,29.99,9.0,18.19
2021-01-01 22:00:00,24.3,24.3,100.0,330.0,5.0,30.0,10.0,17.25
2021-01-01 23:00:00,23.9,23.9,100.0,320.0,4.0,30.0,8.0,17.96
2021-01-02 00:00:00,24.1,24.1,100.0,0.0,0.0,30.01,8.0,24.1
2021-01-02 01:00:00,24.1,24.1,100.0,290.0,3.0,30.0,7.0,19.66
2021-01-02 02:00:00,23.9,23.9,100.0,300.0,4.0,29.99,7.0,17.96
2021-01-02 03:00:00,23.7,23.7,100.0,320.0,3.0,29.99,7.0,19.2
2021-01-02 04:00:00,23.0,23.0,100.0,330.0,5.0,30.0,6.0,15.71
2021-01-02 05:00:00,22.8,22.8,100.0,320.0,4.0,30.02,9.0,16.68
2021-01-02 06:00:00,21.7,21.7,100.0,330.0,5.0,30.02,10.0,14.16
2021-01-02 07:00:00,19.4,19.4,100.0,300.0,3.0,30.01,10.0,14.28
2021-01-02 08:00:00,21.6,21.6,100.0,290.0,4.0,30.01,10.0,15.28
2021-01-02 09:00:00,21.4,21.4,100.0,300.0,4.0,30.02,10.0,15.04
2021-01-02 10:00:00,21.6,21.4,99.16,270.0,4.0,30.04,10.0,15.28
2021-01-02 11:00:00,22.1,21.9,99.16,290.0,3.0,30.07,10.0,17.37
2021-01-02 12:00:00,21.9,21.7,99.16,300.0,4.0,30.08,10.0,15.63
2021-01-02 13:00:00,21.7,21.7,100.0,0.0,0.0,30.1,7.0,21.7
2021-01-02 14:00:00,22.6,22.6,100.0,0.0,0.0,30.1,3.0,22.6
2021-01-02 15:00:00,23.5,23.5,100.0,0.0,0.0,30.09,4.0,23.5
2021-01-02 16:00:00,25.3,25.3,100.0,290.0,4.0,30.08,10.0,19.6
2021-01-02 17:00:00,25.0,25.0,100.0,0.0,0.0,30.06,10.0,25.0
2021-01-02 18:00:00,26.6,26.6,100.0,190.0,4.0,30.04,10.0,21.11
2021-01-02 19:00:00,27.5,27.5,100.0,0.0,0.0,30.03,10.0,27.5
2021-01-02 20:00:00,28.2,28.2,100.0,0.0,0.0,30.03,10.0,28.2
2021-01-02 21:00:00,27.7,27.7,100.0,0.0,0.0,30.02,10.0,27.7
