Index,Value
0,24.5
1,25.3
2,26.5
3,28.5
4,30.6
5,31.1
6,30.4
7,29.5
8,28.0
9,25.2
10,20.4
11,21.0
12,18.8
13,17.8
14,17.1
15,12.9
16,10.8
17,11.5
18,12.2
19,12.2
20,13.7
21,16.8
22,28.6
23,31.7
24,28.7
25,24.5
26,20.5
27,17.9
28,16.1
29,17.0
30,17.9
31,20.2
32,18.1
33,18.6
34,18.8
35,19.0
36,18.7
37,17.2
38,18.0
39,17.3
40,16.7
41,17.5
42,21.0
43,20.9
44,21.2
45,23.3
46,26.6
47,23.7
48,20.2
49,18.9
50,15.9
51,14.1
52,14.1
53,12.5
54,11.5
55,11.6
56,12.9
57,11.9
58,11.4
59,10.3
60,11.8
61,12.8
62,12.4
63,13.0
64,13.2
65,16.1
66,14.3
67,12.0
68,12.2
69,10.3
70,11.3
71,13.7
72,16.7
73,15.3
74,12.6
75,14.7
76,10.4
77,7.6
78,8.5
79,10.1
80,8.1
81,8.0
82,8.2
83,8.2
84,9.2
85,10.7
86,10.6
87,12.1
88,16.0
89,18.5
90,11.3
91,12.1
92,12.4
93,14.4
94,16.4
95,16.2
96,16.9
97,17.1
98,17.2
99,17.2
100,19.3
101,19.8
102,19.2
103,19.2
104,18.5
105,17.0
106,17.3
107,17.9
108,16.5
109,18.4
110,17.2
111,17.3
112,17.1
113,19.1
114,22.6
115,24.2
116,22.7
117,21.5
118,24.3
119,23.3
120,20.6
121,17.6
122,17.9
123,17.1
124,17.0
125,16.8
126,17.5
127,18.5
128,19.9
129,19.0
130,15.8
131,16.8
132,18.6
133,19.6
134,21.0
135,24.3
136,22.6
137,22.4
138,25.1
139,26.2
140,25.2
141,25.0
142,25.2
143,23.6
144,21.5
145,21.6
146,19.6
147,16.3
148,16.2
149,19.3
150,17.2
151,14.0
152,14.2
153,14.3
154,14.8
155,14.9
156,13.9
157,13.4
158,13.0
159,12.7
160,11.5
161,8.7
162,9.3
163,8.3
164,6.3
165,5.4
166,4.7
167,4.3
168,4.2
169,3.7
170,3.9
171,3.8
172,4.4
173,5.0
174,5.0
175,5.0
176,4.6
177,4.3
178,4.7
179,5.2
180,5.7
181,5.8
182,5.2
183,4.9
184,5.5
185,7.3
186,7.8
187,6.5
188,9.8
189,9.9
190,10.3
191,10.0
192,9.0
193,7.9
194,7.2
195,6.5
196,6.3
197,6.2
198,6.9
199,11.4
200,7.6
201,9.4
202,9.0
203,6.8
204,5.4
205,5.9
206,6.6
207,7.9
208,7.3
209,8.2
210,7.6
211,7.9
212,8.5
213,7.9
214,9.8
215,12.0
216,12.5
217,12.8
218,13.9
219,15.9
220,15.4
221,15.7
222,13.6
223,13.7
224,14.2
225,14.8
226,14.9
227,14.2
228,14.6
229,14.7
230,16.2
231,18.7
232,20.2
233,19.2
234,18.7
235,17.8
236,13.4
237,14.9
238,18.3
239,20.2
240,22.5
241,23.7
242,19.6
243,19.5
244,18.4
245,17.5
246,20.5
247,18.7
248,15.9
249,13.5
250,10.6
251,9.5
252,10.1
253,10.7
254,11.0
255,11.0
256,11.8
257,13.0
258,13.2
259,13.4
260,13.7
261,13.5
262,13.5
263,13.6
264,13.6
265,14.5
266,15.3
267,16.2
268,17.4
269,17.8
270,19.0
271,18.5
272,19.5
273,20.8
274,22.7
275,18.9
276,19.7
277,19.6
278,19.7
279,18.5
280,19.1
281,18.4
282,18.3
283,18.7
284,18.3
285,18.2
286,19.1
287,19.4
288,19.7
289,20.1
290,20.6
291,20.9
292,20.6
293,19.2
294,19.4
295,19.1
296,18.9
297,18.7
298,17.9
299,17.5
300,17.0
301,18.6
302,18.7
303,18.9
304,18.6
305,19.3
306,19.6
307,20.1
308,22.3
309,22.3
310,25.5
311,27.0
312,29.2
313,27.1
314,26.0
315,27.7
316,29.3
317,27.9
318,31.4
319,29.8
320,21.8
321,19.4
322,22.3
323,31.5
324,32.9
325,22.2
326,20.7
327,19.9
328,22.0
329,21.4
330,13.4
331,13.5
332,16.3
333,13.7
334,8.0
335,6.6
336,5.9
337,7.2
338,7.1
339,7.9
340,8.6
341,20.3
342,17.8
343,13.1
344,11.2
345,10.4
