Index,Value
0,17.3
1,18.8
2,19.1
3,19.9
4,20.4
5,20.9
6,22.1
7,22.6
8,22.4
9,20.1
10,22.3
11,21.8
12,22.6
13,24.0
14,24.9
15,25.8
16,26.7
17,28.4
18,28.8
19,26.4
20,24.8
21,22.8
22,22.0
23,22.0
24,23.4
25,23.1
26,20.2
27,20.8
28,21.0
29,19.6
30,18.9
31,18.4
32,16.0
33,11.7
34,12.7
35,13.1
36,12.8
37,13.3
38,14.8
39,17.8
40,18.9
41,21.9
42,25.9
43,37.2
44,27.3
45,28.0
46,23.9
47,32.5
48,30.6
49,23.0
50,20.8
51,27.5
52,22.5
53,10.0
54,6.4
55,6.5
56,7.7
57,7.3
58,8.1
59,8.0
60,8.9
61,9.2
62,10.2
63,10.1
64,10.4
65,12.3
66,11.7
67,12.4
68,10.1
69,5.8
70,6.8
71,6.8
72,7.1
73,7.6
74,8.3
75,11.0
76,8.9
77,9.2
78,11.2
79,9.1
80,9.0
81,8.6
82,8.2
83,8.8
84,7.3
85,7.4
86,8.1
87,10.0
88,11.0
89,12.1
90,13.3
91,15.3
92,15.5
93,13.7
94,13.6
95,16.7
96,18.0
97,16.1
98,14.4
99,14.5
100,14.5
101,14.0
102,13.6
103,12.9
104,13.3
105,13.1
106,13.4
107,13.2
108,13.4
109,14.1
110,14.6
111,14.7
112,14.6
113,19.2
114,21.8
115,22.9
116,25.5
117,29.5
118,22.0
119,22.1
120,20.6
121,18.0
122,19.3
123,20.8
124,21.9
125,21.5
126,22.8
127,22.2
128,26.7
129,21.6
130,18.5
131,12.5
132,14.5
133,15.5
134,18.7
135,20.2
136,20.0
137,18.1
138,19.9
139,18.8
140,19.3
141,19.7
142,21.6
143,23.6
144,27.0
145,27.9
146,27.9
147,26.8
148,22.7
149,16.3
150,13.8
151,12.6
152,12.6
153,13.6
154,14.7
155,17.2
156,15.8
157,14.4
158,13.6
159,11.8
160,9.9
161,8.3
162,9.2
163,8.9
164,9.5
165,10.0
166,10.7
167,8.1
168,6.8
169,6.5
170,6.4
171,6.6
172,7.1
173,9.4
174,10.0
175,10.0
176,9.5
177,8.6
178,9.0
179,9.6
180,9.1
181,11.7
182,11.6
183,10.8
184,9.8
185,11.2
186,11.1
187,8.8
188,8.1
189,6.9
190,6.5
191,7.0
192,6.9
193,6.5
194,7.0
195,6.8
196,7.8
197,7.5
198,7.6
199,7.4
200,7.6
201,7.2
202,7.0
203,7.1
204,5.8
205,5.6
206,6.8
207,7.4
208,8.9
209,11.4
210,18.9
211,18.3
212,17.5
213,16.2
214,17.0
215,13.4
216,11.4
217,10.6
218,10.9
219,10.7
220,10.7
221,11.6
222,13.7
223,15.2
224,21.7
225,24.5
226,22.4
227,18.8
228,18.4
229,12.9
230,10.9
231,11.7
232,12.7
233,13.9
234,14.9
235,15.5
236,17.8
237,20.3
238,22.0
239,17.5
240,13.9
241,17.1
242,21.3
243,17.9
244,13.8
245,12.0
246,10.6
247,7.8
248,6.8
249,7.0
250,7.6
251,7.6
252,7.9
253,9.8
254,11.0
255,11.5
256,12.6
257,11.7
258,11.7
259,12.2
260,12.6
261,12.5
262,11.9
263,10.9
264,10.7
265,10.9
266,11.0
267,11.2
268,11.7
269,12.3
270,13.1
271,13.9
272,15.2
273,15.6
274,15.1
275,16.5
276,13.8
277,13.8
278,13.3
279,12.1
280,13.1
281,12.8
282,12.3
283,12.2
284,12.3
285,13.9
286,16.1
287,16.3
288,16.2
289,16.3
290,16.1
291,16.0
292,15.6
293,15.1
294,14.9
295,14.9
296,15.4
297,16.2
298,15.6
299,15.4
300,14.0
301,13.5
302,13.5
303,15.1
304,18.7
305,17.5
306,16.7
307,17.2
308,20.0
309,21.6
310,23.3
311,22.6
312,18.9
313,19.3
314,19.8
315,20.7
316,22.1
317,22.9
318,24.2
319,24.1
320,23.2
321,23.5
322,21.0
323,21.0
324,20.5
325,17.5
326,18.2
327,18.6
328,20.1
329,22.3
330,25.3
331,18.2
332,13.8
333,13.8
334,13.3
335,9.6
336,5.0
337,4.2
338,6.2
339,6.0
340,4.8
341,4.9
342,5.3
343,5.7
344,6.2
345,7.3
346,6.1
347,6.1
348,6.4
349,7.5
350,8.2
351,9.6
352,9.4
353,8.6
354,8.9
355,11.0
356,10.0
357,8.6
358,8.8
359,7.4
360,8.0
361,8.0
362,7.6
363,6.9
364,7.0
365,8.4
366,8.7
367,7.8
368,7.9
369,6.7
370,6.0
371,5.2
372,4.7
373,4.9
374,4.2
375,3.5
376,4.6
377,7.0
378,6.7
379,5.0
380,3.4
381,3.4
382,3.3
383,3.4
384,3.4
385,3.0
386,2.4
387,2.2
388,2.5
389,2.1
390,2.3
391,3.3
392,3.4
393,3.6
394,4.6
395,4.3
396,4.2
397,3.3
398,3.1
399,3.3
400,2.3
401,3.4
402,4.7
403,4.9
404,4.3
405,3.7
406,3.7
407,4.0
408,4.0
409,4.3
410,4.0
411,4.5
412,7.5
413,9.1
414,8.9
415,8.5
416,8.7
417,9.0
418,8.9
419,9.1
420,11.1
421,13.3
422,12.6
423,9.6
424,6.3
425,5.9
426,8.6
427,11.1
428,12.6
429,12.0
430,11.2
431,11.6
