Index,Value
0,19.2
1,19.8
2,19.8
3,17.9
4,16.0
5,13.3
6,13.2
7,9.5
8,5.3
9,12.0
10,11.4
11,10.6
12,14.4
13,14.2
14,12.9
15,13.7
16,13.9
17,14.5
18,14.1
19,14.9
20,15.2
21,14.5
22,14.1
23,16.1
24,16.2
25,14.0
26,6.7
27,6.2
28,6.6
29,7.7
30,8.4
31,9.2
32,9.6
33,10.7
34,9.8
35,9.1
36,8.6
37,8.3
38,8.4
39,8.4
40,8.0
41,10.1
42,10.1
43,10.8
44,10.4
45,9.6
46,10.5
47,10.7
48,11.2
49,12.5
50,11.6
51,13.6
52,11.6
53,8.4
54,13.2
55,13.3
56,10.9
57,9.7
58,10.0
59,8.6
60,7.5
61,6.2
62,5.0
63,4.7
64,5.5
65,6.1
66,8.1
67,9.8
68,11.6
69,10.9
70,10.9
71,10.0
72,9.7
73,9.6
74,9.9
75,10.4
76,10.8
77,11.2
78,12.7
79,13.8
80,14.2
81,14.1
82,12.3
83,11.4
84,12.2
85,17.0
86,15.5
87,12.9
88,13.4
89,12.0
90,12.2
91,14.3
92,17.4
93,19.1
94,18.9
95,17.4
96,16.2
97,15.7
98,15.0
99,12.9
100,12.1
101,16.4
102,14.7
103,14.1
104,12.8
105,10.3
106,14.4
107,13.6
108,13.0
109,13.3
110,11.4
111,12.9
112,13.2
113,8.9
114,12.3
115,9.7
116,8.2
117,7.9
118,7.6
119,7.4
120,7.1
121,7.6
122,7.3
123,7.0
124,6.5
125,6.2
126,6.0
127,6.3
128,6.4
129,5.4
130,4.4
131,4.1
132,3.8
133,3.6
134,3.6
135,3.4
136,3.2
137,3.1
138,3.1
139,3.4
140,3.4
141,3.9
142,3.2
143,2.3
144,2.7
145,3.3
146,3.7
147,3.7
148,3.6
149,3.4
150,3.4
151,3.4
152,3.1
153,2.2
154,1.9
155,2.0
156,2.0
157,1.9
158,1.8
159,1.7
160,1.7
161,1.7
162,1.7
163,2.0
164,2.2
165,2.4
166,2.6
167,2.8
168,2.6
169,1.9
170,1.6
171,1.7
172,1.8
173,1.8
174,1.9
175,1.9
176,1.8
177,2.2
178,2.4
179,2.4
180,2.3
181,2.1
182,1.9
183,1.9
184,1.8
185,1.8
186,1.9
187,1.9
188,2.8
189,4.3
190,4.2
191,4.2
192,4.4
193,4.2
194,4.0
195,4.2
196,4.5
197,4.9
198,4.7
199,4.9
200,4.5
201,5.0
202,5.8
203,6.4
204,6.8
205,7.1
206,7.9
207,9.9
208,8.8
209,9.0
210,9.6
211,9.3
212,8.1
213,10.1
214,20.5
215,22.7
216,13.6
217,7.7
218,6.7
219,4.9
220,4.1
221,4.0
222,3.9
223,3.1
224,2.3
225,2.2
226,3.0
227,4.0
228,5.7
229,5.2
230,6.6
231,7.1
232,6.1
233,4.7
234,5.5
235,6.3
236,7.3
237,6.3
238,7.1
239,8.8
240,11.1
241,12.5
242,14.6
243,17.6
244,18.3
245,18.7
246,20.4
247,18.8
248,16.4
249,13.2
250,10.0
251,8.5
252,9.5
253,9.6
254,9.7
255,9.5
256,10.6
257,10.8
258,11.9
259,12.5
260,12.4
261,12.2
262,12.0
263,12.0
264,14.4
265,12.5
266,12.3
267,12.2
268,12.4
269,12.1
270,11.8
271,12.0
272,12.6
273,14.9
274,14.2
275,14.7
276,15.2
277,16.1
278,16.1
279,16.5
280,16.1
281,15.7
282,19.2
283,17.5
284,17.2
285,18.2
286,19.0
287,19.6
288,18.5
289,17.3
290,16.9
291,16.6
292,16.0
293,15.6
294,16.2
295,16.9
296,16.5
297,18.6
298,18.4
299,13.3
300,10.0
301,9.7
302,10.7
303,9.0
304,8.3
305,7.4
306,7.7
307,5.5
308,5.2
309,5.7
310,8.4
311,8.1
312,11.5
313,14.2
314,15.6
315,12.1
316,8.8
317,12.3
318,17.1
319,21.9
320,23.3
321,20.1
322,17.4
323,14.3
324,11.6
325,11.1
326,11.2
327,10.9
328,13.8
329,17.3
330,16.5
331,13.6
332,15.1
333,18.6
334,17.2
335,12.2
336,13.2
337,14.8
338,10.8
339,7.3
340,4.9
341,3.9
342,3.7
343,3.4
344,3.8
345,4.4
346,4.8
347,4.5
348,6.2
349,7.7
350,7.0
351,5.1
352,3.7
353,3.8
354,3.5
355,2.9
356,2.9
357,4.3
358,4.0
359,3.7
360,6.5
361,5.8
362,7.0
363,3.7
364,2.7
365,2.4
366,2.5
367,1.9
368,1.6
369,1.5
370,1.3
371,1.1
372,1.0
373,0.9
374,0.7
375,0.7
376,0.7
377,0.8
378,0.7
379,0.5
380,0.3
381,0.2
382,0.6
383,0.9
384,1.1
385,1.1
386,0.6
387,0.5
388,0.6
389,0.5
390,0.5
391,0.6
392,0.8
393,0.8
394,0.5
395,0.7
396,1.0
397,1.1
398,1.4
399,1.5
400,1.3
401,1.4
402,0.9
403,0.7
404,0.7
405,0.5
406,0.4
407,0.3
408,0.3
409,0.4
410,1.0
411,0.9
412,0.6
413,1.0
414,1.1
415,1.5
416,1.3
417,1.3
418,1.1
419,1.6
420,2.5
421,3.5
422,3.5
423,3.4
424,2.7
425,2.7
426,2.6
427,2.4
428,2.5
429,2.5
430,2.8
431,2.6
432,2.7
433,2.3
434,2.2
435,2.3
436,2.1
437,2.1
438,2.2
439,2.3
440,2.0
441,1.6
442,1.4
443,1.4
444,1.7
445,1.8
446,1.5
447,1.3
448,1.6
449,1.4
450,1.3
451,1.3
452,1.3
453,1.1
454,1.3
455,1.5
456,1.9
457,2.4
458,2.9
459,3.0
460,3.2
461,3.2
462,3.7
463,4.2
464,4.7
465,4.8
466,3.9
467,4.1
468,4.7
469,5.7
470,6.6
471,6.9
472,7.1
473,6.9
474,7.1
475,7.1
476,5.8
477,4.8
478,3.4
479,2.9
480,2.6
481,2.7
482,2.8
483,2.9
484,3.3
485,3.5
486,3.4
487,2.7
488,2.7
489,2.6
490,3.0
491,2.5
492,2.2
493,3.2
494,2.8
495,2.3
496,1.8
497,1.6
498,1.4
499,1.4
500,1.3
501,0.9
502,0.8
503,0.9
504,0.7
505,0.5
506,0.4
507,0.3
508,0.3
509,0.4
510,0.4
511,0.5
512,0.5
513,0.6
514,0.6
515,0.7
516,0.6
517,0.8
518,1.0
519,1.1
520,1.1
521,1.6
522,2.2
523,2.8
524,2.7
525,3.1
526,3.5
527,3.6
528,3.9
529,4.2
530,4.8
531,5.0
532,5.1
533,5.4
534,5.3
535,5.6
536,4.9
537,5.1
538,5.4
539,5.7
540,6.0
541,6.5
542,7.1
543,8.0
544,8.4
545,9.3
546,9.4
547,8.3
548,7.2
549,6.0
550,5.2
551,5.0
552,6.2
553,7.2
554,8.4
555,9.4
556,10.3
557,10.6
558,11.7
559,13.0
560,13.1
561,12.6
562,10.3
563,7.3
564,6.6
565,6.4
566,6.3
567,6.3
568,6.8
569,7.1
570,6.4
571,5.1
572,4.1
573,2.9
574,2.5
575,2.7
576,2.5
577,2.4
578,2.2
579,2.2
580,2.5
581,2.2
582,1.9
583,1.7
584,1.2
585,1.2
586,1.3
587,1.3
588,1.4
589,1.7
590,1.8
591,1.7
592,1.8
593,2.0
594,2.3
595,2.5
596,2.7
597,2.8
598,2.3
599,1.9
600,1.8
601,1.7
602,1.6
603,1.7
604,1.7
605,1.6
606,1.4
607,1.4
608,1.2
609,1.4
610,1.4
611,1.2
612,1.1
613,1.1
614,1.0
615,1.1
616,1.1
617,1.0
618,1.0
619,1.1
620,1.1
621,1.1
622,1.3
623,1.7
624,2.0
625,2.1
626,2.0
627,1.9
628,1.8
629,1.7
630,1.8
631,1.8
632,1.6
633,1.6
634,1.6
635,1.7
636,1.7
637,1.6
638,1.6
639,1.8
640,1.9
641,2.1
642,2.5
643,2.4
644,2.6
645,2.6
646,2.9
647,3.1
648,3.1
649,3.0
650,2.5
651,2.3
652,2.1
653,1.9
654,1.9
655,2.0
656,2.1
657,2.1
658,2.1
659,2.1
660,2.3
661,2.4
662,2.5
663,2.6
664,2.7
665,2.5
666,2.8
667,2.9
668,3.0
669,2.9
670,3.3
671,3.2
672,3.4
673,3.2
674,4.1
675,8.1
676,5.3
677,4.1
678,4.0
679,3.8
680,3.8
681,3.3
682,3.9
683,3.9
684,3.8
685,4.0
686,4.0
687,4.9
688,6.0
689,6.8
690,5.8
691,5.0
692,4.3
693,3.8
694,3.6
695,3.4
696,3.5
697,4.3
698,4.7
699,4.9
700,4.8
701,4.7
702,5.3
703,5.8
704,5.6
705,4.6
706,4.0
707,3.8
708,3.6
709,3.5
710,3.6
711,3.5
712,3.5
713,3.7
714,3.5
715,3.3
716,3.3
717,3.2
718,2.8
719,2.7
720,2.5
721,2.6
722,2.9
723,3.3
724,3.8
725,3.6
726,3.6
727,3.5
728,3.0
729,2.7
730,2.2
731,2.1
732,2.0
733,2.0
734,2.1
735,2.0
736,2.1
737,2.0
738,2.0
739,2.5
740,2.2
741,2.3
742,2.1
743,2.2
744,2.2
745,2.4
746,2.3
747,2.2
748,2.0
749,2.2
750,2.5
751,2.0
752,1.6
753,1.6
754,1.1
755,0.9
756,0.8
757,1.1
758,1.8
759,2.5
760,3.0
761,3.3
762,3.9
763,4.6
764,5.1
765,5.3
766,5.0
767,4.8
768,4.5
769,4.7
770,4.7
771,4.4
772,4.5
773,4.5
774,4.2
775,3.4
776,2.5
777,2.4
778,2.0
779,1.7
780,1.4
781,1.2
782,1.6
783,1.6
784,1.8
785,1.8
786,1.7
787,1.7
788,1.5
789,1.7
790,1.4
791,1.4
792,1.4
793,0.9
794,1.1
795,1.3
796,1.5
797,1.7
798,1.0
799,1.2
800,1.4
801,1.5
802,1.5
803,1.4
804,1.6
805,2.1
806,2.5
807,3.9
808,5.1
809,6.0
810,6.3
811,6.2
812,6.2
813,5.8
814,6.1
815,7.2
816,8.7
817,11.0
818,13.1
819,15.0
820,17.3
821,19.0
822,19.8
823,21.1
824,21.5
825,19.7
826,17.4
827,15.1
828,13.7
829,12.0
830,10.8
831,11.3
832,5.2
833,1.4
834,1.3
835,2.2
836,3.2
837,3.5
838,3.8
839,4.3
840,4.7
841,4.9
842,4.5
843,4.0
844,3.7
845,3.3
846,2.9
847,2.8
848,2.6
849,2.6
850,2.2
851,1.7
852,1.8
853,1.9
854,2.5
855,2.4
856,2.5
857,2.5
858,2.7
859,2.9
860,2.7
861,2.8
862,2.5
863,2.6
864,2.7
865,2.9
866,3.1
867,3.2
868,3.3
869,3.2
870,2.9
871,2.7
872,2.6
873,2.4
874,2.7
875,3.0
876,2.8
877,3.1
878,3.4
879,3.6
880,3.7
881,3.5
882,3.0
883,2.7
884,3.2
885,3.3
886,3.4
887,3.3
888,3.2
889,3.2
890,3.1
891,3.1
892,3.3
893,3.6
894,3.7
895,3.7
896,3.8
897,3.4
898,3.2
899,3.2
900,3.0
901,2.9
902,2.8
903,3.3
904,3.3
905,3.6
906,3.7
907,3.8
908,3.8
909,4.0
910,4.0
911,4.1
912,4.1
913,4.1
914,4.2
915,4.4
916,4.7
917,4.8
918,4.7
919,4.4
920,3.9
921,3.7
922,3.6
923,3.6
924,3.5
925,3.5
926,3.6
927,3.5
928,4.0
929,4.2
930,4.6
931,5.3
932,5.6
933,5.5
934,5.3
935,5.3
936,5.0
937,5.2
938,4.9
939,4.9
940,4.8
941,5.5
942,4.7
943,4.1
944,4.2
945,4.0
946,3.7
947,3.8
948,4.6
949,5.6
950,5.5
951,5.5
952,6.1
953,6.6
954,7.0
955,7.0
956,7.1
957,6.7
958,5.9
959,4.8
960,4.8
961,4.9
962,4.8
963,4.8
964,4.9
965,5.0
966,4.8
967,4.6
968,4.3
969,4.0
970,3.9
971,3.7
972,3.9
973,3.9
974,4.0
975,4.0
976,4.3
977,5.1
978,5.1
979,5.1
980,5.7
981,4.5
982,4.6
983,4.7
984,4.7
985,4.7
986,4.7
987,4.7
988,4.6
989,4.4
990,4.6
991,4.5
992,4.0
993,3.9
994,3.7
995,3.6
996,3.8
997,3.9
998,4.0
999,4.1
1000,4.0
1001,4.1
1002,4.2
1003,3.9
1004,3.7
1005,3.5
1006,3.4
1007,3.5
1008,3.4
1009,3.4
1010,3.4
1011,3.5
1012,3.7
1013,3.9
1014,3.9
1015,3.7
1016,3.7
1017,3.4
1018,3.3
1019,3.1
1020,3.1
1021,3.0
1022,3.0
1023,3.1
1024,3.2
1025,3.2
1026,3.3
1027,3.6
1028,3.8
1029,4.0
1030,4.2
1031,4.1
1032,4.2
1033,4.2
1034,4.2
1035,4.1
1036,4.0
1037,4.1
1038,4.1
1039,4.0
1040,4.0
1041,4.0
1042,4.0
1043,4.0
1044,3.9
1045,3.8
1046,3.8
1047,3.8
1048,3.9
1049,4.1
1050,4.2
1051,4.3
1052,4.5
1053,4.5
1054,4.4
1055,4.2
1056,4.2
1057,4.1
1058,4.2
1059,4.2
1060,4.3
1061,4.1
1062,3.9
1063,3.8
1064,3.7
1065,3.4
1066,3.1
1067,3.1
1068,3.1
1069,3.1
1070,3.2
1071,3.4
1072,3.5
1073,3.4
1074,3.5
1075,3.7
1076,3.6
1077,3.7
1078,3.7
